Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_68000-202HLF,J,68000-202HLF,connector_footprints:68000-202HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  2 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-202HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-202HLF,Black,2.54,2,Vertical,5.2,300,Through Hole,Gold,1
J_68000-203HLF,J,68000-203HLF,connector_footprints:68000-203HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  3 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-203HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-203HLF,Black,2.54,3,Vertical,5.2,300,Through Hole,Gold,1
J_68000-204HLF,J,68000-204HLF,connector_footprints:68000-204HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  4 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-204HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-204HLF,Black,2.54,4,Vertical,5.2,300,Through Hole,Gold,1
J_68000-205HLF,J,68000-205HLF,connector_footprints:68000-205HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  5 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-205HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-205HLF,Black,2.54,5,Vertical,5.2,300,Through Hole,Gold,1
J_68000-206HLF,J,68000-206HLF,connector_footprints:68000-206HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  6 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-206HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-206HLF,Black,2.54,6,Vertical,5.2,300,Through Hole,Gold,1
J_68000-207HLF,J,68000-207HLF,connector_footprints:68000-207HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  7 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-207HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-207HLF,Black,2.54,7,Vertical,5.2,300,Through Hole,Gold,1
J_68000-208HLF,J,68000-208HLF,connector_footprints:68000-208HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  8 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-208HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-208HLF,Black,2.54,8,Vertical,5.2,300,Through Hole,Gold,1
J_68000-209HLF,J,68000-209HLF,connector_footprints:68000-209HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  9 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-209HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-209HLF,Black,2.54,9,Vertical,5.2,300,Through Hole,Gold,1
J_68000-210HLF,J,68000-210HLF,connector_footprints:68000-210HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  10 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-210HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-210HLF,Black,2.54,10,Vertical,5.2,300,Through Hole,Gold,1
J_68000-211HLF,J,68000-211HLF,connector_footprints:68000-211HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  11 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-211HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-211HLF,Black,2.54,11,Vertical,5.2,300,Through Hole,Gold,1
J_68000-212HLF,J,68000-212HLF,connector_footprints:68000-212HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  12 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-212HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-212HLF,Black,2.54,12,Vertical,5.2,300,Through Hole,Gold,1
J_68000-213HLF,J,68000-213HLF,connector_footprints:68000-213HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  13 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-213HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-213HLF,Black,2.54,13,Vertical,5.2,300,Through Hole,Gold,1
J_68000-214HLF,J,68000-214HLF,connector_footprints:68000-214HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  14 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-214HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-214HLF,Black,2.54,14,Vertical,5.2,300,Through Hole,Gold,1
J_68000-215HLF,J,68000-215HLF,connector_footprints:68000-215HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  15 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-215HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-215HLF,Black,2.54,15,Vertical,5.2,300,Through Hole,Gold,1
J_68000-216HLF,J,68000-216HLF,connector_footprints:68000-216HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  16 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-216HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-216HLF,Black,2.54,16,Vertical,5.2,300,Through Hole,Gold,1
J_68000-217HLF,J,68000-217HLF,connector_footprints:68000-217HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  17 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-217HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-217HLF,Black,2.54,17,Vertical,5.2,300,Through Hole,Gold,1
J_68000-220HLF,J,68000-220HLF,connector_footprints:68000-220HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  20 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-220HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-220HLF,Black,2.54,20,Vertical,5.2,300,Through Hole,Gold,1
J_68000-224HLF,J,68000-224HLF,connector_footprints:68000-224HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  24 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-224HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-224HLF,Black,2.54,24,Vertical,5.2,300,Through Hole,Gold,1
J_68000-226HLF,J,68000-226HLF,connector_footprints:68000-226HLF,https://www.tme.eu/Document/deb83b8ba474aa6382ee38bb24abad5e/68000-XXXXLF.pdf,"Amphenol ICC 68000-2xxHLF series,  26 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Amphenol ICC,68000-226HLF,68000-2xxHLF,https://www.trustedparts.com/en/search/68000-226HLF,Black,2.54,26,Vertical,5.2,300,Through Hole,Gold,1
