Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_744393240033,L,330 nH,inductor_footprints:74439324,https://www.we-online.com/components/products/datasheet/0033.pdf,INDUCTOR SMD 330 nH ±20%,Wurth Elektronik,744393240033,±20%,74439324,https://www.trustedparts.com/en/search/744393240033,19.4,4.000
L_744393240047,L,470 nH,inductor_footprints:74439324,https://www.we-online.com/components/products/datasheet/0047.pdf,INDUCTOR SMD 470 nH ±20%,Wurth Elektronik,744393240047,±20%,74439324,https://www.trustedparts.com/en/search/744393240047,17.1,4.500
L_744393240056,L,560 nH,inductor_footprints:74439324,https://www.we-online.com/components/products/datasheet/0056.pdf,INDUCTOR SMD 560 nH ±20%,Wurth Elektronik,744393240056,±20%,74439324,https://www.trustedparts.com/en/search/744393240056,16.4,5.630
L_744393240064,L,640 nH,inductor_footprints:74439324,https://www.we-online.com/components/products/datasheet/0064.pdf,INDUCTOR SMD 640 nH ±20%,Wurth Elektronik,744393240064,±20%,74439324,https://www.trustedparts.com/en/search/744393240064,15.2,5.810
L_744393240090,L,900 nH,inductor_footprints:74439324,https://www.we-online.com/components/products/datasheet/0090.pdf,INDUCTOR SMD 900 nH ±20%,Wurth Elektronik,744393240090,±20%,74439324,https://www.trustedparts.com/en/search/744393240090,14.0,8.500
L_74439324010,L,1.0 µH,inductor_footprints:74439324,https://www.we-online.com/components/products/datasheet/010.pdf,INDUCTOR SMD 1.0 µH ±20%,Wurth Elektronik,74439324010,±20%,74439324,https://www.trustedparts.com/en/search/74439324010,11.1,10.320
L_74439324012,L,1.2 µH,inductor_footprints:74439324,https://www.we-online.com/components/products/datasheet/012.pdf,INDUCTOR SMD 1.2 µH ±20%,Wurth Elektronik,74439324012,±20%,74439324,https://www.trustedparts.com/en/search/74439324012,10.9,10.800
L_74439324015,L,1.5 µH,inductor_footprints:74439324,https://www.we-online.com/components/products/datasheet/015.pdf,INDUCTOR SMD 1.5 µH ±20%,Wurth Elektronik,74439324015,±20%,74439324,https://www.trustedparts.com/en/search/74439324015,10.6,12.900
L_74439324022,L,2.2 µH,inductor_footprints:74439324,https://www.we-online.com/components/products/datasheet/022.pdf,INDUCTOR SMD 2.2 µH ±20%,Wurth Elektronik,74439324022,±20%,74439324,https://www.trustedparts.com/en/search/74439324022,7.8,19.800
L_74439324033,L,3.3 µH,inductor_footprints:74439324,https://www.we-online.com/components/products/datasheet/033.pdf,INDUCTOR SMD 3.3 µH ±20%,Wurth Elektronik,74439324033,±20%,74439324,https://www.trustedparts.com/en/search/74439324033,7.1,25.500
L_74439324047,L,4.7 µH,inductor_footprints:74439324,https://www.we-online.com/components/products/datasheet/047.pdf,INDUCTOR SMD 4.7 µH ±20%,Wurth Elektronik,74439324047,±20%,74439324,https://www.trustedparts.com/en/search/74439324047,5.3,36.960
