Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (mΩ)
L_744393440015,L,150 nH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/0015.pdf,INDUCTOR SMD 150 nH ±20%,Wurth Elektronik,744393440015,±20%,74439344,https://www.trustedparts.com/en/search/744393440015,37.0,1.49
L_744393440018,L,180 nH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/0018.pdf,INDUCTOR SMD 180 nH ±20%,Wurth Elektronik,744393440018,±20%,74439344,https://www.trustedparts.com/en/search/744393440018,35.65,1.45
L_744393440033,L,330 nH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/0033.pdf,INDUCTOR SMD 330 nH ±20%,Wurth Elektronik,744393440033,±20%,74439344,https://www.trustedparts.com/en/search/744393440033,27.35,2.31
L_744393440047,L,470 nH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/0047.pdf,INDUCTOR SMD 470 nH ±20%,Wurth Elektronik,744393440047,±20%,74439344,https://www.trustedparts.com/en/search/744393440047,27.3,3.14
L_744393440056,L,560 nH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/0056.pdf,INDUCTOR SMD 560 nH ±20%,Wurth Elektronik,744393440056,±20%,74439344,https://www.trustedparts.com/en/search/744393440056,22.75,3.19
L_744393440068,L,680 nH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/0068.pdf,INDUCTOR SMD 680 nH ±20%,Wurth Elektronik,744393440068,±20%,74439344,https://www.trustedparts.com/en/search/744393440068,21.7,4.4
L_74439344010,L,1.0 µH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/010.pdf,INDUCTOR SMD 1.0 µH ±20%,Wurth Elektronik,74439344010,±20%,74439344,https://www.trustedparts.com/en/search/74439344010,15.75,6.05
L_74439344012,L,1.2 µH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/012.pdf,INDUCTOR SMD 1.2 µH ±20%,Wurth Elektronik,74439344012,±20%,74439344,https://www.trustedparts.com/en/search/74439344012,14.45,7.04
L_74439344018,L,1.8 µH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/018.pdf,INDUCTOR SMD 1.8 µH ±20%,Wurth Elektronik,74439344018,±20%,74439344,https://www.trustedparts.com/en/search/74439344018,14.4,10.45
L_74439344022,L,2.2 µH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/022.pdf,INDUCTOR SMD 2.2 µH ±20%,Wurth Elektronik,74439344022,±20%,74439344,https://www.trustedparts.com/en/search/74439344022,10.85,11.55
L_74439344033,L,3.3 µH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/033.pdf,INDUCTOR SMD 3.3 µH ±20%,Wurth Elektronik,74439344033,±20%,74439344,https://www.trustedparts.com/en/search/74439344033,7.65,21.12
L_74439344047,L,4.7 µH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/047.pdf,INDUCTOR SMD 4.7 µH ±20%,Wurth Elektronik,74439344047,±20%,74439344,https://www.trustedparts.com/en/search/74439344047,5.8,34.1
