Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_AA0805FR-071RL,R,1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071RL,RES SMD 1 Ω 1% 0805 150V,Yageo,AA0805FR-071RL,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071RL,Resistor
R_AA0805FR-071R02L,R,1.02 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R02L,RES SMD 1.02 Ω 1% 0805 150V,Yageo,AA0805FR-071R02L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R02L,Resistor
R_AA0805FR-071R05L,R,1.05 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R05L,RES SMD 1.05 Ω 1% 0805 150V,Yageo,AA0805FR-071R05L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R05L,Resistor
R_AA0805FR-071R07L,R,1.07 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R07L,RES SMD 1.07 Ω 1% 0805 150V,Yageo,AA0805FR-071R07L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R07L,Resistor
R_AA0805FR-071R1L,R,1.1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R1L,RES SMD 1.1 Ω 1% 0805 150V,Yageo,AA0805FR-071R1L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R1L,Resistor
R_AA0805FR-071R13L,R,1.13 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R13L,RES SMD 1.13 Ω 1% 0805 150V,Yageo,AA0805FR-071R13L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R13L,Resistor
R_AA0805FR-071R15L,R,1.15 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R15L,RES SMD 1.15 Ω 1% 0805 150V,Yageo,AA0805FR-071R15L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R15L,Resistor
R_AA0805FR-071R18L,R,1.18 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R18L,RES SMD 1.18 Ω 1% 0805 150V,Yageo,AA0805FR-071R18L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R18L,Resistor
R_AA0805FR-071R2L,R,1.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R2L,RES SMD 1.2 Ω 1% 0805 150V,Yageo,AA0805FR-071R2L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R2L,Resistor
R_AA0805FR-071R21L,R,1.21 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R21L,RES SMD 1.21 Ω 1% 0805 150V,Yageo,AA0805FR-071R21L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R21L,Resistor
R_AA0805FR-071R24L,R,1.24 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R24L,RES SMD 1.24 Ω 1% 0805 150V,Yageo,AA0805FR-071R24L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R24L,Resistor
R_AA0805FR-071R27L,R,1.27 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R27L,RES SMD 1.27 Ω 1% 0805 150V,Yageo,AA0805FR-071R27L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R27L,Resistor
R_AA0805FR-071R3L,R,1.3 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R3L,RES SMD 1.3 Ω 1% 0805 150V,Yageo,AA0805FR-071R3L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R3L,Resistor
R_AA0805FR-071R33L,R,1.33 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-071R33L,RES SMD 1.33 Ω 1% 0805 150V,Yageo,AA0805FR-071R33L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-071R33L,Resistor
