Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type
C_AC0402KRX7R9BB221,C,220 pF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB221,CAP SMD 220 pF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB221,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB221,Ceramic
C_AC0402KRX7R9BB271,C,270 pF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB271,CAP SMD 270 pF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB271,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB271,Ceramic
C_AC0402KRX7R9BB331,C,330 pF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB331,CAP SMD 330 pF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB331,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB331,Ceramic
C_AC0402KRX7R9BB471,C,470 pF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB471,CAP SMD 470 pF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB471,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB471,Ceramic
C_AC0402KRX7R9BB561,C,560 pF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB561,CAP SMD 560 pF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB561,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB561,Ceramic
C_AC0402KRX7R9BB681,C,680 pF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB681,CAP SMD 680 pF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB681,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB681,Ceramic
C_AC0402KRX7R9BB821,C,820 pF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB821,CAP SMD 820 pF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB821,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB821,Ceramic
C_AC0402KRX7R9BB102,C,1 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB102,CAP SMD 1 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB102,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB102,Ceramic
C_AC0402KRX7R9BB122,C,1.2 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB122,CAP SMD 1.2 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB122,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB122,Ceramic
C_AC0402KRX7R9BB152,C,1.5 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB152,CAP SMD 1.5 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB152,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB152,Ceramic
C_AC0402KRX7R9BB182,C,1.8 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB182,CAP SMD 1.8 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB182,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB182,Ceramic
C_AC0402KRX7R9BB222,C,2.2 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB222,CAP SMD 2.2 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB222,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB222,Ceramic
C_AC0402KRX7R9BB272,C,2.7 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB272,CAP SMD 2.7 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB272,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB272,Ceramic
C_AC0402KRX7R9BB332,C,3.3 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB332,CAP SMD 3.3 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB332,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB332,Ceramic
C_AC0402KRX7R9BB392,C,3.9 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB392,CAP SMD 3.9 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB392,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB392,Ceramic
C_AC0402KRX7R9BB472,C,4.7 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB472,CAP SMD 4.7 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB472,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB472,Ceramic
C_AC0402KRX7R9BB562,C,5.6 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB562,CAP SMD 5.6 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB562,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB562,Ceramic
C_AC0402KRX7R9BB682,C,6.8 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB682,CAP SMD 6.8 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB682,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB682,Ceramic
C_AC0402KRX7R9BB822,C,8.2 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB822,CAP SMD 8.2 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB822,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB822,Ceramic
C_AC0402KRX7R9BB103,C,10 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB103,CAP SMD 10 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB103,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB103,Ceramic
C_AC0402KRX7R9BB123,C,12 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB123,CAP SMD 12 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB123,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB123,Ceramic
C_AC0402KRX7R9BB153,C,15 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB153,CAP SMD 15 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB153,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB153,Ceramic
C_AC0402KRX7R9BB183,C,18 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB183,CAP SMD 18 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB183,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB183,Ceramic
C_AC0402KRX7R9BB223,C,22 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB223,CAP SMD 22 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB223,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB223,Ceramic
C_AC0402KRX7R9BB333,C,33 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB333,CAP SMD 33 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB333,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB333,Ceramic
C_AC0402KRX7R9BB473,C,47 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB473,CAP SMD 47 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB473,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB473,Ceramic
C_AC0402KRX7R9BB683,C,68 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB683,CAP SMD 68 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB683,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB683,Ceramic
C_AC0402KRX7R9BB104,C,100 nF,capacitor_footprints:C_0402_1005Metric,https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R9BB104,CAP SMD 100 nF X7R 10% 0402 50V,YAGEO,AC0402KRX7R9BB104,X7R,10%,50V,0402,1005,AC0402KRX7R9BB,https://www.trustedparts.com/en/search/AC0402KRX7R9BB104,Ceramic
