Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Maximum DC Current (A),Diode Type
D_BZT52C2V0-7-F,D,2.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 2.0 V,Diodes Incorporated,BZT52C2V0-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C2V0-7-F,0.5,Zener
D_BZT52C2V4-7-F,D,2.4 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 2.4 V,Diodes Incorporated,BZT52C2V4-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C2V4-7-F,0.5,Zener
D_BZT52C2V7-7-F,D,2.7 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 2.7 V,Diodes Incorporated,BZT52C2V7-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C2V7-7-F,0.5,Zener
D_BZT52C3V0-7-F,D,3.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 3.0 V,Diodes Incorporated,BZT52C3V0-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C3V0-7-F,0.5,Zener
D_BZT52C3V3-7-F,D,3.3 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 3.3 V,Diodes Incorporated,BZT52C3V3-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C3V3-7-F,0.5,Zener
D_BZT52C3V6-7-F,D,3.6 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 3.6 V,Diodes Incorporated,BZT52C3V6-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C3V6-7-F,0.5,Zener
D_BZT52C3V9-7-F,D,3.9 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 3.9 V,Diodes Incorporated,BZT52C3V9-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C3V9-7-F,0.5,Zener
D_BZT52C4V3-7-F,D,4.3 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 4.3 V,Diodes Incorporated,BZT52C4V3-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C4V3-7-F,0.5,Zener
D_BZT52C4V7-7-F,D,4.7 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 4.7 V,Diodes Incorporated,BZT52C4V7-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C4V7-7-F,0.5,Zener
D_BZT52C5V1-7-F,D,5.1 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 5.1 V,Diodes Incorporated,BZT52C5V1-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C5V1-7-F,0.5,Zener
