Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Maximum DC Current (A),Diode Type
D_BZX384-A2V4,D,2.4 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 2.4 V,Nexperia,BZX384-A2V4,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A2V4,0.0,Zener
D_BZX384-A2V7,D,2.7 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 2.7 V,Nexperia,BZX384-A2V7,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A2V7,0.0,Zener
D_BZX384-A3V0,D,3.0 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 3.0 V,Nexperia,BZX384-A3V0,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A3V0,0.0,Zener
D_BZX384-A3V3,D,3.3 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 3.3 V,Nexperia,BZX384-A3V3,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A3V3,0.0,Zener
D_BZX384-A3V6,D,3.6 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 3.6 V,Nexperia,BZX384-A3V6,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A3V6,0.0,Zener
D_BZX384-A3V9,D,3.9 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 3.9 V,Nexperia,BZX384-A3V9,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A3V9,0.0,Zener
D_BZX384-A4V3,D,4.3 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 4.3 V,Nexperia,BZX384-A4V3,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A4V3,0.0,Zener
D_BZX384-A4V7,D,4.7 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 4.7 V,Nexperia,BZX384-A4V7,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A4V7,0.0,Zener
D_BZX384-A5V1,D,5.1 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 5.1 V,Nexperia,BZX384-A5V1,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A5V1,0.0,Zener
D_BZX384-A5V6,D,5.6 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 5.6 V,Nexperia,BZX384-A5V6,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A5V6,0.0,Zener
D_BZX384-A6V2,D,6.2 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 6.2 V,Nexperia,BZX384-A6V2,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A6V2,0.0,Zener
D_BZX384-A6V8,D,6.8 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 6.8 V,Nexperia,BZX384-A6V8,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A6V8,0.0,Zener
D_BZX384-A7V5,D,7.5 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 7.5 V,Nexperia,BZX384-A7V5,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A7V5,0.0,Zener
