Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type
C_C1005X5R1E103K050BA,C,10 nF,capacitor_footprints:C_0402_1005Metric,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1E103K050BA,CAP SMD 10 nF X5R 10% 0402 25V,TDK,C1005X5R1E103K050BA,X5R,10%,25V,0402,1005,C1005X5R1E,https://www.trustedparts.com/en/search/C1005X5R1E103K050BA,Ceramic
C_C1005X5R1E223K050BA,C,22 nF,capacitor_footprints:C_0402_1005Metric,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1E223K050BA,CAP SMD 22 nF X5R 10% 0402 25V,TDK,C1005X5R1E223K050BA,X5R,10%,25V,0402,1005,C1005X5R1E,https://www.trustedparts.com/en/search/C1005X5R1E223K050BA,Ceramic
C_C1005X5R1E473K050BA,C,47 nF,capacitor_footprints:C_0402_1005Metric,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1E473K050BA,CAP SMD 47 nF X5R 10% 0402 25V,TDK,C1005X5R1E473K050BA,X5R,10%,25V,0402,1005,C1005X5R1E,https://www.trustedparts.com/en/search/C1005X5R1E473K050BA,Ceramic
C_C1005X5R1E104K050BC,C,100 nF,capacitor_footprints:C_0402_1005Metric,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1E104K050BC,CAP SMD 100 nF X5R 10% 0402 25V,TDK,C1005X5R1E104K050BC,X5R,10%,25V,0402,1005,C1005X5R1E,https://www.trustedparts.com/en/search/C1005X5R1E104K050BC,Ceramic
C_C1005X5R1E224K050BC,C,220 nF,capacitor_footprints:C_0402_1005Metric,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1E224K050BC,CAP SMD 220 nF X5R 10% 0402 25V,TDK,C1005X5R1E224K050BC,X5R,10%,25V,0402,1005,C1005X5R1E,https://www.trustedparts.com/en/search/C1005X5R1E224K050BC,Ceramic
C_C1005X5R1E334K050BB,C,330 nF,capacitor_footprints:C_0402_1005Metric,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1E334K050BB,CAP SMD 330 nF X5R 10% 0402 25V,TDK,C1005X5R1E334K050BB,X5R,10%,25V,0402,1005,C1005X5R1E,https://www.trustedparts.com/en/search/C1005X5R1E334K050BB,Ceramic
C_C1005X5R1E474K050BB,C,470 nF,capacitor_footprints:C_0402_1005Metric,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1E474K050BB,CAP SMD 470 nF X5R 10% 0402 25V,TDK,C1005X5R1E474K050BB,X5R,10%,25V,0402,1005,C1005X5R1E,https://www.trustedparts.com/en/search/C1005X5R1E474K050BB,Ceramic
C_C1005X5R1E684K050BC,C,680 nF,capacitor_footprints:C_0402_1005Metric,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1E684K050BC,CAP SMD 680 nF X5R 10% 0402 25V,TDK,C1005X5R1E684K050BC,X5R,10%,25V,0402,1005,C1005X5R1E,https://www.trustedparts.com/en/search/C1005X5R1E684K050BC,Ceramic
C_C1005X5R1E105K050BC,C,1 µF,capacitor_footprints:C_0402_1005Metric,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1E105K050BC,CAP SMD 1 µF X5R 10% 0402 25V,TDK,C1005X5R1E105K050BC,X5R,10%,25V,0402,1005,C1005X5R1E,https://www.trustedparts.com/en/search/C1005X5R1E105K050BC,Ceramic
C_C1005X5R1E155K050BC,C,1.5 µF,capacitor_footprints:C_0402_1005Metric,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1E155K050BC,CAP SMD 1.5 µF X5R 10% 0402 25V,TDK,C1005X5R1E155K050BC,X5R,10%,25V,0402,1005,C1005X5R1E,https://www.trustedparts.com/en/search/C1005X5R1E155K050BC,Ceramic
C_C1005X5R1E225K050BC,C,2.2 µF,capacitor_footprints:C_0402_1005Metric,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1E225K050BC,CAP SMD 2.2 µF X5R 10% 0402 25V,TDK,C1005X5R1E225K050BC,X5R,10%,25V,0402,1005,C1005X5R1E,https://www.trustedparts.com/en/search/C1005X5R1E225K050BC,Ceramic
