Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_CB2518T100K,L,10.0 µH,inductor_footprints:CB2518T,https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=CB2518T100K&u=M,INDUCTOR SMD 10.0 µH ±10%,Taiyo Yuden,CB2518T100K,±10%,CB2518T,https://www.trustedparts.com/en/search/CB2518T100K,0.8,0.325
L_CB2518T150K,L,15.0 µH,inductor_footprints:CB2518T,https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=CB2518T150K&u=M,INDUCTOR SMD 15.0 µH ±10%,Taiyo Yuden,CB2518T150K,±10%,CB2518T,https://www.trustedparts.com/en/search/CB2518T150K,0.7,0.416
L_CB2518T220K,L,22.0 µH,inductor_footprints:CB2518T,https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=CB2518T220K&u=M,INDUCTOR SMD 22.0 µH ±10%,Taiyo Yuden,CB2518T220K,±10%,CB2518T,https://www.trustedparts.com/en/search/CB2518T220K,0.6,0.650
L_CB2518T330K,L,33.0 µH,inductor_footprints:CB2518T,https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=CB2518T330K&u=M,INDUCTOR SMD 33.0 µH ±10%,Taiyo Yuden,CB2518T330K,±10%,CB2518T,https://www.trustedparts.com/en/search/CB2518T330K,0.5,0.910
L_CB2518T470K,L,47.0 µH,inductor_footprints:CB2518T,https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=CB2518T470K&u=M,INDUCTOR SMD 47.0 µH ±10%,Taiyo Yuden,CB2518T470K,±10%,CB2518T,https://www.trustedparts.com/en/search/CB2518T470K,0.4,1.240
L_CB2518T101K,L,100.0 µH,inductor_footprints:CB2518T,https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=CB2518T101K&u=M,INDUCTOR SMD 100.0 µH ±10%,Taiyo Yuden,CB2518T101K,±10%,CB2518T,https://www.trustedparts.com/en/search/CB2518T101K,0.3,2.730
L_CB2518T151K,L,150.0 µH,inductor_footprints:CB2518T,https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=CB2518T151K&u=M,INDUCTOR SMD 150.0 µH ±10%,Taiyo Yuden,CB2518T151K,±10%,CB2518T,https://www.trustedparts.com/en/search/CB2518T151K,0.2,4.160
L_CB2518T221K,L,220.0 µH,inductor_footprints:CB2518T,https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=CB2518T221K&u=M,INDUCTOR SMD 220.0 µH ±10%,Taiyo Yuden,CB2518T221K,±10%,CB2518T,https://www.trustedparts.com/en/search/CB2518T221K,0.2,5.850
L_CB2518T331K,L,330.0 µH,inductor_footprints:CB2518T,https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=CB2518T331K&u=M,INDUCTOR SMD 330.0 µH ±10%,Taiyo Yuden,CB2518T331K,±10%,CB2518T,https://www.trustedparts.com/en/search/CB2518T331K,0.1,9.100
L_CB2518T471K,L,470.0 µH,inductor_footprints:CB2518T,https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=CB2518T471K&u=M,INDUCTOR SMD 470.0 µH ±10%,Taiyo Yuden,CB2518T471K,±10%,CB2518T,https://www.trustedparts.com/en/search/CB2518T471K,0.1,13.000
L_CB2518T681K,L,680.0 µH,inductor_footprints:CB2518T,https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=CB2518T681K&u=M,INDUCTOR SMD 680.0 µH ±10%,Taiyo Yuden,CB2518T681K,±10%,CB2518T,https://www.trustedparts.com/en/search/CB2518T681K,0.1,22.100
L_CB2518T102K,L,1000.0 µH,inductor_footprints:CB2518T,https://ds.yuden.co.jp/TYCOMPAS/eu/detail?pn=CB2518T102K&u=M,INDUCTOR SMD 1000.0 µH ±10%,Taiyo Yuden,CB2518T102K,±10%,CB2518T,https://www.trustedparts.com/en/search/CB2518T102K,0.1,0.031
