Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type,3dviewer Link
C_CC0603JRNPO9BN8R0,C,8 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN8R0,CAP SMD 8 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN8R0,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN8R0,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN8R2,C,8.2 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN8R2,CAP SMD 8.2 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN8R2,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN8R2,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN100,C,10 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN100,CAP SMD 10 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN100,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN100,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN110,C,11 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN110,CAP SMD 11 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN110,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN110,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN120,C,12 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN120,CAP SMD 12 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN120,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN120,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN130,C,13 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN130,CAP SMD 13 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN130,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN130,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN150,C,15 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN150,CAP SMD 15 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN150,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN150,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN160,C,16 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN160,CAP SMD 16 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN160,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN160,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN180,C,18 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN180,CAP SMD 18 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN180,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN180,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN200,C,20 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN200,CAP SMD 20 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN200,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN200,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN220,C,22 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN220,CAP SMD 22 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN220,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN220,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN240,C,24 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN240,CAP SMD 24 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN240,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN240,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN250,C,25 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN250,CAP SMD 25 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN250,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN250,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN270,C,27 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN270,CAP SMD 27 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN270,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN270,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_CC0603JRNPO9BN300,C,30 pF,capacitor_footprints:C_0603_1608Metric,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN300,CAP SMD 30 pF C0G (NP0) 5% 0603 50V,YAGEO,CC0603JRNPO9BN300,C0G (NP0),5%,50V,0603,1608,CC0603JRNPO9BN,https://www.trustedparts.com/en/search/CC0603JRNPO9BN300,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
