Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_CLP-102-02-G-D-BE,J,CLP-102-02-G-D-BE,connector_footprints:CLP-102-02-G-D-BE,https://suddendocs.samtec.com/catalog_english/clp_sm.pdf?_gl=1*1y4jlr9*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY4MDQ4OS4xNS4xLjE3MzY2ODEzNzcuNjAuMC4w,"Samtec CLP-1xx-02-G-D-BE series,  2 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,CLP-102-02-G-D-BE,CLP-1xx-02-G-D-BE,https://www.trustedparts.com/en/search/CLP-102-02-G-D-BE,Black,1.27,2,Vertical,5.2,300,Surface Mount,Tin,2
J_CLP-103-02-G-D-BE,J,CLP-103-02-G-D-BE,connector_footprints:CLP-103-02-G-D-BE,https://suddendocs.samtec.com/catalog_english/clp_sm.pdf?_gl=1*1y4jlr9*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY4MDQ4OS4xNS4xLjE3MzY2ODEzNzcuNjAuMC4w,"Samtec CLP-1xx-02-G-D-BE series,  3 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,CLP-103-02-G-D-BE,CLP-1xx-02-G-D-BE,https://www.trustedparts.com/en/search/CLP-103-02-G-D-BE,Black,1.27,3,Vertical,5.2,300,Surface Mount,Tin,2
J_CLP-104-02-G-D-BE,J,CLP-104-02-G-D-BE,connector_footprints:CLP-104-02-G-D-BE,https://suddendocs.samtec.com/catalog_english/clp_sm.pdf?_gl=1*1y4jlr9*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY4MDQ4OS4xNS4xLjE3MzY2ODEzNzcuNjAuMC4w,"Samtec CLP-1xx-02-G-D-BE series,  4 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,CLP-104-02-G-D-BE,CLP-1xx-02-G-D-BE,https://www.trustedparts.com/en/search/CLP-104-02-G-D-BE,Black,1.27,4,Vertical,5.2,300,Surface Mount,Tin,2
J_CLP-105-02-G-D-BE,J,CLP-105-02-G-D-BE,connector_footprints:CLP-105-02-G-D-BE,https://suddendocs.samtec.com/catalog_english/clp_sm.pdf?_gl=1*1y4jlr9*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY4MDQ4OS4xNS4xLjE3MzY2ODEzNzcuNjAuMC4w,"Samtec CLP-1xx-02-G-D-BE series,  5 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,CLP-105-02-G-D-BE,CLP-1xx-02-G-D-BE,https://www.trustedparts.com/en/search/CLP-105-02-G-D-BE,Black,1.27,5,Vertical,5.2,300,Surface Mount,Tin,2
J_CLP-106-02-G-D-BE,J,CLP-106-02-G-D-BE,connector_footprints:CLP-106-02-G-D-BE,https://suddendocs.samtec.com/catalog_english/clp_sm.pdf?_gl=1*1y4jlr9*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY4MDQ4OS4xNS4xLjE3MzY2ODEzNzcuNjAuMC4w,"Samtec CLP-1xx-02-G-D-BE series,  6 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,CLP-106-02-G-D-BE,CLP-1xx-02-G-D-BE,https://www.trustedparts.com/en/search/CLP-106-02-G-D-BE,Black,1.27,6,Vertical,5.2,300,Surface Mount,Tin,2
J_CLP-107-02-G-D-BE,J,CLP-107-02-G-D-BE,connector_footprints:CLP-107-02-G-D-BE,https://suddendocs.samtec.com/catalog_english/clp_sm.pdf?_gl=1*1y4jlr9*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY4MDQ4OS4xNS4xLjE3MzY2ODEzNzcuNjAuMC4w,"Samtec CLP-1xx-02-G-D-BE series,  7 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,CLP-107-02-G-D-BE,CLP-1xx-02-G-D-BE,https://www.trustedparts.com/en/search/CLP-107-02-G-D-BE,Black,1.27,7,Vertical,5.2,300,Surface Mount,Tin,2
J_CLP-108-02-G-D-BE,J,CLP-108-02-G-D-BE,connector_footprints:CLP-108-02-G-D-BE,https://suddendocs.samtec.com/catalog_english/clp_sm.pdf?_gl=1*1y4jlr9*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY4MDQ4OS4xNS4xLjE3MzY2ODEzNzcuNjAuMC4w,"Samtec CLP-1xx-02-G-D-BE series,  8 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,CLP-108-02-G-D-BE,CLP-1xx-02-G-D-BE,https://www.trustedparts.com/en/search/CLP-108-02-G-D-BE,Black,1.27,8,Vertical,5.2,300,Surface Mount,Tin,2
J_CLP-109-02-G-D-BE,J,CLP-109-02-G-D-BE,connector_footprints:CLP-109-02-G-D-BE,https://suddendocs.samtec.com/catalog_english/clp_sm.pdf?_gl=1*1y4jlr9*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY4MDQ4OS4xNS4xLjE3MzY2ODEzNzcuNjAuMC4w,"Samtec CLP-1xx-02-G-D-BE series,  9 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,CLP-109-02-G-D-BE,CLP-1xx-02-G-D-BE,https://www.trustedparts.com/en/search/CLP-109-02-G-D-BE,Black,1.27,9,Vertical,5.2,300,Surface Mount,Tin,2
J_CLP-110-02-G-D-BE,J,CLP-110-02-G-D-BE,connector_footprints:CLP-110-02-G-D-BE,https://suddendocs.samtec.com/catalog_english/clp_sm.pdf?_gl=1*1y4jlr9*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY4MDQ4OS4xNS4xLjE3MzY2ODEzNzcuNjAuMC4w,"Samtec CLP-1xx-02-G-D-BE series,  10 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,CLP-110-02-G-D-BE,CLP-1xx-02-G-D-BE,https://www.trustedparts.com/en/search/CLP-110-02-G-D-BE,Black,1.27,10,Vertical,5.2,300,Surface Mount,Tin,2
J_CLP-111-02-G-D-BE,J,CLP-111-02-G-D-BE,connector_footprints:CLP-111-02-G-D-BE,https://suddendocs.samtec.com/catalog_english/clp_sm.pdf?_gl=1*1y4jlr9*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY4MDQ4OS4xNS4xLjE3MzY2ODEzNzcuNjAuMC4w,"Samtec CLP-1xx-02-G-D-BE series,  11 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,CLP-111-02-G-D-BE,CLP-1xx-02-G-D-BE,https://www.trustedparts.com/en/search/CLP-111-02-G-D-BE,Black,1.27,11,Vertical,5.2,300,Surface Mount,Tin,2
