Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_CRM1206-FX-R050ELF,R,0.05 Ω,resistor_footprints:R_1206_3216Metric,https://bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11,RES SMD 0.05 Ω 1% 1206 200,Bourns,CRM1206-FX-R050ELF,1%,100 ppm/°C,200,1206,3216,CRM1206-FX-,https://www.trustedparts.com/en/search/CRM1206-FX-R050ELF,Resistor
R_CRM1206-FX-R150ELF,R,0.15 Ω,resistor_footprints:R_1206_3216Metric,https://bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11,RES SMD 0.15 Ω 1% 1206 200,Bourns,CRM1206-FX-R150ELF,1%,100 ppm/°C,200,1206,3216,CRM1206-FX-,https://www.trustedparts.com/en/search/CRM1206-FX-R150ELF,Resistor
R_CRM1206-FX-R680ELF,R,0.68 Ω,resistor_footprints:R_1206_3216Metric,https://bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11,RES SMD 0.68 Ω 1% 1206 200,Bourns,CRM1206-FX-R680ELF,1%,100 ppm/°C,200,1206,3216,CRM1206-FX-,https://www.trustedparts.com/en/search/CRM1206-FX-R680ELF,Resistor
R_CRM1206-FX-R750ELF,R,0.75 Ω,resistor_footprints:R_1206_3216Metric,https://bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11,RES SMD 0.75 Ω 1% 1206 200,Bourns,CRM1206-FX-R750ELF,1%,100 ppm/°C,200,1206,3216,CRM1206-FX-,https://www.trustedparts.com/en/search/CRM1206-FX-R750ELF,Resistor
R_CRM1206-FX-1R50ELF,R,1.5 Ω,resistor_footprints:R_1206_3216Metric,https://bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11,RES SMD 1.5 Ω 1% 1206 200,Bourns,CRM1206-FX-1R50ELF,1%,100 ppm/°C,200,1206,3216,CRM1206-FX-,https://www.trustedparts.com/en/search/CRM1206-FX-1R50ELF,Resistor
R_CRM1206-FX-2R00ELF,R,2 Ω,resistor_footprints:R_1206_3216Metric,https://bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11,RES SMD 2 Ω 1% 1206 200,Bourns,CRM1206-FX-2R00ELF,1%,100 ppm/°C,200,1206,3216,CRM1206-FX-,https://www.trustedparts.com/en/search/CRM1206-FX-2R00ELF,Resistor
R_CRM1206-FX-2R20ELF,R,2.2 Ω,resistor_footprints:R_1206_3216Metric,https://bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11,RES SMD 2.2 Ω 1% 1206 200,Bourns,CRM1206-FX-2R20ELF,1%,100 ppm/°C,200,1206,3216,CRM1206-FX-,https://www.trustedparts.com/en/search/CRM1206-FX-2R20ELF,Resistor
R_CRM1206-FX-4R75ELF,R,4.75 Ω,resistor_footprints:R_1206_3216Metric,https://bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11,RES SMD 4.75 Ω 1% 1206 200,Bourns,CRM1206-FX-4R75ELF,1%,100 ppm/°C,200,1206,3216,CRM1206-FX-,https://www.trustedparts.com/en/search/CRM1206-FX-4R75ELF,Resistor
R_CRM1206-FX-5R60ELF,R,5.6 Ω,resistor_footprints:R_1206_3216Metric,https://bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11,RES SMD 5.6 Ω 1% 1206 200,Bourns,CRM1206-FX-5R60ELF,1%,100 ppm/°C,200,1206,3216,CRM1206-FX-,https://www.trustedparts.com/en/search/CRM1206-FX-5R60ELF,Resistor
R_CRM1206-FX-15R0ELF,R,15 Ω,resistor_footprints:R_1206_3216Metric,https://bourns.com/docs/product-datasheets/crm0805_1206_2010.pdf?sfvrsn=a50d66f6_11,RES SMD 15 Ω 1% 1206 200,Bourns,CRM1206-FX-15R0ELF,1%,100 ppm/°C,200,1206,3216,CRM1206-FX-,https://www.trustedparts.com/en/search/CRM1206-FX-15R0ELF,Resistor
