Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_ERJ-3EKF10R0V,R,10 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10 Ω 1% 0603 75V,Panasonic,ERJ-3EKF10R0V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF10R0V,Resistor
R_ERJ-3EKF10R2V,R,10.2 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.2 Ω 1% 0603 75V,Panasonic,ERJ-3EKF10R2V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF10R2V,Resistor
R_ERJ-3EKF10R5V,R,10.5 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.5 Ω 1% 0603 75V,Panasonic,ERJ-3EKF10R5V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF10R5V,Resistor
R_ERJ-3EKF10R7V,R,10.7 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 10.7 Ω 1% 0603 75V,Panasonic,ERJ-3EKF10R7V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF10R7V,Resistor
R_ERJ-3EKF11R0V,R,11 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11 Ω 1% 0603 75V,Panasonic,ERJ-3EKF11R0V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF11R0V,Resistor
R_ERJ-3EKF11R3V,R,11.3 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.3 Ω 1% 0603 75V,Panasonic,ERJ-3EKF11R3V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF11R3V,Resistor
R_ERJ-3EKF11R5V,R,11.5 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.5 Ω 1% 0603 75V,Panasonic,ERJ-3EKF11R5V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF11R5V,Resistor
R_ERJ-3EKF11R8V,R,11.8 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.8 Ω 1% 0603 75V,Panasonic,ERJ-3EKF11R8V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF11R8V,Resistor
R_ERJ-3EKF12R0V,R,12 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12 Ω 1% 0603 75V,Panasonic,ERJ-3EKF12R0V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF12R0V,Resistor
R_ERJ-3EKF12R1V,R,12.1 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.1 Ω 1% 0603 75V,Panasonic,ERJ-3EKF12R1V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF12R1V,Resistor
R_ERJ-3EKF12R4V,R,12.4 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.4 Ω 1% 0603 75V,Panasonic,ERJ-3EKF12R4V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF12R4V,Resistor
R_ERJ-3EKF12R7V,R,12.7 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.7 Ω 1% 0603 75V,Panasonic,ERJ-3EKF12R7V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF12R7V,Resistor
R_ERJ-3EKF13R0V,R,13 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13 Ω 1% 0603 75V,Panasonic,ERJ-3EKF13R0V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF13R0V,Resistor
R_ERJ-3EKF13R3V,R,13.3 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13.3 Ω 1% 0603 75V,Panasonic,ERJ-3EKF13R3V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF13R3V,Resistor
R_ERJ-3EKF13R7V,R,13.7 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13.7 Ω 1% 0603 75V,Panasonic,ERJ-3EKF13R7V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF13R7V,Resistor
R_ERJ-3EKF14R0V,R,14 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 14 Ω 1% 0603 75V,Panasonic,ERJ-3EKF14R0V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF14R0V,Resistor
R_ERJ-3EKF14R3V,R,14.3 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 14.3 Ω 1% 0603 75V,Panasonic,ERJ-3EKF14R3V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF14R3V,Resistor
