Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_ERJ-6DQFR22V,R,220 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 220 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR22V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR22V,Resistor
R_ERJ-6DQFR24V,R,240 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 240 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR24V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR24V,Resistor
R_ERJ-6DQFR27V,R,270 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 270 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR27V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR27V,Resistor
R_ERJ-6DQFR30V,R,300 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 300 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR30V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR30V,Resistor
R_ERJ-6DQFR33V,R,330 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 330 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR33V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR33V,Resistor
R_ERJ-6DQFR36V,R,360 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 360 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR36V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR36V,Resistor
R_ERJ-6DQFR39V,R,390 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 390 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR39V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR39V,Resistor
R_ERJ-6DQFR43V,R,430 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 430 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR43V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR43V,Resistor
R_ERJ-6DQFR47V,R,470 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 470 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR47V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR47V,Resistor
R_ERJ-6DQFR51V,R,510 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 510 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR51V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR51V,Resistor
R_ERJ-6DQFR56V,R,560 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 560 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR56V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR56V,Resistor
R_ERJ-6DQFR62V,R,620 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 620 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR62V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR62V,Resistor
R_ERJ-6DQFR68V,R,680 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 680 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR68V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR68V,Resistor
R_ERJ-6DQFR75V,R,750 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 750 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR75V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR75V,Resistor
R_ERJ-6DQFR82V,R,820 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 820 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR82V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR82V,Resistor
R_ERJ-6DQFR91V,R,910 mΩ,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 910 mΩ 1% 0805 150V,Panasonic,ERJ-6DQFR91V,1%,100 ppm/°C,150V,0805,2012,ERJ-6DQF,https://www.trustedparts.com/en/search/ERJ-6DQFR91V,Resistor
