Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_ERJ-B2BFR22V,R,220 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 220 mΩ 1% 0612 ,Panasonic,ERJ-B2BFR22V,1%,,,0612,1632,ERJ-B2BF,https://www.trustedparts.com/en/search/ERJ-B2BFR22V,Resistor
R_ERJ-B2BFR24V,R,240 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 240 mΩ 1% 0612 ,Panasonic,ERJ-B2BFR24V,1%,,,0612,1632,ERJ-B2BF,https://www.trustedparts.com/en/search/ERJ-B2BFR24V,Resistor
R_ERJ-B2BFR33V,R,330 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 330 mΩ 1% 0612 ,Panasonic,ERJ-B2BFR33V,1%,,,0612,1632,ERJ-B2BF,https://www.trustedparts.com/en/search/ERJ-B2BFR33V,Resistor
R_ERJ-B2BFR39V,R,390 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 390 mΩ 1% 0612 ,Panasonic,ERJ-B2BFR39V,1%,,,0612,1632,ERJ-B2BF,https://www.trustedparts.com/en/search/ERJ-B2BFR39V,Resistor
R_ERJ-B2BFR51V,R,510 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 510 mΩ 1% 0612 ,Panasonic,ERJ-B2BFR51V,1%,,,0612,1632,ERJ-B2BF,https://www.trustedparts.com/en/search/ERJ-B2BFR51V,Resistor
R_ERJ-B2BFR62V,R,620 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 620 mΩ 1% 0612 ,Panasonic,ERJ-B2BFR62V,1%,,,0612,1632,ERJ-B2BF,https://www.trustedparts.com/en/search/ERJ-B2BFR62V,Resistor
R_ERJ-B2BFR68V,R,680 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 680 mΩ 1% 0612 ,Panasonic,ERJ-B2BFR68V,1%,,,0612,1632,ERJ-B2BF,https://www.trustedparts.com/en/search/ERJ-B2BFR68V,Resistor
R_ERJ-B2BFR75V,R,750 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 750 mΩ 1% 0612 ,Panasonic,ERJ-B2BFR75V,1%,,,0612,1632,ERJ-B2BF,https://www.trustedparts.com/en/search/ERJ-B2BFR75V,Resistor
R_ERJ-B2BFR82V,R,820 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 820 mΩ 1% 0612 ,Panasonic,ERJ-B2BFR82V,1%,,,0612,1632,ERJ-B2BF,https://www.trustedparts.com/en/search/ERJ-B2BFR82V,Resistor
R_ERJ-B2BFR91V,R,910 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 910 mΩ 1% 0612 ,Panasonic,ERJ-B2BFR91V,1%,,,0612,1632,ERJ-B2BF,https://www.trustedparts.com/en/search/ERJ-B2BFR91V,Resistor
