Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_ERJ-B2CFR01V,R,10 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 10 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR01V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR01V,Resistor
R_ERJ-B2CFR013V,R,13 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 13 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR013V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR013V,Resistor
R_ERJ-B2CFR015V,R,15 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 15 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR015V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR015V,Resistor
R_ERJ-B2CFR016V,R,16 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 16 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR016V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR016V,Resistor
R_ERJ-B2CFR018V,R,18 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 18 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR018V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR018V,Resistor
R_ERJ-B2CFR02V,R,20 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 20 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR02V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR02V,Resistor
R_ERJ-B2CFR022V,R,22 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 22 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR022V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR022V,Resistor
R_ERJ-B2CFR024V,R,24 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 24 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR024V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR024V,Resistor
R_ERJ-B2CFR027V,R,27 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 27 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR027V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR027V,Resistor
R_ERJ-B2CFR03V,R,30 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 30 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR03V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR03V,Resistor
R_ERJ-B2CFR033V,R,33 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 33 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR033V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR033V,Resistor
R_ERJ-B2CFR036V,R,36 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 36 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR036V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR036V,Resistor
R_ERJ-B2CFR047V,R,47 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 47 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR047V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR047V,Resistor
R_ERJ-B2CFR05V,R,50 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 50 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR05V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR05V,Resistor
R_ERJ-B2CFR051V,R,51 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 51 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR051V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR051V,Resistor
R_ERJ-B2CFR056V,R,56 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 56 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR056V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR056V,Resistor
R_ERJ-B2CFR068V,R,68 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 68 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR068V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR068V,Resistor
R_ERJ-B2CFR075V,R,75 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 75 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR075V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR075V,Resistor
R_ERJ-B2CFR082V,R,82 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 82 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR082V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR082V,Resistor
R_ERJ-B2CFR10V,R,100 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 100 mΩ 1% 0612 ,Panasonic,ERJ-B2CFR10V,1%,,,0612,1632,ERJ-B2CF,https://www.trustedparts.com/en/search/ERJ-B2CFR10V,Resistor
