Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_FTR-102-03-L-S,J,FTR-102-03-L-S,connector_footprints:FTR-102-03-L-S,https://suddendocs.samtec.com/catalog_english/ftr_smt.pdf?_gl=1*17eh0a1*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg3NzAzNy4yNC4xLjE3MzY4NzcyMTEuMjQuMC4w,"Samtec FTR-1xx-03-L-S series,  2 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTR-102-03-L-S,FTR-1xx-03-L-S,https://www.trustedparts.com/en/search/FTR-102-03-L-S,Black,1.27,2,Vertical,5.2,300,Surface Mount,Tin,1
J_FTR-103-03-L-S,J,FTR-103-03-L-S,connector_footprints:FTR-103-03-L-S,https://suddendocs.samtec.com/catalog_english/ftr_smt.pdf?_gl=1*17eh0a1*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg3NzAzNy4yNC4xLjE3MzY4NzcyMTEuMjQuMC4w,"Samtec FTR-1xx-03-L-S series,  3 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTR-103-03-L-S,FTR-1xx-03-L-S,https://www.trustedparts.com/en/search/FTR-103-03-L-S,Black,1.27,3,Vertical,5.2,300,Surface Mount,Tin,1
J_FTR-104-03-L-S,J,FTR-104-03-L-S,connector_footprints:FTR-104-03-L-S,https://suddendocs.samtec.com/catalog_english/ftr_smt.pdf?_gl=1*17eh0a1*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg3NzAzNy4yNC4xLjE3MzY4NzcyMTEuMjQuMC4w,"Samtec FTR-1xx-03-L-S series,  4 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTR-104-03-L-S,FTR-1xx-03-L-S,https://www.trustedparts.com/en/search/FTR-104-03-L-S,Black,1.27,4,Vertical,5.2,300,Surface Mount,Tin,1
J_FTR-105-03-L-S,J,FTR-105-03-L-S,connector_footprints:FTR-105-03-L-S,https://suddendocs.samtec.com/catalog_english/ftr_smt.pdf?_gl=1*17eh0a1*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg3NzAzNy4yNC4xLjE3MzY4NzcyMTEuMjQuMC4w,"Samtec FTR-1xx-03-L-S series,  5 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTR-105-03-L-S,FTR-1xx-03-L-S,https://www.trustedparts.com/en/search/FTR-105-03-L-S,Black,1.27,5,Vertical,5.2,300,Surface Mount,Tin,1
J_FTR-106-03-L-S,J,FTR-106-03-L-S,connector_footprints:FTR-106-03-L-S,https://suddendocs.samtec.com/catalog_english/ftr_smt.pdf?_gl=1*17eh0a1*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg3NzAzNy4yNC4xLjE3MzY4NzcyMTEuMjQuMC4w,"Samtec FTR-1xx-03-L-S series,  6 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTR-106-03-L-S,FTR-1xx-03-L-S,https://www.trustedparts.com/en/search/FTR-106-03-L-S,Black,1.27,6,Vertical,5.2,300,Surface Mount,Tin,1
J_FTR-107-03-L-S,J,FTR-107-03-L-S,connector_footprints:FTR-107-03-L-S,https://suddendocs.samtec.com/catalog_english/ftr_smt.pdf?_gl=1*17eh0a1*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg3NzAzNy4yNC4xLjE3MzY4NzcyMTEuMjQuMC4w,"Samtec FTR-1xx-03-L-S series,  7 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTR-107-03-L-S,FTR-1xx-03-L-S,https://www.trustedparts.com/en/search/FTR-107-03-L-S,Black,1.27,7,Vertical,5.2,300,Surface Mount,Tin,1
J_FTR-108-03-L-S,J,FTR-108-03-L-S,connector_footprints:FTR-108-03-L-S,https://suddendocs.samtec.com/catalog_english/ftr_smt.pdf?_gl=1*17eh0a1*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg3NzAzNy4yNC4xLjE3MzY4NzcyMTEuMjQuMC4w,"Samtec FTR-1xx-03-L-S series,  8 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTR-108-03-L-S,FTR-1xx-03-L-S,https://www.trustedparts.com/en/search/FTR-108-03-L-S,Black,1.27,8,Vertical,5.2,300,Surface Mount,Tin,1
J_FTR-109-03-L-S,J,FTR-109-03-L-S,connector_footprints:FTR-109-03-L-S,https://suddendocs.samtec.com/catalog_english/ftr_smt.pdf?_gl=1*17eh0a1*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg3NzAzNy4yNC4xLjE3MzY4NzcyMTEuMjQuMC4w,"Samtec FTR-1xx-03-L-S series,  9 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTR-109-03-L-S,FTR-1xx-03-L-S,https://www.trustedparts.com/en/search/FTR-109-03-L-S,Black,1.27,9,Vertical,5.2,300,Surface Mount,Tin,1
J_FTR-110-03-L-S,J,FTR-110-03-L-S,connector_footprints:FTR-110-03-L-S,https://suddendocs.samtec.com/catalog_english/ftr_smt.pdf?_gl=1*17eh0a1*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg3NzAzNy4yNC4xLjE3MzY4NzcyMTEuMjQuMC4w,"Samtec FTR-1xx-03-L-S series,  10 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTR-110-03-L-S,FTR-1xx-03-L-S,https://www.trustedparts.com/en/search/FTR-110-03-L-S,Black,1.27,10,Vertical,5.2,300,Surface Mount,Tin,1
J_FTR-111-03-L-S,J,FTR-111-03-L-S,connector_footprints:FTR-111-03-L-S,https://suddendocs.samtec.com/catalog_english/ftr_smt.pdf?_gl=1*17eh0a1*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg3NzAzNy4yNC4xLjE3MzY4NzcyMTEuMjQuMC4w,"Samtec FTR-1xx-03-L-S series,  11 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTR-111-03-L-S,FTR-1xx-03-L-S,https://www.trustedparts.com/en/search/FTR-111-03-L-S,Black,1.27,11,Vertical,5.2,300,Surface Mount,Tin,1
