Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_FTSH-102-04-L-DH,J,FTSH-102-04-L-DH,connector_footprints:FTSH-102-04-L-DH,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*uwyfuk*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTk5OTE3NDIkbzE1JGcxJHQxNzU5OTkxODU5JGo4JGwwJGgw,"Samtec FTSH-1xx-04-L-DH series,  2 positions connector,  1.27 mm pitch,  Black,  Horizontal mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-102-04-L-DH,FTSH-1xx-04-L-DH,https://www.trustedparts.com/en/search/FTSH-102-04-L-DH,Black,1.27,2,Horizontal,5.2,300,Surface Mount,Tin,2
J_FTSH-103-04-L-DH,J,FTSH-103-04-L-DH,connector_footprints:FTSH-103-04-L-DH,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*uwyfuk*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTk5OTE3NDIkbzE1JGcxJHQxNzU5OTkxODU5JGo4JGwwJGgw,"Samtec FTSH-1xx-04-L-DH series,  3 positions connector,  1.27 mm pitch,  Black,  Horizontal mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-103-04-L-DH,FTSH-1xx-04-L-DH,https://www.trustedparts.com/en/search/FTSH-103-04-L-DH,Black,1.27,3,Horizontal,5.2,300,Surface Mount,Tin,2
J_FTSH-104-04-L-DH,J,FTSH-104-04-L-DH,connector_footprints:FTSH-104-04-L-DH,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*uwyfuk*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTk5OTE3NDIkbzE1JGcxJHQxNzU5OTkxODU5JGo4JGwwJGgw,"Samtec FTSH-1xx-04-L-DH series,  4 positions connector,  1.27 mm pitch,  Black,  Horizontal mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-104-04-L-DH,FTSH-1xx-04-L-DH,https://www.trustedparts.com/en/search/FTSH-104-04-L-DH,Black,1.27,4,Horizontal,5.2,300,Surface Mount,Tin,2
J_FTSH-105-04-L-DH,J,FTSH-105-04-L-DH,connector_footprints:FTSH-105-04-L-DH,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*uwyfuk*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTk5OTE3NDIkbzE1JGcxJHQxNzU5OTkxODU5JGo4JGwwJGgw,"Samtec FTSH-1xx-04-L-DH series,  5 positions connector,  1.27 mm pitch,  Black,  Horizontal mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-105-04-L-DH,FTSH-1xx-04-L-DH,https://www.trustedparts.com/en/search/FTSH-105-04-L-DH,Black,1.27,5,Horizontal,5.2,300,Surface Mount,Tin,2
J_FTSH-106-04-L-DH,J,FTSH-106-04-L-DH,connector_footprints:FTSH-106-04-L-DH,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*uwyfuk*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTk5OTE3NDIkbzE1JGcxJHQxNzU5OTkxODU5JGo4JGwwJGgw,"Samtec FTSH-1xx-04-L-DH series,  6 positions connector,  1.27 mm pitch,  Black,  Horizontal mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-106-04-L-DH,FTSH-1xx-04-L-DH,https://www.trustedparts.com/en/search/FTSH-106-04-L-DH,Black,1.27,6,Horizontal,5.2,300,Surface Mount,Tin,2
J_FTSH-107-04-L-DH,J,FTSH-107-04-L-DH,connector_footprints:FTSH-107-04-L-DH,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*uwyfuk*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTk5OTE3NDIkbzE1JGcxJHQxNzU5OTkxODU5JGo4JGwwJGgw,"Samtec FTSH-1xx-04-L-DH series,  7 positions connector,  1.27 mm pitch,  Black,  Horizontal mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-107-04-L-DH,FTSH-1xx-04-L-DH,https://www.trustedparts.com/en/search/FTSH-107-04-L-DH,Black,1.27,7,Horizontal,5.2,300,Surface Mount,Tin,2
J_FTSH-108-04-L-DH,J,FTSH-108-04-L-DH,connector_footprints:FTSH-108-04-L-DH,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*uwyfuk*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTk5OTE3NDIkbzE1JGcxJHQxNzU5OTkxODU5JGo4JGwwJGgw,"Samtec FTSH-1xx-04-L-DH series,  8 positions connector,  1.27 mm pitch,  Black,  Horizontal mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-108-04-L-DH,FTSH-1xx-04-L-DH,https://www.trustedparts.com/en/search/FTSH-108-04-L-DH,Black,1.27,8,Horizontal,5.2,300,Surface Mount,Tin,2
J_FTSH-109-04-L-DH,J,FTSH-109-04-L-DH,connector_footprints:FTSH-109-04-L-DH,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*uwyfuk*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTk5OTE3NDIkbzE1JGcxJHQxNzU5OTkxODU5JGo4JGwwJGgw,"Samtec FTSH-1xx-04-L-DH series,  9 positions connector,  1.27 mm pitch,  Black,  Horizontal mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-109-04-L-DH,FTSH-1xx-04-L-DH,https://www.trustedparts.com/en/search/FTSH-109-04-L-DH,Black,1.27,9,Horizontal,5.2,300,Surface Mount,Tin,2
J_FTSH-110-04-L-DH,J,FTSH-110-04-L-DH,connector_footprints:FTSH-110-04-L-DH,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*uwyfuk*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTk5OTE3NDIkbzE1JGcxJHQxNzU5OTkxODU5JGo4JGwwJGgw,"Samtec FTSH-1xx-04-L-DH series,  10 positions connector,  1.27 mm pitch,  Black,  Horizontal mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-110-04-L-DH,FTSH-1xx-04-L-DH,https://www.trustedparts.com/en/search/FTSH-110-04-L-DH,Black,1.27,10,Horizontal,5.2,300,Surface Mount,Tin,2
J_FTSH-111-04-L-DH,J,FTSH-111-04-L-DH,connector_footprints:FTSH-111-04-L-DH,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*uwyfuk*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTk5OTE3NDIkbzE1JGcxJHQxNzU5OTkxODU5JGo4JGwwJGgw,"Samtec FTSH-1xx-04-L-DH series,  11 positions connector,  1.27 mm pitch,  Black,  Horizontal mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-111-04-L-DH,FTSH-1xx-04-L-DH,https://www.trustedparts.com/en/search/FTSH-111-04-L-DH,Black,1.27,11,Horizontal,5.2,300,Surface Mount,Tin,2
