Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type
C_GCJ188R71H102KA01D,C,1 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ188R71H102KA01-01.pdf,CAP SMD 1 nF X7R 10% 0603 50V,Murata Electronics,GCJ188R71H102KA01D,X7R,10%,50V,0603,1608,GCJ188R71H,https://www.trustedparts.com/en/search/GCJ188R71H102KA01D,Ceramic
C_GCJ188R71H152KA01D,C,1.5 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ188R71H152KA01-01.pdf,CAP SMD 1.5 nF X7R 10% 0603 50V,Murata Electronics,GCJ188R71H152KA01D,X7R,10%,50V,0603,1608,GCJ188R71H,https://www.trustedparts.com/en/search/GCJ188R71H152KA01D,Ceramic
C_GCJ188R71H222KA01D,C,2.2 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ188R71H222KA01-01.pdf,CAP SMD 2.2 nF X7R 10% 0603 50V,Murata Electronics,GCJ188R71H222KA01D,X7R,10%,50V,0603,1608,GCJ188R71H,https://www.trustedparts.com/en/search/GCJ188R71H222KA01D,Ceramic
C_GCJ188R71H272KA01D,C,2.7 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ188R71H272KA01-01.pdf,CAP SMD 2.7 nF X7R 10% 0603 50V,Murata Electronics,GCJ188R71H272KA01D,X7R,10%,50V,0603,1608,GCJ188R71H,https://www.trustedparts.com/en/search/GCJ188R71H272KA01D,Ceramic
C_GCJ188R71H332KA01D,C,3.3 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ188R71H332KA01-01.pdf,CAP SMD 3.3 nF X7R 10% 0603 50V,Murata Electronics,GCJ188R71H332KA01D,X7R,10%,50V,0603,1608,GCJ188R71H,https://www.trustedparts.com/en/search/GCJ188R71H332KA01D,Ceramic
C_GCJ188R71H472KA01D,C,4.7 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ188R71H472KA01-01.pdf,CAP SMD 4.7 nF X7R 10% 0603 50V,Murata Electronics,GCJ188R71H472KA01D,X7R,10%,50V,0603,1608,GCJ188R71H,https://www.trustedparts.com/en/search/GCJ188R71H472KA01D,Ceramic
C_GCJ188R71H682KA01D,C,6.8 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ188R71H682KA01-01.pdf,CAP SMD 6.8 nF X7R 10% 0603 50V,Murata Electronics,GCJ188R71H682KA01D,X7R,10%,50V,0603,1608,GCJ188R71H,https://www.trustedparts.com/en/search/GCJ188R71H682KA01D,Ceramic
C_GCJ188R71H103KA01D,C,10 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ188R71H103KA01-01.pdf,CAP SMD 10 nF X7R 10% 0603 50V,Murata Electronics,GCJ188R71H103KA01D,X7R,10%,50V,0603,1608,GCJ188R71H,https://www.trustedparts.com/en/search/GCJ188R71H103KA01D,Ceramic
C_GCJ188R71H153KA01D,C,15 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ188R71H153KA01-01.pdf,CAP SMD 15 nF X7R 10% 0603 50V,Murata Electronics,GCJ188R71H153KA01D,X7R,10%,50V,0603,1608,GCJ188R71H,https://www.trustedparts.com/en/search/GCJ188R71H153KA01D,Ceramic
C_GCJ188R71H223KA01D,C,22 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ188R71H223KA01-01.pdf,CAP SMD 22 nF X7R 10% 0603 50V,Murata Electronics,GCJ188R71H223KA01D,X7R,10%,50V,0603,1608,GCJ188R71H,https://www.trustedparts.com/en/search/GCJ188R71H223KA01D,Ceramic
