Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type
C_GCM216R71H102KA37D,C,1 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H102KA37-01.pdf,CAP SMD 1 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H102KA37D,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H102KA37D,Ceramic
C_GCM216R71H102KA37J,C,1 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H102KA37-01.pdf,CAP SMD 1 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H102KA37J,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H102KA37J,Ceramic
C_GCM216R71H122KA37D,C,1.2 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H122KA37-01.pdf,CAP SMD 1.2 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H122KA37D,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H122KA37D,Ceramic
C_GCM216R71H122KA37J,C,1.2 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H122KA37-01.pdf,CAP SMD 1.2 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H122KA37J,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H122KA37J,Ceramic
C_GCM216R71H152KA37D,C,1.5 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H152KA37-01.pdf,CAP SMD 1.5 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H152KA37D,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H152KA37D,Ceramic
C_GCM216R71H152KA37J,C,1.5 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H152KA37-01.pdf,CAP SMD 1.5 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H152KA37J,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H152KA37J,Ceramic
C_GCM216R71H182KA37D,C,1.8 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H182KA37-01.pdf,CAP SMD 1.8 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H182KA37D,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H182KA37D,Ceramic
C_GCM216R71H182KA37J,C,1.8 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H182KA37-01.pdf,CAP SMD 1.8 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H182KA37J,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H182KA37J,Ceramic
C_GCM216R71H222KA37D,C,2.2 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H222KA37-01.pdf,CAP SMD 2.2 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H222KA37D,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H222KA37D,Ceramic
C_GCM216R71H222KA37J,C,2.2 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H222KA37-01.pdf,CAP SMD 2.2 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H222KA37J,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H222KA37J,Ceramic
C_GCM216R71H272KA37D,C,2.7 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H272KA37-01.pdf,CAP SMD 2.7 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H272KA37D,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H272KA37D,Ceramic
C_GCM216R71H272KA37J,C,2.7 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H272KA37-01.pdf,CAP SMD 2.7 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H272KA37J,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H272KA37J,Ceramic
C_GCM216R71H332KA37D,C,3.3 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H332KA37-01.pdf,CAP SMD 3.3 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H332KA37D,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H332KA37D,Ceramic
C_GCM216R71H332KA37J,C,3.3 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H332KA37-01.pdf,CAP SMD 3.3 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H332KA37J,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H332KA37J,Ceramic
C_GCM216R71H392KA37D,C,3.9 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H392KA37-01.pdf,CAP SMD 3.9 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H392KA37D,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H392KA37D,Ceramic
C_GCM216R71H392KA37J,C,3.9 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H392KA37-01.pdf,CAP SMD 3.9 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H392KA37J,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H392KA37J,Ceramic
C_GCM216R71H472KA37D,C,4.7 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H472KA37-01.pdf,CAP SMD 4.7 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H472KA37D,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H472KA37D,Ceramic
C_GCM216R71H472KA37J,C,4.7 nF,capacitor_footprints:C_0805_060_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H472KA37-01.pdf,CAP SMD 4.7 nF X7R 10% 0805_060 50V,Murata Electronics,GCM216R71H472KA37J,X7R,10%,50V,0805_060,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H472KA37J,Ceramic
