Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type
C_GJM1555C1H5R6FB01D,C,5.6 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H5R6FB01-01.pdf,CAP SMD 5.6 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H5R6FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H5R6FB01D,Ceramic
C_GJM1555C1H8R0FB01D,C,8 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H8R0FB01-01.pdf,CAP SMD 8 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H8R0FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H8R0FB01D,Ceramic
C_GJM1555C1H8R2FB01D,C,8.2 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H8R2FB01-01.pdf,CAP SMD 8.2 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H8R2FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H8R2FB01D,Ceramic
C_GJM1555C1H9R0FB01D,C,9 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H9R0FB01-01.pdf,CAP SMD 9 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H9R0FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H9R0FB01D,Ceramic
C_GJM1555C1H100FB01D,C,10 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H100FB01-01.pdf,CAP SMD 10 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H100FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H100FB01D,Ceramic
C_GJM1555C1H110FB01D,C,11 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H110FB01-01.pdf,CAP SMD 11 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H110FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H110FB01D,Ceramic
C_GJM1555C1H120FB01D,C,12 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H120FB01-01.pdf,CAP SMD 12 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H120FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H120FB01D,Ceramic
C_GJM1555C1H130FB01D,C,13 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H130FB01-01.pdf,CAP SMD 13 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H130FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H130FB01D,Ceramic
C_GJM1555C1H140FB01D,C,14 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H140FB01-01.pdf,CAP SMD 14 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H140FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H140FB01D,Ceramic
C_GJM1555C1H150FB01D,C,15 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H150FB01-01.pdf,CAP SMD 15 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H150FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H150FB01D,Ceramic
C_GJM1555C1H160FB01D,C,16 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H160FB01-01.pdf,CAP SMD 16 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H160FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H160FB01D,Ceramic
C_GJM1555C1H180FB01D,C,18 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H180FB01-01.pdf,CAP SMD 18 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H180FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H180FB01D,Ceramic
C_GJM1555C1H190FB01D,C,19 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H190FB01-01.pdf,CAP SMD 19 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H190FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H190FB01D,Ceramic
C_GJM1555C1H200FB01D,C,20 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H200FB01-01.pdf,CAP SMD 20 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H200FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H200FB01D,Ceramic
C_GJM1555C1H220FB01D,C,22 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H220FB01-01.pdf,CAP SMD 22 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H220FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H220FB01D,Ceramic
C_GJM1555C1H240FB01D,C,24 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H240FB01-01.pdf,CAP SMD 24 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H240FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H240FB01D,Ceramic
C_GJM1555C1H270FB01D,C,27 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H270FB01-01.pdf,CAP SMD 27 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GJM1555C1H270FB01D,C0G (NP0),1%,50V,0402,1005,GJM1555C1H,https://www.trustedparts.com/en/search/GJM1555C1H270FB01D,Ceramic
