Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type
C_HV0810-2R7105-R,C,1000000 µF,capacitor_footprints:C_138x315_3_5x8Metric,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdfHV0810-2R7105-R,CAP SMD 1000000 µF Supercapacitor 10% 138x315 2.7V,Eaton Electronics,HV0810-2R7105-R,Supercapacitor,10%,2.7V,138x315,3_5x8,HV0810-2R7,https://www.trustedparts.com/en/search/HV0810-2R7105-R,Supercapacitor
C_HV0810-2R7105-R,C,1000000 µF,capacitor_footprints:C_138x315_3_5x8Metric,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdfHV0810-2R7105-R,CAP SMD 1000000 µF Supercapacitor 10% 138x315 2.7V,Eaton Electronics,HV0810-2R7105-R,Supercapacitor,10%,2.7V,138x315,3_5x8,HV0810-2R7,https://www.trustedparts.com/en/search/HV0810-2R7105-R,Supercapacitor
C_HV0810-2R7125-R,C,1200000 µF,capacitor_footprints:C_138x315_3_5x8Metric,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdfHV0810-2R7125-R,CAP SMD 1200000 µF Supercapacitor 10% 138x315 2.7V,Eaton Electronics,HV0810-2R7125-R,Supercapacitor,10%,2.7V,138x315,3_5x8,HV0810-2R7,https://www.trustedparts.com/en/search/HV0810-2R7125-R,Supercapacitor
C_HV0810-2R7155-R,C,1500000 µF,capacitor_footprints:C_138x315_3_5x8Metric,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdfHV0810-2R7155-R,CAP SMD 1500000 µF Supercapacitor 10% 138x315 2.7V,Eaton Electronics,HV0810-2R7155-R,Supercapacitor,10%,2.7V,138x315,3_5x8,HV0810-2R7,https://www.trustedparts.com/en/search/HV0810-2R7155-R,Supercapacitor
C_HV0810-2R7185-R,C,1.8e+06 µF,capacitor_footprints:C_138x315_3_5x8Metric,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdfHV0810-2R7185-R,CAP SMD 1.8e+06 µF Supercapacitor 10% 138x315 2.7V,Eaton Electronics,HV0810-2R7185-R,Supercapacitor,10%,2.7V,138x315,3_5x8,HV0810-2R7,https://www.trustedparts.com/en/search/HV0810-2R7185-R,Supercapacitor
C_HV0810-2R7225-R,C,2.2e+06 µF,capacitor_footprints:C_138x315_3_5x8Metric,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdfHV0810-2R7225-R,CAP SMD 2.2e+06 µF Supercapacitor 10% 138x315 2.7V,Eaton Electronics,HV0810-2R7225-R,Supercapacitor,10%,2.7V,138x315,3_5x8,HV0810-2R7,https://www.trustedparts.com/en/search/HV0810-2R7225-R,Supercapacitor
C_HV0810-2R7275-R,C,2.7e+06 µF,capacitor_footprints:C_138x315_3_5x8Metric,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdfHV0810-2R7275-R,CAP SMD 2.7e+06 µF Supercapacitor 10% 138x315 2.7V,Eaton Electronics,HV0810-2R7275-R,Supercapacitor,10%,2.7V,138x315,3_5x8,HV0810-2R7,https://www.trustedparts.com/en/search/HV0810-2R7275-R,Supercapacitor
C_HV0810-2R7305-R,C,3000000 µF,capacitor_footprints:C_138x315_H21_3_5x8Metric,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdfHV0810-2R7305-R,CAP SMD 3000000 µF Supercapacitor 10% 138x315_H21 2.7V,Eaton Electronics,HV0810-2R7305-R,Supercapacitor,10%,2.7V,138x315_H21,3_5x8,HV0810-2R7,https://www.trustedparts.com/en/search/HV0810-2R7305-R,Supercapacitor
C_HV0810-2R7335-R,C,3300000 µF,capacitor_footprints:C_138x315_3_5x8Metric,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdfHV0810-2R7335-R,CAP SMD 3300000 µF Supercapacitor 10% 138x315 2.7V,Eaton Electronics,HV0810-2R7335-R,Supercapacitor,10%,2.7V,138x315,3_5x8,HV0810-2R7,https://www.trustedparts.com/en/search/HV0810-2R7335-R,Supercapacitor
C_HV0810-2R7395-R,C,3900000 µF,capacitor_footprints:C_138x315_3_5x8Metric,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdfHV0810-2R7395-R,CAP SMD 3900000 µF Supercapacitor 10% 138x315 2.7V,Eaton Electronics,HV0810-2R7395-R,Supercapacitor,10%,2.7V,138x315,3_5x8,HV0810-2R7,https://www.trustedparts.com/en/search/HV0810-2R7395-R,Supercapacitor
