Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_IHLP4040DZE_R19M11,L,190 nH,inductor_footprints:IHLP4040DZE_V1,https://www.vishay.com/docs/34192/ihlp-4040dz-11.pdf,INDUCTOR SMD 190 nH ±20%,Vishay,IHLP4040DZE_R19M11,±20%,IHLP4040DZE_,https://www.trustedparts.com/en/search/IHLP4040DZE_R19M11,40.0,0.7
L_IHLP4040DZE_R22M11,L,220 nH,inductor_footprints:IHLP4040DZE_V1,https://www.vishay.com/docs/34192/ihlp-4040dz-11.pdf,INDUCTOR SMD 220 nH ±20%,Vishay,IHLP4040DZE_R22M11,±20%,IHLP4040DZE_,https://www.trustedparts.com/en/search/IHLP4040DZE_R22M11,33.0,0.85
L_IHLP4040DZE_R24M11,L,240 nH,inductor_footprints:IHLP4040DZE_V1,https://www.vishay.com/docs/34192/ihlp-4040dz-11.pdf,INDUCTOR SMD 240 nH ±20%,Vishay,IHLP4040DZE_R24M11,±20%,IHLP4040DZE_,https://www.trustedparts.com/en/search/IHLP4040DZE_R24M11,33.0,0.85
L_IHLP4040DZE_R36M11,L,360 nH,inductor_footprints:IHLP4040DZE_V1,https://www.vishay.com/docs/34192/ihlp-4040dz-11.pdf,INDUCTOR SMD 360 nH ±20%,Vishay,IHLP4040DZE_R36M11,±20%,IHLP4040DZE_,https://www.trustedparts.com/en/search/IHLP4040DZE_R36M11,32.0,1.05
L_IHLP4040DZE_R47M11,L,470 nH,inductor_footprints:IHLP4040DZE_V1,https://www.vishay.com/docs/34192/ihlp-4040dz-11.pdf,INDUCTOR SMD 470 nH ±20%,Vishay,IHLP4040DZE_R47M11,±20%,IHLP4040DZE_,https://www.trustedparts.com/en/search/IHLP4040DZE_R47M11,30.0,1.53
L_IHLP4040DZE_R56M11,L,560 nH,inductor_footprints:IHLP4040DZE_V1,https://www.vishay.com/docs/34192/ihlp-4040dz-11.pdf,INDUCTOR SMD 560 nH ±20%,Vishay,IHLP4040DZE_R56M11,±20%,IHLP4040DZE_,https://www.trustedparts.com/en/search/IHLP4040DZE_R56M11,32.0,1.61
L_IHLP4040DZE_R78M11,L,780 nH,inductor_footprints:IHLP4040DZE_V1,https://www.vishay.com/docs/34192/ihlp-4040dz-11.pdf,INDUCTOR SMD 780 nH ±20%,Vishay,IHLP4040DZE_R78M11,±20%,IHLP4040DZE_,https://www.trustedparts.com/en/search/IHLP4040DZE_R78M11,27.0,1.8
L_IHLP4040DZE_1R0M11,L,1.0 µH,inductor_footprints:IHLP4040DZE_V1,https://www.vishay.com/docs/34192/ihlp-4040dz-11.pdf,INDUCTOR SMD 1.0 µH ±20%,Vishay,IHLP4040DZE_1R0M11,±20%,IHLP4040DZE_,https://www.trustedparts.com/en/search/IHLP4040DZE_1R0M11,25.0,2.3
L_IHLP4040DZE_1R8M11,L,1.8 µH,inductor_footprints:IHLP4040DZE_V2,https://www.vishay.com/docs/34192/ihlp-4040dz-11.pdf,INDUCTOR SMD 1.8 µH ±20%,Vishay,IHLP4040DZE_1R8M11,±20%,IHLP4040DZE_,https://www.trustedparts.com/en/search/IHLP4040DZE_1R8M11,17.0,4.5
L_IHLP4040DZE_2R0M11,L,2.0 µH,inductor_footprints:IHLP4040DZE_V2,https://www.vishay.com/docs/34192/ihlp-4040dz-11.pdf,INDUCTOR SMD 2.0 µH ±20%,Vishay,IHLP4040DZE_2R0M11,±20%,IHLP4040DZE_,https://www.trustedparts.com/en/search/IHLP4040DZE_2R0M11,16.0,5.2
