Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type
C_KGM05AR71C101KH,C,100 pF,capacitor_footprints:C_0402_1005Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM05AR71C101KH,CAP SMD 100 pF X7R 10% 0402 16V,KYOCERA AVX,KGM05AR71C101KH,X7R,10%,16V,0402,1005,KGM05AR71C,https://www.trustedparts.com/en/search/KGM05AR71C101KH,Ceramic
C_KGM05AR71C151KH,C,150 pF,capacitor_footprints:C_0402_1005Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM05AR71C151KH,CAP SMD 150 pF X7R 10% 0402 16V,KYOCERA AVX,KGM05AR71C151KH,X7R,10%,16V,0402,1005,KGM05AR71C,https://www.trustedparts.com/en/search/KGM05AR71C151KH,Ceramic
C_KGM05AR71C221KH,C,220 pF,capacitor_footprints:C_0402_1005Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM05AR71C221KH,CAP SMD 220 pF X7R 10% 0402 16V,KYOCERA AVX,KGM05AR71C221KH,X7R,10%,16V,0402,1005,KGM05AR71C,https://www.trustedparts.com/en/search/KGM05AR71C221KH,Ceramic
C_KGM05AR71C331KH,C,330 pF,capacitor_footprints:C_0402_1005Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM05AR71C331KH,CAP SMD 330 pF X7R 10% 0402 16V,KYOCERA AVX,KGM05AR71C331KH,X7R,10%,16V,0402,1005,KGM05AR71C,https://www.trustedparts.com/en/search/KGM05AR71C331KH,Ceramic
C_KGM05AR71C471KH,C,470 pF,capacitor_footprints:C_0402_1005Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM05AR71C471KH,CAP SMD 470 pF X7R 10% 0402 16V,KYOCERA AVX,KGM05AR71C471KH,X7R,10%,16V,0402,1005,KGM05AR71C,https://www.trustedparts.com/en/search/KGM05AR71C471KH,Ceramic
C_KGM05AR71C681KH,C,680 pF,capacitor_footprints:C_0402_1005Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM05AR71C681KH,CAP SMD 680 pF X7R 10% 0402 16V,KYOCERA AVX,KGM05AR71C681KH,X7R,10%,16V,0402,1005,KGM05AR71C,https://www.trustedparts.com/en/search/KGM05AR71C681KH,Ceramic
C_KGM05AR71C102KH,C,1 nF,capacitor_footprints:C_0402_1005Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM05AR71C102KH,CAP SMD 1 nF X7R 10% 0402 16V,KYOCERA AVX,KGM05AR71C102KH,X7R,10%,16V,0402,1005,KGM05AR71C,https://www.trustedparts.com/en/search/KGM05AR71C102KH,Ceramic
C_KGM05AR71C152KH,C,1.5 nF,capacitor_footprints:C_0402_1005Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM05AR71C152KH,CAP SMD 1.5 nF X7R 10% 0402 16V,KYOCERA AVX,KGM05AR71C152KH,X7R,10%,16V,0402,1005,KGM05AR71C,https://www.trustedparts.com/en/search/KGM05AR71C152KH,Ceramic
C_KGM05AR71C222KH,C,2.2 nF,capacitor_footprints:C_0402_1005Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM05AR71C222KH,CAP SMD 2.2 nF X7R 10% 0402 16V,KYOCERA AVX,KGM05AR71C222KH,X7R,10%,16V,0402,1005,KGM05AR71C,https://www.trustedparts.com/en/search/KGM05AR71C222KH,Ceramic
C_KGM05AR71C392KH,C,3.9 nF,capacitor_footprints:C_0402_1005Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM05AR71C392KH,CAP SMD 3.9 nF X7R 10% 0402 16V,KYOCERA AVX,KGM05AR71C392KH,X7R,10%,16V,0402,1005,KGM05AR71C,https://www.trustedparts.com/en/search/KGM05AR71C392KH,Ceramic
C_KGM05AR71C472KH,C,4.7 nF,capacitor_footprints:C_0402_1005Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM05AR71C472KH,CAP SMD 4.7 nF X7R 10% 0402 16V,KYOCERA AVX,KGM05AR71C472KH,X7R,10%,16V,0402,1005,KGM05AR71C,https://www.trustedparts.com/en/search/KGM05AR71C472KH,Ceramic
C_KGM05AR71C562KH,C,5.6 nF,capacitor_footprints:C_0402_1005Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM05AR71C562KH,CAP SMD 5.6 nF X7R 10% 0402 16V,KYOCERA AVX,KGM05AR71C562KH,X7R,10%,16V,0402,1005,KGM05AR71C,https://www.trustedparts.com/en/search/KGM05AR71C562KH,Ceramic
