Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type
C_KGM31BR71H221KT,C,220 pF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H221KT,CAP SMD 220 pF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H221KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H221KT,Ceramic
C_KGM31BR71H331KT,C,330 pF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H331KT,CAP SMD 330 pF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H331KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H331KT,Ceramic
C_KGM31BR71H471KT,C,470 pF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H471KT,CAP SMD 470 pF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H471KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H471KT,Ceramic
C_KGM31BR71H681KT,C,680 pF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H681KT,CAP SMD 680 pF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H681KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H681KT,Ceramic
C_KGM31BR71H102KT,C,1 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H102KT,CAP SMD 1 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H102KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H102KT,Ceramic
C_KGM31BR71H152KT,C,1.5 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H152KT,CAP SMD 1.5 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H152KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H152KT,Ceramic
C_KGM31BR71H222KT,C,2.2 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H222KT,CAP SMD 2.2 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H222KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H222KT,Ceramic
C_KGM31BR71H332KT,C,3.3 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H332KT,CAP SMD 3.3 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H332KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H332KT,Ceramic
C_KGM31BR71H392KT,C,3.9 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H392KT,CAP SMD 3.9 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H392KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H392KT,Ceramic
C_KGM31BR71H472KT,C,4.7 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H472KT,CAP SMD 4.7 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H472KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H472KT,Ceramic
C_KGM31BR71H562KT,C,5.6 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H562KT,CAP SMD 5.6 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H562KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H562KT,Ceramic
C_KGM31BR71H682KT,C,6.8 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H682KT,CAP SMD 6.8 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H682KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H682KT,Ceramic
C_KGM31BR71H103KT,C,10 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H103KT,CAP SMD 10 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H103KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H103KT,Ceramic
C_KGM31BR71H123KT,C,12 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31BR71H123KT,CAP SMD 12 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31BR71H123KT,X7R,10%,50V,1206,3216,KGM31BR71H,https://www.trustedparts.com/en/search/KGM31BR71H123KT,Ceramic
