Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_MSD1260-472ML,L,4.7 µH,coupled_inductor_footprints:MSD1260,https://www.coilcraft.com/getmedia/79bacbf1-ec2a-4e20-9b30-12448424231b/msd1260.pdf,COUPLED INDUCTOR SMD 4.7 µH ±20%,Coilcraft,MSD1260-472ML,±20%,MSD1260,https://www.trustedparts.com/en/search/MSD1260-472ML,4.5,0.036
L_MSD1260-562ML,L,5.6 µH,coupled_inductor_footprints:MSD1260,https://www.coilcraft.com/getmedia/79bacbf1-ec2a-4e20-9b30-12448424231b/msd1260.pdf,COUPLED INDUCTOR SMD 5.6 µH ±20%,Coilcraft,MSD1260-562ML,±20%,MSD1260,https://www.trustedparts.com/en/search/MSD1260-562ML,4.2,0.040
L_MSD1260-682ML,L,6.8 µH,coupled_inductor_footprints:MSD1260,https://www.coilcraft.com/getmedia/79bacbf1-ec2a-4e20-9b30-12448424231b/msd1260.pdf,COUPLED INDUCTOR SMD 6.8 µH ±20%,Coilcraft,MSD1260-682ML,±20%,MSD1260,https://www.trustedparts.com/en/search/MSD1260-682ML,3.9,0.048
L_MSD1260-822ML,L,8.2 µH,coupled_inductor_footprints:MSD1260,https://www.coilcraft.com/getmedia/79bacbf1-ec2a-4e20-9b30-12448424231b/msd1260.pdf,COUPLED INDUCTOR SMD 8.2 µH ±20%,Coilcraft,MSD1260-822ML,±20%,MSD1260,https://www.trustedparts.com/en/search/MSD1260-822ML,3.7,0.052
L_MSD1260-103ML,L,10 µH,coupled_inductor_footprints:MSD1260,https://www.coilcraft.com/getmedia/79bacbf1-ec2a-4e20-9b30-12448424231b/msd1260.pdf,COUPLED INDUCTOR SMD 10 µH ±20%,Coilcraft,MSD1260-103ML,±20%,MSD1260,https://www.trustedparts.com/en/search/MSD1260-103ML,3.5,0.060
L_MSD1260-123ML,L,12 µH,coupled_inductor_footprints:MSD1260,https://www.coilcraft.com/getmedia/79bacbf1-ec2a-4e20-9b30-12448424231b/msd1260.pdf,COUPLED INDUCTOR SMD 12 µH ±20%,Coilcraft,MSD1260-123ML,±20%,MSD1260,https://www.trustedparts.com/en/search/MSD1260-123ML,3.1,0.074
L_MSD1260-153ML,L,15 µH,coupled_inductor_footprints:MSD1260,https://www.coilcraft.com/getmedia/79bacbf1-ec2a-4e20-9b30-12448424231b/msd1260.pdf,COUPLED INDUCTOR SMD 15 µH ±20%,Coilcraft,MSD1260-153ML,±20%,MSD1260,https://www.trustedparts.com/en/search/MSD1260-153ML,2.9,0.085
L_MSD1260-183ML,L,18 µH,coupled_inductor_footprints:MSD1260,https://www.coilcraft.com/getmedia/79bacbf1-ec2a-4e20-9b30-12448424231b/msd1260.pdf,COUPLED INDUCTOR SMD 18 µH ±20%,Coilcraft,MSD1260-183ML,±20%,MSD1260,https://www.trustedparts.com/en/search/MSD1260-183ML,2.7,0.097
L_MSD1260-223ML,L,22 µH,coupled_inductor_footprints:MSD1260,https://www.coilcraft.com/getmedia/79bacbf1-ec2a-4e20-9b30-12448424231b/msd1260.pdf,COUPLED INDUCTOR SMD 22 µH ±20%,Coilcraft,MSD1260-223ML,±20%,MSD1260,https://www.trustedparts.com/en/search/MSD1260-223ML,2.5,0.116
L_MSD1260-273ML,L,27 µH,coupled_inductor_footprints:MSD1260,https://www.coilcraft.com/getmedia/79bacbf1-ec2a-4e20-9b30-12448424231b/msd1260.pdf,COUPLED INDUCTOR SMD 27 µH ±20%,Coilcraft,MSD1260-273ML,±20%,MSD1260,https://www.trustedparts.com/en/search/MSD1260-273ML,2.4,0.124
L_MSD1260-333ML,L,33 µH,coupled_inductor_footprints:MSD1260,https://www.coilcraft.com/getmedia/79bacbf1-ec2a-4e20-9b30-12448424231b/msd1260.pdf,COUPLED INDUCTOR SMD 33 µH ±20%,Coilcraft,MSD1260-333ML,±20%,MSD1260,https://www.trustedparts.com/en/search/MSD1260-333ML,2.3,0.134
