Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_MTMM-101-04-L-D-196,J,MTMM-101-04-L-D-196,connector_footprints:MTMM-101-04-L-D-196,https://suddendocs.samtec.com/catalog_english/mtmm_th.pdf?_gl=1*10xs2wh*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTQ5MDMyODEkbzEkZzEkdDE3NTQ5MDYwODAkajYwJGwwJGgw,"Samtec MTMM-1xx-04-L-D-196 series,  1 positions connector,  2.0 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTMM-101-04-L-D-196,MTMM-1xx-04-L-D-196,https://www.trustedparts.com/en/search/MTMM-101-04-L-D-196,Black,2.0,1,Vertical,5.2,300,Through Hole,Tin,2
J_MTMM-102-04-L-D-196,J,MTMM-102-04-L-D-196,connector_footprints:MTMM-102-04-L-D-196,https://suddendocs.samtec.com/catalog_english/mtmm_th.pdf?_gl=1*10xs2wh*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTQ5MDMyODEkbzEkZzEkdDE3NTQ5MDYwODAkajYwJGwwJGgw,"Samtec MTMM-1xx-04-L-D-196 series,  2 positions connector,  2.0 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTMM-102-04-L-D-196,MTMM-1xx-04-L-D-196,https://www.trustedparts.com/en/search/MTMM-102-04-L-D-196,Black,2.0,2,Vertical,5.2,300,Through Hole,Tin,2
J_MTMM-103-04-L-D-196,J,MTMM-103-04-L-D-196,connector_footprints:MTMM-103-04-L-D-196,https://suddendocs.samtec.com/catalog_english/mtmm_th.pdf?_gl=1*10xs2wh*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTQ5MDMyODEkbzEkZzEkdDE3NTQ5MDYwODAkajYwJGwwJGgw,"Samtec MTMM-1xx-04-L-D-196 series,  3 positions connector,  2.0 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTMM-103-04-L-D-196,MTMM-1xx-04-L-D-196,https://www.trustedparts.com/en/search/MTMM-103-04-L-D-196,Black,2.0,3,Vertical,5.2,300,Through Hole,Tin,2
J_MTMM-104-04-L-D-196,J,MTMM-104-04-L-D-196,connector_footprints:MTMM-104-04-L-D-196,https://suddendocs.samtec.com/catalog_english/mtmm_th.pdf?_gl=1*10xs2wh*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTQ5MDMyODEkbzEkZzEkdDE3NTQ5MDYwODAkajYwJGwwJGgw,"Samtec MTMM-1xx-04-L-D-196 series,  4 positions connector,  2.0 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTMM-104-04-L-D-196,MTMM-1xx-04-L-D-196,https://www.trustedparts.com/en/search/MTMM-104-04-L-D-196,Black,2.0,4,Vertical,5.2,300,Through Hole,Tin,2
J_MTMM-105-04-L-D-196,J,MTMM-105-04-L-D-196,connector_footprints:MTMM-105-04-L-D-196,https://suddendocs.samtec.com/catalog_english/mtmm_th.pdf?_gl=1*10xs2wh*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTQ5MDMyODEkbzEkZzEkdDE3NTQ5MDYwODAkajYwJGwwJGgw,"Samtec MTMM-1xx-04-L-D-196 series,  5 positions connector,  2.0 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTMM-105-04-L-D-196,MTMM-1xx-04-L-D-196,https://www.trustedparts.com/en/search/MTMM-105-04-L-D-196,Black,2.0,5,Vertical,5.2,300,Through Hole,Tin,2
J_MTMM-106-04-L-D-196,J,MTMM-106-04-L-D-196,connector_footprints:MTMM-106-04-L-D-196,https://suddendocs.samtec.com/catalog_english/mtmm_th.pdf?_gl=1*10xs2wh*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTQ5MDMyODEkbzEkZzEkdDE3NTQ5MDYwODAkajYwJGwwJGgw,"Samtec MTMM-1xx-04-L-D-196 series,  6 positions connector,  2.0 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTMM-106-04-L-D-196,MTMM-1xx-04-L-D-196,https://www.trustedparts.com/en/search/MTMM-106-04-L-D-196,Black,2.0,6,Vertical,5.2,300,Through Hole,Tin,2
J_MTMM-107-04-L-D-196,J,MTMM-107-04-L-D-196,connector_footprints:MTMM-107-04-L-D-196,https://suddendocs.samtec.com/catalog_english/mtmm_th.pdf?_gl=1*10xs2wh*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTQ5MDMyODEkbzEkZzEkdDE3NTQ5MDYwODAkajYwJGwwJGgw,"Samtec MTMM-1xx-04-L-D-196 series,  7 positions connector,  2.0 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTMM-107-04-L-D-196,MTMM-1xx-04-L-D-196,https://www.trustedparts.com/en/search/MTMM-107-04-L-D-196,Black,2.0,7,Vertical,5.2,300,Through Hole,Tin,2
J_MTMM-108-04-L-D-196,J,MTMM-108-04-L-D-196,connector_footprints:MTMM-108-04-L-D-196,https://suddendocs.samtec.com/catalog_english/mtmm_th.pdf?_gl=1*10xs2wh*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTQ5MDMyODEkbzEkZzEkdDE3NTQ5MDYwODAkajYwJGwwJGgw,"Samtec MTMM-1xx-04-L-D-196 series,  8 positions connector,  2.0 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTMM-108-04-L-D-196,MTMM-1xx-04-L-D-196,https://www.trustedparts.com/en/search/MTMM-108-04-L-D-196,Black,2.0,8,Vertical,5.2,300,Through Hole,Tin,2
J_MTMM-109-04-L-D-196,J,MTMM-109-04-L-D-196,connector_footprints:MTMM-109-04-L-D-196,https://suddendocs.samtec.com/catalog_english/mtmm_th.pdf?_gl=1*10xs2wh*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTQ5MDMyODEkbzEkZzEkdDE3NTQ5MDYwODAkajYwJGwwJGgw,"Samtec MTMM-1xx-04-L-D-196 series,  9 positions connector,  2.0 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTMM-109-04-L-D-196,MTMM-1xx-04-L-D-196,https://www.trustedparts.com/en/search/MTMM-109-04-L-D-196,Black,2.0,9,Vertical,5.2,300,Through Hole,Tin,2
J_MTMM-110-04-L-D-196,J,MTMM-110-04-L-D-196,connector_footprints:MTMM-110-04-L-D-196,https://suddendocs.samtec.com/catalog_english/mtmm_th.pdf?_gl=1*10xs2wh*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTQ5MDMyODEkbzEkZzEkdDE3NTQ5MDYwODAkajYwJGwwJGgw,"Samtec MTMM-1xx-04-L-D-196 series,  10 positions connector,  2.0 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTMM-110-04-L-D-196,MTMM-1xx-04-L-D-196,https://www.trustedparts.com/en/search/MTMM-110-04-L-D-196,Black,2.0,10,Vertical,5.2,300,Through Hole,Tin,2
