Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_OQ0232500000G,J,OQ0232500000G,connector_footprints:OQ0232500000G,https://www.tme.eu/Document/c6f68741922c0647240c19a990c9cbc8/OQ0232500000G.pdf,"Amphenol Anytek OQ series,  2 positions connector,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,OQ0232500000G,OQ,https://www.trustedparts.com/en/search/OQ0232500000G,Green,3.81,2,Vertical,8.0,300,Through Hole,Tin,1
J_OQ0332500000G,J,OQ0332500000G,connector_footprints:OQ0332500000G,https://www.tme.eu/Document/c6f68741922c0647240c19a990c9cbc8/OQ0232500000G.pdf,"Amphenol Anytek OQ series,  3 positions connector,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,OQ0332500000G,OQ,https://www.trustedparts.com/en/search/OQ0332500000G,Green,3.81,3,Vertical,8.0,300,Through Hole,Tin,1
J_OQ0432500000G,J,OQ0432500000G,connector_footprints:OQ0432500000G,https://www.tme.eu/Document/c6f68741922c0647240c19a990c9cbc8/OQ0232500000G.pdf,"Amphenol Anytek OQ series,  4 positions connector,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,OQ0432500000G,OQ,https://www.trustedparts.com/en/search/OQ0432500000G,Green,3.81,4,Vertical,8.0,300,Through Hole,Tin,1
J_OQ0532500000G,J,OQ0532500000G,connector_footprints:OQ0532500000G,https://www.tme.eu/Document/c6f68741922c0647240c19a990c9cbc8/OQ0232500000G.pdf,"Amphenol Anytek OQ series,  5 positions connector,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,OQ0532500000G,OQ,https://www.trustedparts.com/en/search/OQ0532500000G,Green,3.81,5,Vertical,8.0,300,Through Hole,Tin,1
J_OQ0632500000G,J,OQ0632500000G,connector_footprints:OQ0632500000G,https://www.tme.eu/Document/c6f68741922c0647240c19a990c9cbc8/OQ0232500000G.pdf,"Amphenol Anytek OQ series,  6 positions connector,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,OQ0632500000G,OQ,https://www.trustedparts.com/en/search/OQ0632500000G,Green,3.81,6,Vertical,8.0,300,Through Hole,Tin,1
J_OQ0732500000G,J,OQ0732500000G,connector_footprints:OQ0732500000G,https://www.tme.eu/Document/c6f68741922c0647240c19a990c9cbc8/OQ0232500000G.pdf,"Amphenol Anytek OQ series,  7 positions connector,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,OQ0732500000G,OQ,https://www.trustedparts.com/en/search/OQ0732500000G,Green,3.81,7,Vertical,8.0,300,Through Hole,Tin,1
J_OQ0832500000G,J,OQ0832500000G,connector_footprints:OQ0832500000G,https://www.tme.eu/Document/c6f68741922c0647240c19a990c9cbc8/OQ0232500000G.pdf,"Amphenol Anytek OQ series,  8 positions connector,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,OQ0832500000G,OQ,https://www.trustedparts.com/en/search/OQ0832500000G,Green,3.81,8,Vertical,8.0,300,Through Hole,Tin,1
J_OQ0932500000G,J,OQ0932500000G,connector_footprints:OQ0932500000G,https://www.tme.eu/Document/c6f68741922c0647240c19a990c9cbc8/OQ0232500000G.pdf,"Amphenol Anytek OQ series,  9 positions connector,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,OQ0932500000G,OQ,https://www.trustedparts.com/en/search/OQ0932500000G,Green,3.81,9,Vertical,8.0,300,Through Hole,Tin,1
J_OQ1032500000G,J,OQ1032500000G,connector_footprints:OQ1032500000G,https://www.tme.eu/Document/c6f68741922c0647240c19a990c9cbc8/OQ0232500000G.pdf,"Amphenol Anytek OQ series,  10 positions connector,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,OQ1032500000G,OQ,https://www.trustedparts.com/en/search/OQ1032500000G,Green,3.81,10,Vertical,8.0,300,Through Hole,Tin,1
J_OQ1232500000G,J,OQ1232500000G,connector_footprints:OQ1232500000G,https://www.tme.eu/Document/c6f68741922c0647240c19a990c9cbc8/OQ0232500000G.pdf,"Amphenol Anytek OQ series,  12 positions connector,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,OQ1232500000G,OQ,https://www.trustedparts.com/en/search/OQ1232500000G,Green,3.81,12,Vertical,8.0,300,Through Hole,Tin,1
