Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_PRL1632-R005-F-T1,R,0.005 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.005 Ω 1% 0612 ,Susumu,PRL1632-R005-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R005-F-T1,Resistor
R_PRL1632-R006-F-T1,R,0.006 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.006 Ω 1% 0612 ,Susumu,PRL1632-R006-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R006-F-T1,Resistor
R_PRL1632-R007-F-T1,R,0.007 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.007 Ω 1% 0612 ,Susumu,PRL1632-R007-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R007-F-T1,Resistor
R_PRL1632-R008-F-T1,R,0.008 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.008 Ω 1% 0612 ,Susumu,PRL1632-R008-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R008-F-T1,Resistor
R_PRL1632-R009-F-T1,R,0.009 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.009 Ω 1% 0612 ,Susumu,PRL1632-R009-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R009-F-T1,Resistor
R_PRL1632-R010-F-T1,R,0.01 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.01 Ω 1% 0612 ,Susumu,PRL1632-R010-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R010-F-T1,Resistor
R_PRL1632-R011-F-T1,R,0.011 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.011 Ω 1% 0612 ,Susumu,PRL1632-R011-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R011-F-T1,Resistor
R_PRL1632-R012-F-T1,R,0.012 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.012 Ω 1% 0612 ,Susumu,PRL1632-R012-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R012-F-T1,Resistor
R_PRL1632-R013-F-T1,R,0.013 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.013 Ω 1% 0612 ,Susumu,PRL1632-R013-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R013-F-T1,Resistor
R_PRL1632-R015-F-T1,R,0.015 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.015 Ω 1% 0612 ,Susumu,PRL1632-R015-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R015-F-T1,Resistor
R_PRL1632-R016-F-T1,R,0.016 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.016 Ω 1% 0612 ,Susumu,PRL1632-R016-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R016-F-T1,Resistor
R_PRL1632-R018-F-T1,R,0.018 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.018 Ω 1% 0612 ,Susumu,PRL1632-R018-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R018-F-T1,Resistor
R_PRL1632-R020-F-T1,R,0.02 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.02 Ω 1% 0612 ,Susumu,PRL1632-R020-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R020-F-T1,Resistor
R_PRL1632-R022-F-T1,R,0.022 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.022 Ω 1% 0612 ,Susumu,PRL1632-R022-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R022-F-T1,Resistor
R_PRL1632-R024-F-T1,R,0.024 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.024 Ω 1% 0612 ,Susumu,PRL1632-R024-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R024-F-T1,Resistor
R_PRL1632-R027-F-T1,R,0.027 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.027 Ω 1% 0612 ,Susumu,PRL1632-R027-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R027-F-T1,Resistor
R_PRL1632-R030-F-T1,R,0.03 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.03 Ω 1% 0612 ,Susumu,PRL1632-R030-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R030-F-T1,Resistor
R_PRL1632-R033-F-T1,R,0.033 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.033 Ω 1% 0612 ,Susumu,PRL1632-R033-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R033-F-T1,Resistor
R_PRL1632-R036-F-T1,R,0.036 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.036 Ω 1% 0612 ,Susumu,PRL1632-R036-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R036-F-T1,Resistor
R_PRL1632-R039-F-T1,R,0.039 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.039 Ω 1% 0612 ,Susumu,PRL1632-R039-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R039-F-T1,Resistor
R_PRL1632-R043-F-T1,R,0.043 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.043 Ω 1% 0612 ,Susumu,PRL1632-R043-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R043-F-T1,Resistor
R_PRL1632-R047-F-T1,R,0.047 Ω,resistor_footprints:R_0612_1632Metric,https://www.susumu.co.jp/common/pdf/n_catalog_partition07_en.pdf,RES SMD 0.047 Ω 1% 0612 ,Susumu,PRL1632-R047-F-T1,1%,,,0612,1632,PRL1632-,https://www.trustedparts.com/en/search/PRL1632-R047-F-T1,Resistor
