Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_RC0402FR-7W1RL,R,1 Ω,resistor_footprints:R_0402_1005Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-7W1RL,RES SMD 1 Ω 1% 0402 50V,Yageo,RC0402FR-7W1RL,1%,200 ppm/°C,50V,0402,1005,RC0402FR-7W,https://www.trustedparts.com/en/search/RC0402FR-7W1RL,Resistor
R_RC0402FR-7W1R2L,R,1.2 Ω,resistor_footprints:R_0402_1005Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-7W1R2L,RES SMD 1.2 Ω 1% 0402 50V,Yageo,RC0402FR-7W1R2L,1%,200 ppm/°C,50V,0402,1005,RC0402FR-7W,https://www.trustedparts.com/en/search/RC0402FR-7W1R2L,Resistor
R_RC0402FR-7W1R5L,R,1.5 Ω,resistor_footprints:R_0402_1005Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-7W1R5L,RES SMD 1.5 Ω 1% 0402 50V,Yageo,RC0402FR-7W1R5L,1%,200 ppm/°C,50V,0402,1005,RC0402FR-7W,https://www.trustedparts.com/en/search/RC0402FR-7W1R5L,Resistor
R_RC0402FR-7W1R8L,R,1.8 Ω,resistor_footprints:R_0402_1005Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-7W1R8L,RES SMD 1.8 Ω 1% 0402 50V,Yageo,RC0402FR-7W1R8L,1%,200 ppm/°C,50V,0402,1005,RC0402FR-7W,https://www.trustedparts.com/en/search/RC0402FR-7W1R8L,Resistor
R_RC0402FR-7W2R2L,R,2.2 Ω,resistor_footprints:R_0402_1005Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-7W2R2L,RES SMD 2.2 Ω 1% 0402 50V,Yageo,RC0402FR-7W2R2L,1%,200 ppm/°C,50V,0402,1005,RC0402FR-7W,https://www.trustedparts.com/en/search/RC0402FR-7W2R2L,Resistor
R_RC0402FR-7W2R4L,R,2.4 Ω,resistor_footprints:R_0402_1005Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-7W2R4L,RES SMD 2.4 Ω 1% 0402 50V,Yageo,RC0402FR-7W2R4L,1%,200 ppm/°C,50V,0402,1005,RC0402FR-7W,https://www.trustedparts.com/en/search/RC0402FR-7W2R4L,Resistor
R_RC0402FR-7W2R7L,R,2.7 Ω,resistor_footprints:R_0402_1005Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-7W2R7L,RES SMD 2.7 Ω 1% 0402 50V,Yageo,RC0402FR-7W2R7L,1%,200 ppm/°C,50V,0402,1005,RC0402FR-7W,https://www.trustedparts.com/en/search/RC0402FR-7W2R7L,Resistor
R_RC0402FR-7W3R6L,R,3.6 Ω,resistor_footprints:R_0402_1005Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-7W3R6L,RES SMD 3.6 Ω 1% 0402 50V,Yageo,RC0402FR-7W3R6L,1%,200 ppm/°C,50V,0402,1005,RC0402FR-7W,https://www.trustedparts.com/en/search/RC0402FR-7W3R6L,Resistor
R_RC0402FR-7W4R7L,R,4.7 Ω,resistor_footprints:R_0402_1005Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-7W4R7L,RES SMD 4.7 Ω 1% 0402 50V,Yageo,RC0402FR-7W4R7L,1%,200 ppm/°C,50V,0402,1005,RC0402FR-7W,https://www.trustedparts.com/en/search/RC0402FR-7W4R7L,Resistor
R_RC0402FR-7W4R75L,R,4.75 Ω,resistor_footprints:R_0402_1005Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-7W4R75L,RES SMD 4.75 Ω 1% 0402 50V,Yageo,RC0402FR-7W4R75L,1%,200 ppm/°C,50V,0402,1005,RC0402FR-7W,https://www.trustedparts.com/en/search/RC0402FR-7W4R75L,Resistor
