Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_RC0805BR-0710RL,R,10 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0710RL,RES SMD 10 Ω 0.1% 0805 150V,Yageo,RC0805BR-0710RL,0.1%,200 ppm/°C,150V,0805,2012,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0710RL,Resistor
R_RC0805BR-0747RL,R,47 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0747RL,RES SMD 47 Ω 0.1% 0805 150V,Yageo,RC0805BR-0747RL,0.1%,200 ppm/°C,150V,0805,2012,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0747RL,Resistor
R_RC0805BR-07100RL,R,100 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07100RL,RES SMD 100 Ω 0.1% 0805 150V,Yageo,RC0805BR-07100RL,0.1%,200 ppm/°C,150V,0805,2012,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07100RL,Resistor
R_RC0805BR-07499RL,R,499 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07499RL,RES SMD 499 Ω 0.1% 0805 150V,Yageo,RC0805BR-07499RL,0.1%,200 ppm/°C,150V,0805,2012,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07499RL,Resistor
R_RC0805BR-07698RL,R,698 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07698RL,RES SMD 698 Ω 0.1% 0805 150V,Yageo,RC0805BR-07698RL,0.1%,200 ppm/°C,150V,0805,2012,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07698RL,Resistor
R_RC0805BR-07820RL,R,820 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07820RL,RES SMD 820 Ω 0.1% 0805 150V,Yageo,RC0805BR-07820RL,0.1%,200 ppm/°C,150V,0805,2012,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07820RL,Resistor
R_RC0805BR-071KL,R,1 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-071KL,RES SMD 1 kΩ 0.1% 0805 150V,Yageo,RC0805BR-071KL,0.1%,200 ppm/°C,150V,0805,2012,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-071KL,Resistor
R_RC0805BR-071K2L,R,1.2 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-071K2L,RES SMD 1.2 kΩ 0.1% 0805 150V,Yageo,RC0805BR-071K2L,0.1%,200 ppm/°C,150V,0805,2012,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-071K2L,Resistor
R_RC0805BR-071K5L,R,1.5 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-071K5L,RES SMD 1.5 kΩ 0.1% 0805 150V,Yageo,RC0805BR-071K5L,0.1%,200 ppm/°C,150V,0805,2012,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-071K5L,Resistor
R_RC0805BR-072K1L,R,2.1 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-072K1L,RES SMD 2.1 kΩ 0.1% 0805 150V,Yageo,RC0805BR-072K1L,0.1%,200 ppm/°C,150V,0805,2012,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-072K1L,Resistor
