Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_RC2512FK-7W1RL,R,1 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_LRC2512FK-7W1RL,RES SMD 1 Ω 1% 2512 200V,Yageo,RC2512FK-7W1RL,1%,200 ppm/°C,200V,2512,6332,RC2512FK-7W,https://www.trustedparts.com/en/search/RC2512FK-7W1RL,Resistor
R_RC2512FK-7W1R2L,R,1.2 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_LRC2512FK-7W1R2L,RES SMD 1.2 Ω 1% 2512 200V,Yageo,RC2512FK-7W1R2L,1%,200 ppm/°C,200V,2512,6332,RC2512FK-7W,https://www.trustedparts.com/en/search/RC2512FK-7W1R2L,Resistor
R_RC2512FK-7W1R6L,R,1.6 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_LRC2512FK-7W1R6L,RES SMD 1.6 Ω 1% 2512 200V,Yageo,RC2512FK-7W1R6L,1%,200 ppm/°C,200V,2512,6332,RC2512FK-7W,https://www.trustedparts.com/en/search/RC2512FK-7W1R6L,Resistor
R_RC2512FK-7W1R8L,R,1.8 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_LRC2512FK-7W1R8L,RES SMD 1.8 Ω 1% 2512 200V,Yageo,RC2512FK-7W1R8L,1%,200 ppm/°C,200V,2512,6332,RC2512FK-7W,https://www.trustedparts.com/en/search/RC2512FK-7W1R8L,Resistor
R_RC2512FK-7W2RL,R,2 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_LRC2512FK-7W2RL,RES SMD 2 Ω 1% 2512 200V,Yageo,RC2512FK-7W2RL,1%,200 ppm/°C,200V,2512,6332,RC2512FK-7W,https://www.trustedparts.com/en/search/RC2512FK-7W2RL,Resistor
R_RC2512FK-7W2R2L,R,2.2 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_LRC2512FK-7W2R2L,RES SMD 2.2 Ω 1% 2512 200V,Yageo,RC2512FK-7W2R2L,1%,200 ppm/°C,200V,2512,6332,RC2512FK-7W,https://www.trustedparts.com/en/search/RC2512FK-7W2R2L,Resistor
R_RC2512FK-7W2R7L,R,2.7 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_LRC2512FK-7W2R7L,RES SMD 2.7 Ω 1% 2512 200V,Yageo,RC2512FK-7W2R7L,1%,200 ppm/°C,200V,2512,6332,RC2512FK-7W,https://www.trustedparts.com/en/search/RC2512FK-7W2R7L,Resistor
R_RC2512FK-7W3RL,R,3 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_LRC2512FK-7W3RL,RES SMD 3 Ω 1% 2512 200V,Yageo,RC2512FK-7W3RL,1%,200 ppm/°C,200V,2512,6332,RC2512FK-7W,https://www.trustedparts.com/en/search/RC2512FK-7W3RL,Resistor
R_RC2512FK-7W3R3L,R,3.3 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_LRC2512FK-7W3R3L,RES SMD 3.3 Ω 1% 2512 200V,Yageo,RC2512FK-7W3R3L,1%,200 ppm/°C,200V,2512,6332,RC2512FK-7W,https://www.trustedparts.com/en/search/RC2512FK-7W3R3L,Resistor
R_RC2512FK-7W3R9L,R,3.9 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_LRC2512FK-7W3R9L,RES SMD 3.9 Ω 1% 2512 200V,Yageo,RC2512FK-7W3R9L,1%,200 ppm/°C,200V,2512,6332,RC2512FK-7W,https://www.trustedparts.com/en/search/RC2512FK-7W3R9L,Resistor
