Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_RMCF0402JT10R,R,10 Ω,resistor_footprints:R_0402_1005Metric,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 10 Ω 5% 0402 50V,SEI Stackpole,RMCF0402JT10R,5%,100 ppm/°C,50V,0402,1005,RMCF0402JT,https://www.trustedparts.com/en/search/RMCF0402JT10R,Resistor
R_RMCF0402JT11R,R,11 Ω,resistor_footprints:R_0402_1005Metric,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 11 Ω 5% 0402 50V,SEI Stackpole,RMCF0402JT11R,5%,100 ppm/°C,50V,0402,1005,RMCF0402JT,https://www.trustedparts.com/en/search/RMCF0402JT11R,Resistor
R_RMCF0402JT12R,R,12 Ω,resistor_footprints:R_0402_1005Metric,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 12 Ω 5% 0402 50V,SEI Stackpole,RMCF0402JT12R,5%,100 ppm/°C,50V,0402,1005,RMCF0402JT,https://www.trustedparts.com/en/search/RMCF0402JT12R,Resistor
R_RMCF0402JT13R,R,13 Ω,resistor_footprints:R_0402_1005Metric,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 13 Ω 5% 0402 50V,SEI Stackpole,RMCF0402JT13R,5%,100 ppm/°C,50V,0402,1005,RMCF0402JT,https://www.trustedparts.com/en/search/RMCF0402JT13R,Resistor
R_RMCF0402JT15R,R,15 Ω,resistor_footprints:R_0402_1005Metric,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 15 Ω 5% 0402 50V,SEI Stackpole,RMCF0402JT15R,5%,100 ppm/°C,50V,0402,1005,RMCF0402JT,https://www.trustedparts.com/en/search/RMCF0402JT15R,Resistor
R_RMCF0402JT16R,R,16 Ω,resistor_footprints:R_0402_1005Metric,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 16 Ω 5% 0402 50V,SEI Stackpole,RMCF0402JT16R,5%,100 ppm/°C,50V,0402,1005,RMCF0402JT,https://www.trustedparts.com/en/search/RMCF0402JT16R,Resistor
R_RMCF0402JT18R,R,18 Ω,resistor_footprints:R_0402_1005Metric,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 18 Ω 5% 0402 50V,SEI Stackpole,RMCF0402JT18R,5%,100 ppm/°C,50V,0402,1005,RMCF0402JT,https://www.trustedparts.com/en/search/RMCF0402JT18R,Resistor
R_RMCF0402JT20R,R,20 Ω,resistor_footprints:R_0402_1005Metric,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 20 Ω 5% 0402 50V,SEI Stackpole,RMCF0402JT20R,5%,100 ppm/°C,50V,0402,1005,RMCF0402JT,https://www.trustedparts.com/en/search/RMCF0402JT20R,Resistor
R_RMCF0402JT22R,R,22 Ω,resistor_footprints:R_0402_1005Metric,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 22 Ω 5% 0402 50V,SEI Stackpole,RMCF0402JT22R,5%,100 ppm/°C,50V,0402,1005,RMCF0402JT,https://www.trustedparts.com/en/search/RMCF0402JT22R,Resistor
R_RMCF0402JT24R,R,24 Ω,resistor_footprints:R_0402_1005Metric,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 24 Ω 5% 0402 50V,SEI Stackpole,RMCF0402JT24R,5%,100 ppm/°C,50V,0402,1005,RMCF0402JT,https://www.trustedparts.com/en/search/RMCF0402JT24R,Resistor
