Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_RNCF0603TKY24R9,R,24.9 Ω,resistor_footprints:R_0603_1608Metric,https://www.seielect.com/catalog/sei-rncf.pdf,RES SMD 24.9 Ω 0.01% 0603 75V,SEI Stackpole,RNCF0603TKY24R9,0.01%,5 ppm/°C,75V,0603,1608,RNCF0603TKY,https://www.trustedparts.com/en/search/RNCF0603TKY24R9,Resistor
R_RNCF0603TKY49R9,R,49.9 Ω,resistor_footprints:R_0603_1608Metric,https://www.seielect.com/catalog/sei-rncf.pdf,RES SMD 49.9 Ω 0.01% 0603 75V,SEI Stackpole,RNCF0603TKY49R9,0.01%,5 ppm/°C,75V,0603,1608,RNCF0603TKY,https://www.trustedparts.com/en/search/RNCF0603TKY49R9,Resistor
R_RNCF0603TKY75R0,R,75 Ω,resistor_footprints:R_0603_1608Metric,https://www.seielect.com/catalog/sei-rncf.pdf,RES SMD 75 Ω 0.01% 0603 75V,SEI Stackpole,RNCF0603TKY75R0,0.01%,5 ppm/°C,75V,0603,1608,RNCF0603TKY,https://www.trustedparts.com/en/search/RNCF0603TKY75R0,Resistor
R_RNCF0603TKY100R,R,100 Ω,resistor_footprints:R_0603_1608Metric,https://www.seielect.com/catalog/sei-rncf.pdf,RES SMD 100 Ω 0.01% 0603 75V,SEI Stackpole,RNCF0603TKY100R,0.01%,5 ppm/°C,75V,0603,1608,RNCF0603TKY,https://www.trustedparts.com/en/search/RNCF0603TKY100R,Resistor
R_RNCF0603TKY150R,R,150 Ω,resistor_footprints:R_0603_1608Metric,https://www.seielect.com/catalog/sei-rncf.pdf,RES SMD 150 Ω 0.01% 0603 75V,SEI Stackpole,RNCF0603TKY150R,0.01%,5 ppm/°C,75V,0603,1608,RNCF0603TKY,https://www.trustedparts.com/en/search/RNCF0603TKY150R,Resistor
R_RNCF0603TKY200R,R,200 Ω,resistor_footprints:R_0603_1608Metric,https://www.seielect.com/catalog/sei-rncf.pdf,RES SMD 200 Ω 0.01% 0603 75V,SEI Stackpole,RNCF0603TKY200R,0.01%,5 ppm/°C,75V,0603,1608,RNCF0603TKY,https://www.trustedparts.com/en/search/RNCF0603TKY200R,Resistor
R_RNCF0603TKY499R,R,499 Ω,resistor_footprints:R_0603_1608Metric,https://www.seielect.com/catalog/sei-rncf.pdf,RES SMD 499 Ω 0.01% 0603 75V,SEI Stackpole,RNCF0603TKY499R,0.01%,5 ppm/°C,75V,0603,1608,RNCF0603TKY,https://www.trustedparts.com/en/search/RNCF0603TKY499R,Resistor
R_RNCF0603TKY1K00,R,1 kΩ,resistor_footprints:R_0603_1608Metric,https://www.seielect.com/catalog/sei-rncf.pdf,RES SMD 1 kΩ 0.01% 0603 75V,SEI Stackpole,RNCF0603TKY1K00,0.01%,5 ppm/°C,75V,0603,1608,RNCF0603TKY,https://www.trustedparts.com/en/search/RNCF0603TKY1K00,Resistor
R_RNCF0603TKY1K20,R,1.2 kΩ,resistor_footprints:R_0603_1608Metric,https://www.seielect.com/catalog/sei-rncf.pdf,RES SMD 1.2 kΩ 0.01% 0603 75V,SEI Stackpole,RNCF0603TKY1K20,0.01%,5 ppm/°C,75V,0603,1608,RNCF0603TKY,https://www.trustedparts.com/en/search/RNCF0603TKY1K20,Resistor
R_RNCF0603TKY1K50,R,1.5 kΩ,resistor_footprints:R_0603_1608Metric,https://www.seielect.com/catalog/sei-rncf.pdf,RES SMD 1.5 kΩ 0.01% 0603 75V,SEI Stackpole,RNCF0603TKY1K50,0.01%,5 ppm/°C,75V,0603,1608,RNCF0603TKY,https://www.trustedparts.com/en/search/RNCF0603TKY1K50,Resistor
