Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_RT0805BRC074R7L,R,4.7 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC074R7L,RES SMD 4.7 Ω 0.1% 0805 150V,Yageo,RT0805BRC074R7L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC074R7L,Resistor
R_RT0805BRC074R75L,R,4.75 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC074R75L,RES SMD 4.75 Ω 0.1% 0805 150V,Yageo,RT0805BRC074R75L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC074R75L,Resistor
R_RT0805BRC074R87L,R,4.87 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC074R87L,RES SMD 4.87 Ω 0.1% 0805 150V,Yageo,RT0805BRC074R87L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC074R87L,Resistor
R_RT0805BRC074R99L,R,4.99 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC074R99L,RES SMD 4.99 Ω 0.1% 0805 150V,Yageo,RT0805BRC074R99L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC074R99L,Resistor
R_RT0805BRC075R1L,R,5.1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC075R1L,RES SMD 5.1 Ω 0.1% 0805 150V,Yageo,RT0805BRC075R1L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC075R1L,Resistor
R_RT0805BRC075R11L,R,5.11 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC075R11L,RES SMD 5.11 Ω 0.1% 0805 150V,Yageo,RT0805BRC075R11L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC075R11L,Resistor
R_RT0805BRC075R23L,R,5.23 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC075R23L,RES SMD 5.23 Ω 0.1% 0805 150V,Yageo,RT0805BRC075R23L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC075R23L,Resistor
R_RT0805BRC075R36L,R,5.36 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC075R36L,RES SMD 5.36 Ω 0.1% 0805 150V,Yageo,RT0805BRC075R36L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC075R36L,Resistor
R_RT0805BRC075R49L,R,5.49 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC075R49L,RES SMD 5.49 Ω 0.1% 0805 150V,Yageo,RT0805BRC075R49L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC075R49L,Resistor
R_RT0805BRC075R6L,R,5.6 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC075R6L,RES SMD 5.6 Ω 0.1% 0805 150V,Yageo,RT0805BRC075R6L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC075R6L,Resistor
R_RT0805BRC075R62L,R,5.62 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC075R62L,RES SMD 5.62 Ω 0.1% 0805 150V,Yageo,RT0805BRC075R62L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC075R62L,Resistor
R_RT0805BRC075R76L,R,5.76 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC075R76L,RES SMD 5.76 Ω 0.1% 0805 150V,Yageo,RT0805BRC075R76L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC075R76L,Resistor
R_RT0805BRC075R9L,R,5.9 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC075R9L,RES SMD 5.9 Ω 0.1% 0805 150V,Yageo,RT0805BRC075R9L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC075R9L,Resistor
