Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_RT0805BRD071RL,R,1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071RL,RES SMD 1 Ω 0.1% 0805 150V,Yageo,RT0805BRD071RL,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071RL,Resistor
R_RT0805BRD071R02L,R,1.02 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R02L,RES SMD 1.02 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R02L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R02L,Resistor
R_RT0805BRD071R05L,R,1.05 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R05L,RES SMD 1.05 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R05L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R05L,Resistor
R_RT0805BRD071R07L,R,1.07 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R07L,RES SMD 1.07 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R07L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R07L,Resistor
R_RT0805BRD071R1L,R,1.1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R1L,RES SMD 1.1 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R1L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R1L,Resistor
R_RT0805BRD071R13L,R,1.13 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R13L,RES SMD 1.13 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R13L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R13L,Resistor
R_RT0805BRD071R15L,R,1.15 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R15L,RES SMD 1.15 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R15L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R15L,Resistor
R_RT0805BRD071R18L,R,1.18 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R18L,RES SMD 1.18 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R18L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R18L,Resistor
R_RT0805BRD071R2L,R,1.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R2L,RES SMD 1.2 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R2L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R2L,Resistor
R_RT0805BRD071R21L,R,1.21 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R21L,RES SMD 1.21 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R21L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R21L,Resistor
