Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_RT0805BRE071RL,R,1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071RL,RES SMD 1 Ω 0.1% 0805 150V,Yageo,RT0805BRE071RL,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071RL,Resistor
R_RT0805BRE071R02L,R,1.02 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R02L,RES SMD 1.02 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R02L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R02L,Resistor
R_RT0805BRE071R05L,R,1.05 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R05L,RES SMD 1.05 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R05L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R05L,Resistor
R_RT0805BRE071R07L,R,1.07 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R07L,RES SMD 1.07 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R07L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R07L,Resistor
R_RT0805BRE071R1L,R,1.1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R1L,RES SMD 1.1 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R1L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R1L,Resistor
R_RT0805BRE071R13L,R,1.13 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R13L,RES SMD 1.13 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R13L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R13L,Resistor
R_RT0805BRE071R15L,R,1.15 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R15L,RES SMD 1.15 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R15L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R15L,Resistor
R_RT0805BRE071R18L,R,1.18 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R18L,RES SMD 1.18 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R18L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R18L,Resistor
R_RT0805BRE071R2L,R,1.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R2L,RES SMD 1.2 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R2L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R2L,Resistor
R_RT0805BRE071R21L,R,1.21 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R21L,RES SMD 1.21 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R21L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R21L,Resistor
R_RT0805BRE071R24L,R,1.24 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R24L,RES SMD 1.24 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R24L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R24L,Resistor
R_RT0805BRE071R27L,R,1.27 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R27L,RES SMD 1.27 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R27L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R27L,Resistor
R_RT0805BRE071R3L,R,1.3 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R3L,RES SMD 1.3 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R3L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R3L,Resistor
R_RT0805BRE071R33L,R,1.33 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R33L,RES SMD 1.33 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R33L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R33L,Resistor
R_RT0805BRE071R37L,R,1.37 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R37L,RES SMD 1.37 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R37L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R37L,Resistor
R_RT0805BRE071R4L,R,1.4 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R4L,RES SMD 1.4 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R4L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R4L,Resistor
R_RT0805BRE071R43L,R,1.43 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE071R43L,RES SMD 1.43 Ω 0.1% 0805 150V,Yageo,RT0805BRE071R43L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE071R43L,Resistor
