Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_RT0805CRE076R8L,R,6.8 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE076R8L,RES SMD 6.8 Ω 0.25% 0805 150V,Yageo,RT0805CRE076R8L,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE076R8L,Resistor
R_RT0805CRE078R2L,R,8.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE078R2L,RES SMD 8.2 Ω 0.25% 0805 150V,Yageo,RT0805CRE078R2L,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE078R2L,Resistor
R_RT0805CRE0718RL,R,18 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE0718RL,RES SMD 18 Ω 0.25% 0805 150V,Yageo,RT0805CRE0718RL,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE0718RL,Resistor
R_RT0805CRE0724R9L,R,24.9 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE0724R9L,RES SMD 24.9 Ω 0.25% 0805 150V,Yageo,RT0805CRE0724R9L,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE0724R9L,Resistor
R_RT0805CRE0736RL,R,36 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE0736RL,RES SMD 36 Ω 0.25% 0805 150V,Yageo,RT0805CRE0736RL,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE0736RL,Resistor
R_RT0805CRE0760R4L,R,60.4 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE0760R4L,RES SMD 60.4 Ω 0.25% 0805 150V,Yageo,RT0805CRE0760R4L,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE0760R4L,Resistor
R_RT0805CRE0775RL,R,75 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE0775RL,RES SMD 75 Ω 0.25% 0805 150V,Yageo,RT0805CRE0775RL,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE0775RL,Resistor
R_RT0805CRE07100RL,R,100 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE07100RL,RES SMD 100 Ω 0.25% 0805 150V,Yageo,RT0805CRE07100RL,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE07100RL,Resistor
R_RT0805CRE07110RL,R,110 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE07110RL,RES SMD 110 Ω 0.25% 0805 150V,Yageo,RT0805CRE07110RL,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE07110RL,Resistor
R_RT0805CRE07124RL,R,124 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE07124RL,RES SMD 124 Ω 0.25% 0805 150V,Yageo,RT0805CRE07124RL,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE07124RL,Resistor
R_RT0805CRE07200RL,R,200 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE07200RL,RES SMD 200 Ω 0.25% 0805 150V,Yageo,RT0805CRE07200RL,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE07200RL,Resistor
R_RT0805CRE07374RL,R,374 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE07374RL,RES SMD 374 Ω 0.25% 0805 150V,Yageo,RT0805CRE07374RL,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE07374RL,Resistor
R_RT0805CRE07402RL,R,402 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805CRE07402RL,RES SMD 402 Ω 0.25% 0805 150V,Yageo,RT0805CRE07402RL,0.25%,50 ppm/°C,150V,0805,2012,RT0805CRE07,https://www.trustedparts.com/en/search/RT0805CRE07402RL,Resistor
