Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_RT0805DRE071RL,R,1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE071RL,RES SMD 1 Ω 0.5% 0805 150V,Yageo,RT0805DRE071RL,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE071RL,Resistor
R_RT0805DRE072RL,R,2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE072RL,RES SMD 2 Ω 0.5% 0805 150V,Yageo,RT0805DRE072RL,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE072RL,Resistor
R_RT0805DRE072R05L,R,2.05 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE072R05L,RES SMD 2.05 Ω 0.5% 0805 150V,Yageo,RT0805DRE072R05L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE072R05L,Resistor
R_RT0805DRE072R1L,R,2.1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE072R1L,RES SMD 2.1 Ω 0.5% 0805 150V,Yageo,RT0805DRE072R1L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE072R1L,Resistor
R_RT0805DRE072R15L,R,2.15 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE072R15L,RES SMD 2.15 Ω 0.5% 0805 150V,Yageo,RT0805DRE072R15L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE072R15L,Resistor
R_RT0805DRE072R2L,R,2.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE072R2L,RES SMD 2.2 Ω 0.5% 0805 150V,Yageo,RT0805DRE072R2L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE072R2L,Resistor
R_RT0805DRE072R21L,R,2.21 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE072R21L,RES SMD 2.21 Ω 0.5% 0805 150V,Yageo,RT0805DRE072R21L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE072R21L,Resistor
R_RT0805DRE072R43L,R,2.43 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE072R43L,RES SMD 2.43 Ω 0.5% 0805 150V,Yageo,RT0805DRE072R43L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE072R43L,Resistor
R_RT0805DRE073RL,R,3 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE073RL,RES SMD 3 Ω 0.5% 0805 150V,Yageo,RT0805DRE073RL,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE073RL,Resistor
R_RT0805DRE073R01L,R,3.01 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE073R01L,RES SMD 3.01 Ω 0.5% 0805 150V,Yageo,RT0805DRE073R01L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE073R01L,Resistor
R_RT0805DRE073R9L,R,3.9 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE073R9L,RES SMD 3.9 Ω 0.5% 0805 150V,Yageo,RT0805DRE073R9L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE073R9L,Resistor
R_RT0805DRE074R02L,R,4.02 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE074R02L,RES SMD 4.02 Ω 0.5% 0805 150V,Yageo,RT0805DRE074R02L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE074R02L,Resistor
R_RT0805DRE074R7L,R,4.7 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE074R7L,RES SMD 4.7 Ω 0.5% 0805 150V,Yageo,RT0805DRE074R7L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE074R7L,Resistor
R_RT0805DRE074R99L,R,4.99 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE074R99L,RES SMD 4.99 Ω 0.5% 0805 150V,Yageo,RT0805DRE074R99L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE074R99L,Resistor
R_RT0805DRE075R1L,R,5.1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE075R1L,RES SMD 5.1 Ω 0.5% 0805 150V,Yageo,RT0805DRE075R1L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE075R1L,Resistor
R_RT0805DRE075R6L,R,5.6 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE075R6L,RES SMD 5.6 Ω 0.5% 0805 150V,Yageo,RT0805DRE075R6L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE075R6L,Resistor
R_RT0805DRE076R04L,R,6.04 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE076R04L,RES SMD 6.04 Ω 0.5% 0805 150V,Yageo,RT0805DRE076R04L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE076R04L,Resistor
R_RT0805DRE076R2L,R,6.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE076R2L,RES SMD 6.2 Ω 0.5% 0805 150V,Yageo,RT0805DRE076R2L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE076R2L,Resistor
