Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_SL 11 139 1 G,J,SL 11 139 1 G,connector_footprints:SL 11 139 1 G,https://www.fischerelektronik.de/web_fischer/en_GB/VA/SL111394G/datasheet.xhtml,"Fischer Elektronik SL 11 139 xx G series,  1 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Fischer Elektronik,SL 11 139 1 G,SL 11 139 xx G,https://www.trustedparts.com/en/search/SL 11 139 1 G,Black,2.54,1,Vertical,5.2,300,Through Hole,Gold,1
J_SL 11 139 2 G,J,SL 11 139 2 G,connector_footprints:SL 11 139 2 G,https://www.fischerelektronik.de/web_fischer/en_GB/VA/SL111394G/datasheet.xhtml,"Fischer Elektronik SL 11 139 xx G series,  2 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Fischer Elektronik,SL 11 139 2 G,SL 11 139 xx G,https://www.trustedparts.com/en/search/SL 11 139 2 G,Black,2.54,2,Vertical,5.2,300,Through Hole,Gold,1
J_SL 11 139 3 G,J,SL 11 139 3 G,connector_footprints:SL 11 139 3 G,https://www.fischerelektronik.de/web_fischer/en_GB/VA/SL111394G/datasheet.xhtml,"Fischer Elektronik SL 11 139 xx G series,  3 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Fischer Elektronik,SL 11 139 3 G,SL 11 139 xx G,https://www.trustedparts.com/en/search/SL 11 139 3 G,Black,2.54,3,Vertical,5.2,300,Through Hole,Gold,1
J_SL 11 139 5 G,J,SL 11 139 5 G,connector_footprints:SL 11 139 5 G,https://www.fischerelektronik.de/web_fischer/en_GB/VA/SL111394G/datasheet.xhtml,"Fischer Elektronik SL 11 139 xx G series,  5 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Fischer Elektronik,SL 11 139 5 G,SL 11 139 xx G,https://www.trustedparts.com/en/search/SL 11 139 5 G,Black,2.54,5,Vertical,5.2,300,Through Hole,Gold,1
J_SL 11 139 6 G,J,SL 11 139 6 G,connector_footprints:SL 11 139 6 G,https://www.fischerelektronik.de/web_fischer/en_GB/VA/SL111394G/datasheet.xhtml,"Fischer Elektronik SL 11 139 xx G series,  6 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Fischer Elektronik,SL 11 139 6 G,SL 11 139 xx G,https://www.trustedparts.com/en/search/SL 11 139 6 G,Black,2.54,6,Vertical,5.2,300,Through Hole,Gold,1
J_SL 11 139 7 G,J,SL 11 139 7 G,connector_footprints:SL 11 139 7 G,https://www.fischerelektronik.de/web_fischer/en_GB/VA/SL111394G/datasheet.xhtml,"Fischer Elektronik SL 11 139 xx G series,  7 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Fischer Elektronik,SL 11 139 7 G,SL 11 139 xx G,https://www.trustedparts.com/en/search/SL 11 139 7 G,Black,2.54,7,Vertical,5.2,300,Through Hole,Gold,1
J_SL 11 139 8 G,J,SL 11 139 8 G,connector_footprints:SL 11 139 8 G,https://www.fischerelektronik.de/web_fischer/en_GB/VA/SL111394G/datasheet.xhtml,"Fischer Elektronik SL 11 139 xx G series,  8 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Fischer Elektronik,SL 11 139 8 G,SL 11 139 xx G,https://www.trustedparts.com/en/search/SL 11 139 8 G,Black,2.54,8,Vertical,5.2,300,Through Hole,Gold,1
J_SL 11 139 9 G,J,SL 11 139 9 G,connector_footprints:SL 11 139 9 G,https://www.fischerelektronik.de/web_fischer/en_GB/VA/SL111394G/datasheet.xhtml,"Fischer Elektronik SL 11 139 xx G series,  9 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Fischer Elektronik,SL 11 139 9 G,SL 11 139 xx G,https://www.trustedparts.com/en/search/SL 11 139 9 G,Black,2.54,9,Vertical,5.2,300,Through Hole,Gold,1
J_SL 11 139 10 G,J,SL 11 139 10 G,connector_footprints:SL 11 139 10 G,https://www.fischerelektronik.de/web_fischer/en_GB/VA/SL111394G/datasheet.xhtml,"Fischer Elektronik SL 11 139 xx G series,  10 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Fischer Elektronik,SL 11 139 10 G,SL 11 139 xx G,https://www.trustedparts.com/en/search/SL 11 139 10 G,Black,2.54,10,Vertical,5.2,300,Through Hole,Gold,1
J_SL 11 139 11 G,J,SL 11 139 11 G,connector_footprints:SL 11 139 11 G,https://www.fischerelektronik.de/web_fischer/en_GB/VA/SL111394G/datasheet.xhtml,"Fischer Elektronik SL 11 139 xx G series,  11 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Fischer Elektronik,SL 11 139 11 G,SL 11 139 xx G,https://www.trustedparts.com/en/search/SL 11 139 11 G,Black,2.54,11,Vertical,5.2,300,Through Hole,Gold,1
