Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_SL-101-G-11,J,SL-101-G-11,connector_footprints:SL-101-G-11,https://suddendocs.samtec.com/catalog_english/sl.pdf?_gl=1*1p6n3ck*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjU4NzcxMi4xMi4xLjE3MzY1ODg1ODguNjAuMC4w,"Samtec SL-1xx-G-11 series,  1 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,SL-101-G-11,SL-1xx-G-11,https://www.trustedparts.com/en/search/SL-101-G-11,Black,2.54,1,Vertical,5.2,300,Through Hole,Tin,1
J_SL-102-G-11,J,SL-102-G-11,connector_footprints:SL-102-G-11,https://suddendocs.samtec.com/catalog_english/sl.pdf?_gl=1*1p6n3ck*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjU4NzcxMi4xMi4xLjE3MzY1ODg1ODguNjAuMC4w,"Samtec SL-1xx-G-11 series,  2 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,SL-102-G-11,SL-1xx-G-11,https://www.trustedparts.com/en/search/SL-102-G-11,Black,2.54,2,Vertical,5.2,300,Through Hole,Tin,1
J_SL-103-G-11,J,SL-103-G-11,connector_footprints:SL-103-G-11,https://suddendocs.samtec.com/catalog_english/sl.pdf?_gl=1*1p6n3ck*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjU4NzcxMi4xMi4xLjE3MzY1ODg1ODguNjAuMC4w,"Samtec SL-1xx-G-11 series,  3 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,SL-103-G-11,SL-1xx-G-11,https://www.trustedparts.com/en/search/SL-103-G-11,Black,2.54,3,Vertical,5.2,300,Through Hole,Tin,1
J_SL-104-G-11,J,SL-104-G-11,connector_footprints:SL-104-G-11,https://suddendocs.samtec.com/catalog_english/sl.pdf?_gl=1*1p6n3ck*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjU4NzcxMi4xMi4xLjE3MzY1ODg1ODguNjAuMC4w,"Samtec SL-1xx-G-11 series,  4 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,SL-104-G-11,SL-1xx-G-11,https://www.trustedparts.com/en/search/SL-104-G-11,Black,2.54,4,Vertical,5.2,300,Through Hole,Tin,1
J_SL-105-G-11,J,SL-105-G-11,connector_footprints:SL-105-G-11,https://suddendocs.samtec.com/catalog_english/sl.pdf?_gl=1*1p6n3ck*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjU4NzcxMi4xMi4xLjE3MzY1ODg1ODguNjAuMC4w,"Samtec SL-1xx-G-11 series,  5 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,SL-105-G-11,SL-1xx-G-11,https://www.trustedparts.com/en/search/SL-105-G-11,Black,2.54,5,Vertical,5.2,300,Through Hole,Tin,1
J_SL-106-G-11,J,SL-106-G-11,connector_footprints:SL-106-G-11,https://suddendocs.samtec.com/catalog_english/sl.pdf?_gl=1*1p6n3ck*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjU4NzcxMi4xMi4xLjE3MzY1ODg1ODguNjAuMC4w,"Samtec SL-1xx-G-11 series,  6 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,SL-106-G-11,SL-1xx-G-11,https://www.trustedparts.com/en/search/SL-106-G-11,Black,2.54,6,Vertical,5.2,300,Through Hole,Tin,1
J_SL-107-G-11,J,SL-107-G-11,connector_footprints:SL-107-G-11,https://suddendocs.samtec.com/catalog_english/sl.pdf?_gl=1*1p6n3ck*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjU4NzcxMi4xMi4xLjE3MzY1ODg1ODguNjAuMC4w,"Samtec SL-1xx-G-11 series,  7 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,SL-107-G-11,SL-1xx-G-11,https://www.trustedparts.com/en/search/SL-107-G-11,Black,2.54,7,Vertical,5.2,300,Through Hole,Tin,1
J_SL-108-G-11,J,SL-108-G-11,connector_footprints:SL-108-G-11,https://suddendocs.samtec.com/catalog_english/sl.pdf?_gl=1*1p6n3ck*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjU4NzcxMi4xMi4xLjE3MzY1ODg1ODguNjAuMC4w,"Samtec SL-1xx-G-11 series,  8 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,SL-108-G-11,SL-1xx-G-11,https://www.trustedparts.com/en/search/SL-108-G-11,Black,2.54,8,Vertical,5.2,300,Through Hole,Tin,1
J_SL-109-G-11,J,SL-109-G-11,connector_footprints:SL-109-G-11,https://suddendocs.samtec.com/catalog_english/sl.pdf?_gl=1*1p6n3ck*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjU4NzcxMi4xMi4xLjE3MzY1ODg1ODguNjAuMC4w,"Samtec SL-1xx-G-11 series,  9 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,SL-109-G-11,SL-1xx-G-11,https://www.trustedparts.com/en/search/SL-109-G-11,Black,2.54,9,Vertical,5.2,300,Through Hole,Tin,1
J_SL-110-G-11,J,SL-110-G-11,connector_footprints:SL-110-G-11,https://suddendocs.samtec.com/catalog_english/sl.pdf?_gl=1*1p6n3ck*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjU4NzcxMi4xMi4xLjE3MzY1ODg1ODguNjAuMC4w,"Samtec SL-1xx-G-11 series,  10 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,SL-110-G-11,SL-1xx-G-11,https://www.trustedparts.com/en/search/SL-110-G-11,Black,2.54,10,Vertical,5.2,300,Through Hole,Tin,1
