Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_TBP02P1-381-02BE,J,TBP02P1-381-02BE,terminal_block_footprints:TBP02P1-381-02BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  2 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-02BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-02BE,Blue,3.81,2,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-03BE,J,TBP02P1-381-03BE,terminal_block_footprints:TBP02P1-381-03BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  3 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-03BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-03BE,Blue,3.81,3,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-04BE,J,TBP02P1-381-04BE,terminal_block_footprints:TBP02P1-381-04BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  4 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-04BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-04BE,Blue,3.81,4,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-05BE,J,TBP02P1-381-05BE,terminal_block_footprints:TBP02P1-381-05BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  5 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-05BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-05BE,Blue,3.81,5,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-06BE,J,TBP02P1-381-06BE,terminal_block_footprints:TBP02P1-381-06BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  6 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-06BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-06BE,Blue,3.81,6,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-07BE,J,TBP02P1-381-07BE,terminal_block_footprints:TBP02P1-381-07BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  7 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-07BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-07BE,Blue,3.81,7,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-08BE,J,TBP02P1-381-08BE,terminal_block_footprints:TBP02P1-381-08BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  8 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-08BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-08BE,Blue,3.81,8,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-09BE,J,TBP02P1-381-09BE,terminal_block_footprints:TBP02P1-381-09BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  9 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-09BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-09BE,Blue,3.81,9,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-10BE,J,TBP02P1-381-10BE,terminal_block_footprints:TBP02P1-381-10BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  10 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-10BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-10BE,Blue,3.81,10,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-11BE,J,TBP02P1-381-11BE,terminal_block_footprints:TBP02P1-381-11BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  11 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-11BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-11BE,Blue,3.81,11,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-12BE,J,TBP02P1-381-12BE,terminal_block_footprints:TBP02P1-381-12BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  12 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-12BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-12BE,Blue,3.81,12,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-13BE,J,TBP02P1-381-13BE,terminal_block_footprints:TBP02P1-381-13BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  13 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-13BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-13BE,Blue,3.81,13,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-14BE,J,TBP02P1-381-14BE,terminal_block_footprints:TBP02P1-381-14BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  14 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-14BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-14BE,Blue,3.81,14,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-15BE,J,TBP02P1-381-15BE,terminal_block_footprints:TBP02P1-381-15BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  15 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-15BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-15BE,Blue,3.81,15,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-16BE,J,TBP02P1-381-16BE,terminal_block_footprints:TBP02P1-381-16BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  16 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-16BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-16BE,Blue,3.81,16,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-17BE,J,TBP02P1-381-17BE,terminal_block_footprints:TBP02P1-381-17BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  17 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-17BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-17BE,Blue,3.81,17,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-18BE,J,TBP02P1-381-18BE,terminal_block_footprints:TBP02P1-381-18BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  18 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-18BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-18BE,Blue,3.81,18,Vertical,8.0,300,Through Hole,Tin,1
J_TBP02P1-381-19BE,J,TBP02P1-381-19BE,terminal_block_footprints:TBP02P1-381-19BE,https://www.sameskydevices.com/product/resource/tbp02p1-381.pdf,"Same Sky TBP02P1-381 series,  19 positions terminal block,  3.81 mm pitch,  Blue,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Same Sky,TBP02P1-381-19BE,TBP02P1-381,https://www.trustedparts.com/en/search/TBP02P1-381-19BE,Blue,3.81,19,Vertical,8.0,300,Through Hole,Tin,1
