Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_TJ0231530000G,J,TJ0231530000G,terminal_block_footprints:TJ0231530000G,http://www.anytek.com.tw/UserUpFiles/20181017/vCheHtsK2_to.pdf,"Amphenol Anytek TJ series,  2 positions terminal block,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,TJ0231530000G,TJ,https://www.trustedparts.com/en/search/TJ0231530000G,Green,3.81,2,Vertical,8.0,300,Through Hole,Tin,1
J_TJ0331530000G,J,TJ0331530000G,terminal_block_footprints:TJ0331530000G,http://www.anytek.com.tw/UserUpFiles/20181017/vCheHtsK2_to.pdf,"Amphenol Anytek TJ series,  3 positions terminal block,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,TJ0331530000G,TJ,https://www.trustedparts.com/en/search/TJ0331530000G,Green,3.81,3,Vertical,8.0,300,Through Hole,Tin,1
J_TJ0431530000G,J,TJ0431530000G,terminal_block_footprints:TJ0431530000G,http://www.anytek.com.tw/UserUpFiles/20181017/vCheHtsK2_to.pdf,"Amphenol Anytek TJ series,  4 positions terminal block,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,TJ0431530000G,TJ,https://www.trustedparts.com/en/search/TJ0431530000G,Green,3.81,4,Vertical,8.0,300,Through Hole,Tin,1
J_TJ0531530000G,J,TJ0531530000G,terminal_block_footprints:TJ0531530000G,http://www.anytek.com.tw/UserUpFiles/20181017/vCheHtsK2_to.pdf,"Amphenol Anytek TJ series,  5 positions terminal block,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,TJ0531530000G,TJ,https://www.trustedparts.com/en/search/TJ0531530000G,Green,3.81,5,Vertical,8.0,300,Through Hole,Tin,1
J_TJ0631530000G,J,TJ0631530000G,terminal_block_footprints:TJ0631530000G,http://www.anytek.com.tw/UserUpFiles/20181017/vCheHtsK2_to.pdf,"Amphenol Anytek TJ series,  6 positions terminal block,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,TJ0631530000G,TJ,https://www.trustedparts.com/en/search/TJ0631530000G,Green,3.81,6,Vertical,8.0,300,Through Hole,Tin,1
J_TJ0731530000G,J,TJ0731530000G,terminal_block_footprints:TJ0731530000G,http://www.anytek.com.tw/UserUpFiles/20181017/vCheHtsK2_to.pdf,"Amphenol Anytek TJ series,  7 positions terminal block,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,TJ0731530000G,TJ,https://www.trustedparts.com/en/search/TJ0731530000G,Green,3.81,7,Vertical,8.0,300,Through Hole,Tin,1
J_TJ0831530000G,J,TJ0831530000G,terminal_block_footprints:TJ0831530000G,http://www.anytek.com.tw/UserUpFiles/20181017/vCheHtsK2_to.pdf,"Amphenol Anytek TJ series,  8 positions terminal block,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,TJ0831530000G,TJ,https://www.trustedparts.com/en/search/TJ0831530000G,Green,3.81,8,Vertical,8.0,300,Through Hole,Tin,1
J_TJ0931530000G,J,TJ0931530000G,terminal_block_footprints:TJ0931530000G,http://www.anytek.com.tw/UserUpFiles/20181017/vCheHtsK2_to.pdf,"Amphenol Anytek TJ series,  9 positions terminal block,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,TJ0931530000G,TJ,https://www.trustedparts.com/en/search/TJ0931530000G,Green,3.81,9,Vertical,8.0,300,Through Hole,Tin,1
J_TJ1031530000G,J,TJ1031530000G,terminal_block_footprints:TJ1031530000G,http://www.anytek.com.tw/UserUpFiles/20181017/vCheHtsK2_to.pdf,"Amphenol Anytek TJ series,  10 positions terminal block,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,TJ1031530000G,TJ,https://www.trustedparts.com/en/search/TJ1031530000G,Green,3.81,10,Vertical,8.0,300,Through Hole,Tin,1
J_TJ1231530000G,J,TJ1231530000G,terminal_block_footprints:TJ1231530000G,http://www.anytek.com.tw/UserUpFiles/20181017/vCheHtsK2_to.pdf,"Amphenol Anytek TJ series,  12 positions terminal block,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,TJ1231530000G,TJ,https://www.trustedparts.com/en/search/TJ1231530000G,Green,3.81,12,Vertical,8.0,300,Through Hole,Tin,1
J_TJ1631530000G,J,TJ1631530000G,terminal_block_footprints:TJ1631530000G,http://www.anytek.com.tw/UserUpFiles/20181017/vCheHtsK2_to.pdf,"Amphenol Anytek TJ series,  16 positions terminal block,  3.81 mm pitch,  Green,  Vertical mounting,  8.0 A,  300 V,  Through Hole,  Tin plated",Amphenol Anytek,TJ1631530000G,TJ,https://www.trustedparts.com/en/search/TJ1631530000G,Green,3.81,16,Vertical,8.0,300,Through Hole,Tin,1
