Symbol Name,Datasheet,Description,Footprint,MPN,Reference
M_2203350,https://product-download.phoenixcontact.com/8025199?response-content-disposition=inline;%20filename%3D%22pxc_2203350_00_02_UCS-HH-125-87-9005_2D.pdf%22&Expires=1760989045&Signature=yE5~e9oEp1czmAuNjEVI-zMCk115UdZsJSv~rrHj0mJAaEc55~bR20bW9JJOB3hki3HOREKBknujH~8gYOUKHzLpSGgETtHOQerG8jWvvCgEOtBdmOWxPCFsOz9Wsha5f2~VPSQJvuGHCf2CTsN5w1iZpHUNsgk-mkW2p9pzyOLKxVWYhtjSbQv3gEOsVOjFHlOlmTX7rqb6sJSqriLur8mA9m3Tjg-Z30FHvQ1KxAkSK4hrzVgTKxESnhz77NCWnp-s970KOF79zwJtK4mF8zDCIv5i5t6kHDL5A9xxqz5SxQzMk3O-D3HhNnTfdPWE6WLROkbUQOZ4tbjTyLeyWA__&Key-Pair-Id=K1I2N54A7B0GD,UCS HH 125-87 9005 - Housing half shell,mechanical_parts:2203350,,M
M_2203362,https://product-download.phoenixcontact.com/8025210?response-content-disposition=inline;%20filename%3D%22pxc_2203362_00_02_UCS-SW-87-H-9005_2D.pdf%22&Expires=1761055811&Signature=uIuTNwUV0nNMKCMWntQiR0tQVbkUdQeM75yPJvMqp2Dy5y10od-qT4KOj3T4klfL2XRucsBdIQCshTdg-JT7QJVnzYZU4Oz3KVPC5mMoDcnuhzjmDmuwfcl9JjQUVV63~qkb4fqLc9UBsreQGl6am9GCxFLbWsQMvFq6rIS4Z-O7I0HjKHGw909pMc~FlgKurZ9X9IdJj1DkSjJy8y9wHKJlUI3CuZzRBLW-uGakJIS1s0pQPxME3O7tf1Ip2bQay0DIYXr-CPLAxPGTg9zQfLLM6Z1lp8V6ehwVnvdEsxAjqIKRrip6HmTKAaRd3SNd5CAGQjtEeGkxFbPm1JATuA__&Key-Pair-Id=K1I2N54A7B0GD,UCS SW 87-H 9005 - Side panel,mechanical_parts:2203362,,M
M_2203369,https://product-download.phoenixcontact.com/8025216?response-content-disposition=inline;%20filename%3D%22pxc_2203369_00_02_UCS-SW-125-H-9005_2D.pdf%22&Expires=1761056853&Signature=Elavun16ZDRag4fYKCHkcusJXcOnWzFvMW7t2-FhkWKVnGfBjCtrisUAGn8dgXbz7tqC-MFv~-HAoJ4RRO~oyaSz6fZVLx8HJUVw9MVWOIMWZqYRDA1cWn046ipODV3G9VlxL9psAd0WUnw0kIuueiRmcIBg0arDlinCFgKsFzCjUg8W5d57d3M10xh4yki7gzGUgAnyekGvwyFAJYetOc9SCB~1HidskF3rN1I9C6WV-DTvCTJUef~EppKN2jcFIjtqHqAvC-5ViXo2OzJjZkpJWfoMQSUUvOvYPmILNj1emCQI2upsiDALmbWJLlB313pa3SRVGDdh2J37d35UTA__&Key-Pair-Id=K1I2N54A7B0GD,UCS SW 125-H 9005 - Side panel,mechanical_parts:2203369,,M
M_2203400,https://product-download.phoenixcontact.com/8993825?response-content-disposition=inline;%20filename%3D%22pxc_2203400_00_03_UCS-HAC-9005_2D.pdf%22&Expires=1761000568&Signature=QdCILgdy85DjHTcJbogKXfwtTsGt4aO0f0y~AVyDfpAVHJP5c6j9Dvb96o1mvPUME51CoKNFSddrorxGNKlMsuWhnIdetbfNuDiTBhos-oUf-K0TUTZS3yYvfGD6wZuMIXpUj87SRbGLaOQ~NiKEHo8CsZ-xHcQuGsg-CGyIjgFmjUdpb3zb8JOBO~gUbo0FMF5hw-h1gHKIbEyvrPGHZCLEFFd9apo7qaidQRY-PPFCqTZVulTM0qW4qXy4GrqU7aMu3byth4TbHBD4Np~l4gddiUWlCE2MfnscsgSgEOlZ29L4ExpHVVgXYgXk3hWOSb0cBHFybJHQ8nqzCrbFBQ__&Key-Pair-Id=K1I2N54A7B0GD,UCS HAC 9005 - Height adapter,mechanical_parts:2203400,,M
M_2203404,https://product-download.phoenixcontact.com/8993829?response-content-disposition=inline;%20filename%3D%22pxc_2203404_00_04_UCS-CCD-5018_2D.pdf%22&Expires=1760993781&Signature=hiXDHE2a7QlZMelQjIMSlmcRDcrNVedl0tuJNL~EhL~9If~dxsbeqpHLNqBCKf1c8pUA0HdKEZKHIUr7KcAP3qLvEPi-ukzmFAk0mC-qXU~U8xA8X4o0dOvUYeueJ7pZNDl-GI8wH3Jfz9SOoQVhLWhGz6Pp45rDxzPFH57g2VCTMNN-zQ8WBDXPo08ORLR2n8kDh48RR0DGYbqUmSuPK-aXdS-1a30H7ZOCpl8-yNSBEcm~2BxBElp-A3ML~5aXGysvYFKdSa3a0wTRto4stLt-TIalFjSigaIjx-qH~ey4o-n4mHwclgh0TG0tPf-K-hl5pxWdDLXNhBTB-s0SJA__&Key-Pair-Id=K1I2N54A7B0GD,UCS CCD 5018 - Corner inlay,mechanical_parts:2203404,,M
M_2203404_v2,https://product-download.phoenixcontact.com/8993829?response-content-disposition=inline;%20filename%3D%22pxc_2203404_00_04_UCS-CCD-5018_2D.pdf%22&Expires=1760993781&Signature=hiXDHE2a7QlZMelQjIMSlmcRDcrNVedl0tuJNL~EhL~9If~dxsbeqpHLNqBCKf1c8pUA0HdKEZKHIUr7KcAP3qLvEPi-ukzmFAk0mC-qXU~U8xA8X4o0dOvUYeueJ7pZNDl-GI8wH3Jfz9SOoQVhLWhGz6Pp45rDxzPFH57g2VCTMNN-zQ8WBDXPo08ORLR2n8kDh48RR0DGYbqUmSuPK-aXdS-1a30H7ZOCpl8-yNSBEcm~2BxBElp-A3ML~5aXGysvYFKdSa3a0wTRto4stLt-TIalFjSigaIjx-qH~ey4o-n4mHwclgh0TG0tPf-K-hl5pxWdDLXNhBTB-s0SJA__&Key-Pair-Id=K1I2N54A7B0GD,UCS CCD 5018 - Corner inlay,mechanical_parts:2203404_v2,,M
M_9774005243R,https://www.we-online.com/components/products/datasheet/9774005243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 0.5 mm lenght",mechanical_parts:9774005243R,9774005243R,M
M_9774010243R,https://www.we-online.com/components/products/datasheet/9774010243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 1 mm lenght",mechanical_parts:9774010243R,9774010243R,M
M_9774015243R,https://www.we-online.com/components/products/datasheet/9774015243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 1.5 mm lenght",mechanical_parts:9774015243R,9774015243R,M
M_9774020243R,https://www.we-online.com/components/products/datasheet/9774020243R.pdf,"WA-SMSI SMT Steel Spacer with internal Thread M2, 2 mm lenght",mechanical_parts:9774020243R,9774020243R,M
