Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type
C_VJ0603Y331KXBAC,C,330 pF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 330 pF X7R 10% 0603 100V,Vishay,VJ0603Y331KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y331KXBAC,Ceramic
C_VJ0603Y391KXBAC,C,390 pF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 390 pF X7R 10% 0603 100V,Vishay,VJ0603Y391KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y391KXBAC,Ceramic
C_VJ0603Y471KXBAC,C,470 pF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 470 pF X7R 10% 0603 100V,Vishay,VJ0603Y471KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y471KXBAC,Ceramic
C_VJ0603Y561KXBAC,C,560 pF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 560 pF X7R 10% 0603 100V,Vishay,VJ0603Y561KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y561KXBAC,Ceramic
C_VJ0603Y681KXBAC,C,680 pF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 680 pF X7R 10% 0603 100V,Vishay,VJ0603Y681KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y681KXBAC,Ceramic
C_VJ0603Y821KXBAC,C,820 pF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 820 pF X7R 10% 0603 100V,Vishay,VJ0603Y821KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y821KXBAC,Ceramic
C_VJ0603Y102KXBAC,C,1 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 1 nF X7R 10% 0603 100V,Vishay,VJ0603Y102KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y102KXBAC,Ceramic
C_VJ0603Y122KXBAC,C,1.2 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 1.2 nF X7R 10% 0603 100V,Vishay,VJ0603Y122KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y122KXBAC,Ceramic
C_VJ0603Y152KXBAC,C,1.5 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 1.5 nF X7R 10% 0603 100V,Vishay,VJ0603Y152KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y152KXBAC,Ceramic
C_VJ0603Y182KXBAC,C,1.8 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 1.8 nF X7R 10% 0603 100V,Vishay,VJ0603Y182KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y182KXBAC,Ceramic
C_VJ0603Y222KXBAC,C,2.2 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 2.2 nF X7R 10% 0603 100V,Vishay,VJ0603Y222KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y222KXBAC,Ceramic
C_VJ0603Y272KXBAC,C,2.7 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 2.7 nF X7R 10% 0603 100V,Vishay,VJ0603Y272KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y272KXBAC,Ceramic
C_VJ0603Y332KXBAC,C,3.3 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 3.3 nF X7R 10% 0603 100V,Vishay,VJ0603Y332KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y332KXBAC,Ceramic
C_VJ0603Y392KXBAC,C,3.9 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 3.9 nF X7R 10% 0603 100V,Vishay,VJ0603Y392KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y392KXBAC,Ceramic
C_VJ0603Y472KXBAC,C,4.7 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 4.7 nF X7R 10% 0603 100V,Vishay,VJ0603Y472KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y472KXBAC,Ceramic
C_VJ0603Y562KXBAC,C,5.6 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 5.6 nF X7R 10% 0603 100V,Vishay,VJ0603Y562KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y562KXBAC,Ceramic
C_VJ0603Y682KXBAC,C,6.8 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 6.8 nF X7R 10% 0603 100V,Vishay,VJ0603Y682KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y682KXBAC,Ceramic
C_VJ0603Y822KXBAC,C,8.2 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 8.2 nF X7R 10% 0603 100V,Vishay,VJ0603Y822KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y822KXBAC,Ceramic
C_VJ0603Y103KXBAC,C,10 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 10 nF X7R 10% 0603 100V,Vishay,VJ0603Y103KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y103KXBAC,Ceramic
C_VJ0603Y123KXBAC,C,12 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 12 nF X7R 10% 0603 100V,Vishay,VJ0603Y123KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y123KXBAC,Ceramic
C_VJ0603Y153KXBAC,C,15 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 15 nF X7R 10% 0603 100V,Vishay,VJ0603Y153KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y153KXBAC,Ceramic
C_VJ0603Y183KXBAC,C,18 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 18 nF X7R 10% 0603 100V,Vishay,VJ0603Y183KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y183KXBAC,Ceramic
C_VJ0603Y223KXBAC,C,22 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 22 nF X7R 10% 0603 100V,Vishay,VJ0603Y223KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y223KXBAC,Ceramic
C_VJ0603Y273KXBAC,C,27 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 27 nF X7R 10% 0603 100V,Vishay,VJ0603Y273KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y273KXBAC,Ceramic
C_VJ0603Y333KXBAC,C,33 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 33 nF X7R 10% 0603 100V,Vishay,VJ0603Y333KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y333KXBAC,Ceramic
C_VJ0603Y393KXBAC,C,39 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 39 nF X7R 10% 0603 100V,Vishay,VJ0603Y393KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y393KXBAC,Ceramic
