Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Component Type
R_WFCP06126L000FE66,R,6 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 6 mΩ 1% 0612 ,Vishay,WFCP06126L000FE66,1%,,,0612,1632,WFCP0612,https://www.trustedparts.com/en/search/WFCP06126L000FE66,Resistor
R_WFCP06127L000FE66,R,7 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 7 mΩ 1% 0612 ,Vishay,WFCP06127L000FE66,1%,,,0612,1632,WFCP0612,https://www.trustedparts.com/en/search/WFCP06127L000FE66,Resistor
R_WFCP06128L000FE66,R,8 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 8 mΩ 1% 0612 ,Vishay,WFCP06128L000FE66,1%,,,0612,1632,WFCP0612,https://www.trustedparts.com/en/search/WFCP06128L000FE66,Resistor
R_WFCP06129L000FE66,R,9 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 9 mΩ 1% 0612 ,Vishay,WFCP06129L000FE66,1%,,,0612,1632,WFCP0612,https://www.trustedparts.com/en/search/WFCP06129L000FE66,Resistor
R_WFCP0612R0100FE66,R,10 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 10 mΩ 1% 0612 ,Vishay,WFCP0612R0100FE66,1%,,,0612,1632,WFCP0612,https://www.trustedparts.com/en/search/WFCP0612R0100FE66,Resistor
R_WFCP0612R0120FE66,R,12 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 12 mΩ 1% 0612 ,Vishay,WFCP0612R0120FE66,1%,,,0612,1632,WFCP0612,https://www.trustedparts.com/en/search/WFCP0612R0120FE66,Resistor
R_WFCP0612R0150FE66,R,15 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 15 mΩ 1% 0612 ,Vishay,WFCP0612R0150FE66,1%,,,0612,1632,WFCP0612,https://www.trustedparts.com/en/search/WFCP0612R0150FE66,Resistor
R_WFCP0612R0180FE66,R,18 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 18 mΩ 1% 0612 ,Vishay,WFCP0612R0180FE66,1%,,,0612,1632,WFCP0612,https://www.trustedparts.com/en/search/WFCP0612R0180FE66,Resistor
R_WFCP0612R0200FE66,R,20 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 20 mΩ 1% 0612 ,Vishay,WFCP0612R0200FE66,1%,,,0612,1632,WFCP0612,https://www.trustedparts.com/en/search/WFCP0612R0200FE66,Resistor
R_WFCP0612R0240FE66,R,24 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 24 mΩ 1% 0612 ,Vishay,WFCP0612R0240FE66,1%,,,0612,1632,WFCP0612,https://www.trustedparts.com/en/search/WFCP0612R0240FE66,Resistor
R_WFCP0612R0300FE66,R,30 mΩ,resistor_footprints:R_0612_1632Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C325.pdf,RES SMD 30 mΩ 1% 0612 ,Vishay,WFCP0612R0300FE66,1%,,,0612,1632,WFCP0612,https://www.trustedparts.com/en/search/WFCP0612R0300FE66,Resistor
