Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_XAL1580-401ME,L,400 nH,inductor_footprints:XAL1580,https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf,INDUCTOR SMD 400 nH ±20%,Coilcraft,XAL1580-401ME,±20%,XAL1580,https://www.trustedparts.com/en/search/XAL1580-401ME,60.0,0.7
L_XAL1580-741ME,L,740 nH,inductor_footprints:XAL1580,https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf,INDUCTOR SMD 740 nH ±20%,Coilcraft,XAL1580-741ME,±20%,XAL1580,https://www.trustedparts.com/en/search/XAL1580-741ME,59.7,0.86
L_XAL1580-102ME,L,1.0 µH,inductor_footprints:XAL1580,https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf,INDUCTOR SMD 1.0 µH ±20%,Coilcraft,XAL1580-102ME,±20%,XAL1580,https://www.trustedparts.com/en/search/XAL1580-102ME,57.5,1.12
L_XAL1580-132ME,L,1.3 µH,inductor_footprints:XAL1580,https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf,INDUCTOR SMD 1.3 µH ±20%,Coilcraft,XAL1580-132ME,±20%,XAL1580,https://www.trustedparts.com/en/search/XAL1580-132ME,46.7,1.38
L_XAL1580-182ME,L,1.8 µH,inductor_footprints:XAL1580,https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf,INDUCTOR SMD 1.8 µH ±20%,Coilcraft,XAL1580-182ME,±20%,XAL1580,https://www.trustedparts.com/en/search/XAL1580-182ME,43.8,1.93
L_XAL1580-202ME,L,2.0 µH,inductor_footprints:XAL1580,https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf,INDUCTOR SMD 2.0 µH ±20%,Coilcraft,XAL1580-202ME,±20%,XAL1580,https://www.trustedparts.com/en/search/XAL1580-202ME,39.9,2.29
L_XAL1580-302ME,L,3.0 µH,inductor_footprints:XAL1580,https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf,INDUCTOR SMD 3.0 µH ±20%,Coilcraft,XAL1580-302ME,±20%,XAL1580,https://www.trustedparts.com/en/search/XAL1580-302ME,34.4,3.1
L_XAL1580-452ME,L,4.5 µH,inductor_footprints:XAL1580,https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf,INDUCTOR SMD 4.5 µH ±20%,Coilcraft,XAL1580-452ME,±20%,XAL1580,https://www.trustedparts.com/en/search/XAL1580-452ME,27.0,4.58
L_XAL1580-532ME,L,5.3 µH,inductor_footprints:XAL1580,https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf,INDUCTOR SMD 5.3 µH ±20%,Coilcraft,XAL1580-532ME,±20%,XAL1580,https://www.trustedparts.com/en/search/XAL1580-532ME,26.5,5.22
L_XAL1580-612ME,L,6.1 µH,inductor_footprints:XAL1580,https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf,INDUCTOR SMD 6.1 µH ±20%,Coilcraft,XAL1580-612ME,±20%,XAL1580,https://www.trustedparts.com/en/search/XAL1580-612ME,22.6,6.79
