Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating DC
C_000001,C,0.1uF,footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H104KE02-01.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1 uF 50 VDC 10% 0402 X7R AEC-Q200 ,Murata ,GCM155R71H104KE02D ,10%,50 VDC 
C_000002,C,0.01 uF,footprints:C_0402_1005Metric,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_midvoltage_en.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 100V 0.01uF X7S 10% T: 0.5mm ,TDK ,C1005X7S2A103K050BB ,10%,100 VDC 
C_000003,C,1 uF,footprints:C_0402_1005Metric,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 16VDC 1uF 10% X6S 0.5mm ,TDK ,C1005X6S1C105K050BC ,10%,16 VDC 
C_000004,C,4.7 uF,footprints:C_0603_1608Metric,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 10V 4.7uF X7S 10% T: 0.8mm ,TDK ,C1608X7S1A475K080AC,10%,10 VDC
C_000005,C,0.68 uF,footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155C71A684KE38-01A.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.68 uF 10 VDC 10% 0402 X7S AEC-Q200 ,Murata ,GCM155C71A684KE38D,10%,10 VDC
C_000006,C,15 pF,footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H150FA16-01.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 15 pF 50 VDC 1% 0402 C0G (NP0) AEC-Q200 ,Murata ,GCM1555C1H150FA16D,1%,50 VDC 
C_000007,C,2.2 uF,footprints:C_0805_2012Metric,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16Vo 2.2uF X7R 0805 10% ,KEMET ,C0805C224J1RACTU,10%,16 VDC 
C_000008,C,1 uF,footprints:C_0805_2012Metric,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/k70e.ashx?la=en-us,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1 uF 100 VDC 10% 0805 X7S ,Murata ,GRJ21BC72A105KE11L,10%,100 VDC 
C_000009,C,470 pF,footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT VJ0603Y471KXBAC00 ,Vishay ,VJ0603Y471KXBAC,10%,100 VDC 
C_000010,C,10 uF,footprints:C_1206_3216Metric,https://ro.mouser.com/datasheet/2/585/MLCC-1837944.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF+/-10% 50V X7R 3 1206 ,Samsung Electro-Mechanics ,CL31B106KBHNNNE,10%,50 VDC 
C_000011,C,0.33 uF,footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R71A334KA61-01.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.33 uF 10 VDC 10% 0603 X7R ,Murata ,GRM188R71A334KA61D,10%,10 VDC
C_000012,C,2.2 uF,footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR70J225MA01-01.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 6.3 VDC 20% 0805 X7R ,Murata ,GRM21BR70J225MA01L ,20%,6.3 VDC
C_000013,C,2.2 uF,footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155Z71A225KE44-01A.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 10 VDC 10% 0402 X7R ,Murata ,GRM155Z71A225KE44D ,10%,10 VDC
C_000014,C,4.7 uF,footprints:C_1210_3225Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM32DC72A475KE02-01.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7 uF 100 VDC 10% 1210 X7S AEC-Q200 ,Murata ,GCM32DC72A475KE02L,10%,100 VDC 
C_000015,C,47 uF,footprints:C_1210_3225Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32ER71A476KE15-04CA.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R ,Murata ,GRM32ER71A476KE15L,10%,10 VDC
C_000016,C,2.2 uF,footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT KGM31HR71H225KU NEW GLOBAL PN 50V 2.2uF A 581-KGM31HR71H225KU,KYOCERA AVX ,12065C225KAT2A,10%,50 VDC 
C_000017,C,0.068 uF,footprints:C_0402_1005Metric,https://www.yageo.com/upload/media/product/app/datasheet/mlcc/upy-ac_np0x7rx7s_6_3v-to-2kv.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 6800pF X7R 0402 10% AEC-Q200 ,YAGEO ,AC0402KRX7R9BB682,10%,50 VDC 
C_000018,C,0.047 uF,footprints:C_0603_1608Metric,https://product.tdk.com/en/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_midvoltage_en.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 100V 0.047uF X7S 10% T: 0.8mm ,TDK ,C1608X7S2A473K080AB,10%,100 VDC 
C_000019,C,0.022 uF ,footprints:C_0603_1608Metric,https://product.tdk.com/en/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 100V 0.022uF X7R 20% AEC-Q200 ,TDK ,CGA3E2X7R2A223M080AA,20%,100 VDC 
C_000020,C,0.15 uF,footprints:C_1206_3216Metric,https://www.we-online.com/components/products/datasheet/885012208119.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT WCAP-CSGP 100V 0.15uF 1206 10% ,Wurth Elektronik,885012208119,10%,100 VDC 
C_000021,C,100 pF,footprints:C_1812_4532Metric,https://content.kemet.com/datasheets/KEM_C1009_C0G_HV_SMD.pdf,Multilayer Ceramic Capacitors MLCC - SMD/SMT 3kV 100pF C0G 1812 5% ,KEMET ,C1812C101JHGACTU,5%,3 kVDC 
