Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_BBS-101-G-A,J,BBS-101-G-A,connector_footprints:BBS-101-G-A,https://suddendocs.samtec.com/catalog_english/bbs.pdf?_gl=1*oynpe4*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY3MzY1Ny4xMy4xLjE3MzY2NzM4NjguNDIuMC4w,"Samtec BBS-1xx-G-A series,  1 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BBS-101-G-A,BBS-1xx-G-A,https://www.trustedparts.com/en/search/BBS-101-G-A,Black,2.54,1,Vertical,5.2,300,Through Hole,Tin,1
J_BBS-102-G-A,J,BBS-102-G-A,connector_footprints:BBS-102-G-A,https://suddendocs.samtec.com/catalog_english/bbs.pdf?_gl=1*oynpe4*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY3MzY1Ny4xMy4xLjE3MzY2NzM4NjguNDIuMC4w,"Samtec BBS-1xx-G-A series,  2 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BBS-102-G-A,BBS-1xx-G-A,https://www.trustedparts.com/en/search/BBS-102-G-A,Black,2.54,2,Vertical,5.2,300,Through Hole,Tin,1
J_BBS-103-G-A,J,BBS-103-G-A,connector_footprints:BBS-103-G-A,https://suddendocs.samtec.com/catalog_english/bbs.pdf?_gl=1*oynpe4*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY3MzY1Ny4xMy4xLjE3MzY2NzM4NjguNDIuMC4w,"Samtec BBS-1xx-G-A series,  3 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BBS-103-G-A,BBS-1xx-G-A,https://www.trustedparts.com/en/search/BBS-103-G-A,Black,2.54,3,Vertical,5.2,300,Through Hole,Tin,1
J_BBS-104-G-A,J,BBS-104-G-A,connector_footprints:BBS-104-G-A,https://suddendocs.samtec.com/catalog_english/bbs.pdf?_gl=1*oynpe4*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY3MzY1Ny4xMy4xLjE3MzY2NzM4NjguNDIuMC4w,"Samtec BBS-1xx-G-A series,  4 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BBS-104-G-A,BBS-1xx-G-A,https://www.trustedparts.com/en/search/BBS-104-G-A,Black,2.54,4,Vertical,5.2,300,Through Hole,Tin,1
J_BBS-105-G-A,J,BBS-105-G-A,connector_footprints:BBS-105-G-A,https://suddendocs.samtec.com/catalog_english/bbs.pdf?_gl=1*oynpe4*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY3MzY1Ny4xMy4xLjE3MzY2NzM4NjguNDIuMC4w,"Samtec BBS-1xx-G-A series,  5 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BBS-105-G-A,BBS-1xx-G-A,https://www.trustedparts.com/en/search/BBS-105-G-A,Black,2.54,5,Vertical,5.2,300,Through Hole,Tin,1
J_BBS-106-G-A,J,BBS-106-G-A,connector_footprints:BBS-106-G-A,https://suddendocs.samtec.com/catalog_english/bbs.pdf?_gl=1*oynpe4*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY3MzY1Ny4xMy4xLjE3MzY2NzM4NjguNDIuMC4w,"Samtec BBS-1xx-G-A series,  6 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BBS-106-G-A,BBS-1xx-G-A,https://www.trustedparts.com/en/search/BBS-106-G-A,Black,2.54,6,Vertical,5.2,300,Through Hole,Tin,1
J_BBS-107-G-A,J,BBS-107-G-A,connector_footprints:BBS-107-G-A,https://suddendocs.samtec.com/catalog_english/bbs.pdf?_gl=1*oynpe4*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY3MzY1Ny4xMy4xLjE3MzY2NzM4NjguNDIuMC4w,"Samtec BBS-1xx-G-A series,  7 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BBS-107-G-A,BBS-1xx-G-A,https://www.trustedparts.com/en/search/BBS-107-G-A,Black,2.54,7,Vertical,5.2,300,Through Hole,Tin,1
J_BBS-108-G-A,J,BBS-108-G-A,connector_footprints:BBS-108-G-A,https://suddendocs.samtec.com/catalog_english/bbs.pdf?_gl=1*oynpe4*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY3MzY1Ny4xMy4xLjE3MzY2NzM4NjguNDIuMC4w,"Samtec BBS-1xx-G-A series,  8 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BBS-108-G-A,BBS-1xx-G-A,https://www.trustedparts.com/en/search/BBS-108-G-A,Black,2.54,8,Vertical,5.2,300,Through Hole,Tin,1
J_BBS-109-G-A,J,BBS-109-G-A,connector_footprints:BBS-109-G-A,https://suddendocs.samtec.com/catalog_english/bbs.pdf?_gl=1*oynpe4*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY3MzY1Ny4xMy4xLjE3MzY2NzM4NjguNDIuMC4w,"Samtec BBS-1xx-G-A series,  9 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BBS-109-G-A,BBS-1xx-G-A,https://www.trustedparts.com/en/search/BBS-109-G-A,Black,2.54,9,Vertical,5.2,300,Through Hole,Tin,1
J_BBS-110-G-A,J,BBS-110-G-A,connector_footprints:BBS-110-G-A,https://suddendocs.samtec.com/catalog_english/bbs.pdf?_gl=1*oynpe4*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjY3MzY1Ny4xMy4xLjE3MzY2NzM4NjguNDIuMC4w,"Samtec BBS-1xx-G-A series,  10 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BBS-110-G-A,BBS-1xx-G-A,https://www.trustedparts.com/en/search/BBS-110-G-A,Black,2.54,10,Vertical,5.2,300,Through Hole,Tin,1
