Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,3dviewer Link,Component Type
R_ERJ-6DQJR22V,R,0.22 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 0.22 Ω 5% 0805 150V,Panasonic,ERJ-6DQJR22V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR22V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_ERJ-6DQJR24V,R,0.24 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 0.24 Ω 5% 0805 150V,Panasonic,ERJ-6DQJR24V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR24V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_ERJ-6DQJR27V,R,0.27 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 0.27 Ω 5% 0805 150V,Panasonic,ERJ-6DQJR27V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR27V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_ERJ-6DQJR30V,R,0.3 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 0.3 Ω 5% 0805 150V,Panasonic,ERJ-6DQJR30V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR30V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_ERJ-6DQJR33V,R,0.33 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 0.33 Ω 5% 0805 150V,Panasonic,ERJ-6DQJR33V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR33V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_ERJ-6DQJR36V,R,0.36 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 0.36 Ω 5% 0805 150V,Panasonic,ERJ-6DQJR36V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR36V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_ERJ-6DQJR39V,R,0.39 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 0.39 Ω 5% 0805 150V,Panasonic,ERJ-6DQJR39V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR39V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_ERJ-6DQJR43V,R,0.43 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 0.43 Ω 5% 0805 150V,Panasonic,ERJ-6DQJR43V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR43V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_ERJ-6DQJR47V,R,0.47 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 0.47 Ω 5% 0805 150V,Panasonic,ERJ-6DQJR47V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR47V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_ERJ-6DQJR51V,R,0.51 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES SMD 0.51 Ω 5% 0805 150V,Panasonic,ERJ-6DQJR51V,5%,100 ppm/°C,150V,0805,2012,ERJ-6DQJ,https://www.trustedparts.com/en/search/ERJ-6DQJR51V,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
