Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_FTSH-105-01-L-DV-K,J,FTSH-105-01-L-DV-K,connector_footprints:FTSH-105-01-L-DV-K,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*13r0j96*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTcyNzA5MC40MS4xLjE3Mzk3Mjc5NzAuNDguMC4w,"Samtec FTSH-1xx-01-L-DV-K series,  5 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-105-01-L-DV-K,FTSH-1xx-01-L-DV-K,https://www.trustedparts.com/en/search/FTSH-105-01-L-DV-K,Black,1.27,5,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-106-01-L-DV-K,J,FTSH-106-01-L-DV-K,connector_footprints:FTSH-106-01-L-DV-K,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*13r0j96*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTcyNzA5MC40MS4xLjE3Mzk3Mjc5NzAuNDguMC4w,"Samtec FTSH-1xx-01-L-DV-K series,  6 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-106-01-L-DV-K,FTSH-1xx-01-L-DV-K,https://www.trustedparts.com/en/search/FTSH-106-01-L-DV-K,Black,1.27,6,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-107-01-L-DV-K,J,FTSH-107-01-L-DV-K,connector_footprints:FTSH-107-01-L-DV-K,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*13r0j96*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTcyNzA5MC40MS4xLjE3Mzk3Mjc5NzAuNDguMC4w,"Samtec FTSH-1xx-01-L-DV-K series,  7 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-107-01-L-DV-K,FTSH-1xx-01-L-DV-K,https://www.trustedparts.com/en/search/FTSH-107-01-L-DV-K,Black,1.27,7,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-108-01-L-DV-K,J,FTSH-108-01-L-DV-K,connector_footprints:FTSH-108-01-L-DV-K,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*13r0j96*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTcyNzA5MC40MS4xLjE3Mzk3Mjc5NzAuNDguMC4w,"Samtec FTSH-1xx-01-L-DV-K series,  8 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-108-01-L-DV-K,FTSH-1xx-01-L-DV-K,https://www.trustedparts.com/en/search/FTSH-108-01-L-DV-K,Black,1.27,8,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-109-01-L-DV-K,J,FTSH-109-01-L-DV-K,connector_footprints:FTSH-109-01-L-DV-K,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*13r0j96*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTcyNzA5MC40MS4xLjE3Mzk3Mjc5NzAuNDguMC4w,"Samtec FTSH-1xx-01-L-DV-K series,  9 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-109-01-L-DV-K,FTSH-1xx-01-L-DV-K,https://www.trustedparts.com/en/search/FTSH-109-01-L-DV-K,Black,1.27,9,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-110-01-L-DV-K,J,FTSH-110-01-L-DV-K,connector_footprints:FTSH-110-01-L-DV-K,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*13r0j96*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTcyNzA5MC40MS4xLjE3Mzk3Mjc5NzAuNDguMC4w,"Samtec FTSH-1xx-01-L-DV-K series,  10 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-110-01-L-DV-K,FTSH-1xx-01-L-DV-K,https://www.trustedparts.com/en/search/FTSH-110-01-L-DV-K,Black,1.27,10,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-111-01-L-DV-K,J,FTSH-111-01-L-DV-K,connector_footprints:FTSH-111-01-L-DV-K,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*13r0j96*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTcyNzA5MC40MS4xLjE3Mzk3Mjc5NzAuNDguMC4w,"Samtec FTSH-1xx-01-L-DV-K series,  11 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-111-01-L-DV-K,FTSH-1xx-01-L-DV-K,https://www.trustedparts.com/en/search/FTSH-111-01-L-DV-K,Black,1.27,11,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-112-01-L-DV-K,J,FTSH-112-01-L-DV-K,connector_footprints:FTSH-112-01-L-DV-K,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*13r0j96*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTcyNzA5MC40MS4xLjE3Mzk3Mjc5NzAuNDguMC4w,"Samtec FTSH-1xx-01-L-DV-K series,  12 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-112-01-L-DV-K,FTSH-1xx-01-L-DV-K,https://www.trustedparts.com/en/search/FTSH-112-01-L-DV-K,Black,1.27,12,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-113-01-L-DV-K,J,FTSH-113-01-L-DV-K,connector_footprints:FTSH-113-01-L-DV-K,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*13r0j96*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTcyNzA5MC40MS4xLjE3Mzk3Mjc5NzAuNDguMC4w,"Samtec FTSH-1xx-01-L-DV-K series,  13 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-113-01-L-DV-K,FTSH-1xx-01-L-DV-K,https://www.trustedparts.com/en/search/FTSH-113-01-L-DV-K,Black,1.27,13,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-114-01-L-DV-K,J,FTSH-114-01-L-DV-K,connector_footprints:FTSH-114-01-L-DV-K,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*13r0j96*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTcyNzA5MC40MS4xLjE3Mzk3Mjc5NzAuNDguMC4w,"Samtec FTSH-1xx-01-L-DV-K series,  14 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-114-01-L-DV-K,FTSH-1xx-01-L-DV-K,https://www.trustedparts.com/en/search/FTSH-114-01-L-DV-K,Black,1.27,14,Vertical,5.2,300,Surface Mount,Tin,2
