Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_FTSH-102-01-L-DV,J,FTSH-102-01-L-DV,connector_footprints:FTSH-102-01-L-DV,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*sm7rbj*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjcwNzA1MC4xOC4xLjE3MzY3MDczODQuMzkuMC4w,"Samtec FTSH-1xx-01-L-DV series,  2 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-102-01-L-DV,FTSH-1xx-01-L-DV,https://www.trustedparts.com/en/search/FTSH-102-01-L-DV,Black,1.27,2,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-103-01-L-DV,J,FTSH-103-01-L-DV,connector_footprints:FTSH-103-01-L-DV,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*sm7rbj*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjcwNzA1MC4xOC4xLjE3MzY3MDczODQuMzkuMC4w,"Samtec FTSH-1xx-01-L-DV series,  3 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-103-01-L-DV,FTSH-1xx-01-L-DV,https://www.trustedparts.com/en/search/FTSH-103-01-L-DV,Black,1.27,3,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-104-01-L-DV,J,FTSH-104-01-L-DV,connector_footprints:FTSH-104-01-L-DV,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*sm7rbj*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjcwNzA1MC4xOC4xLjE3MzY3MDczODQuMzkuMC4w,"Samtec FTSH-1xx-01-L-DV series,  4 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-104-01-L-DV,FTSH-1xx-01-L-DV,https://www.trustedparts.com/en/search/FTSH-104-01-L-DV,Black,1.27,4,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-105-01-L-DV,J,FTSH-105-01-L-DV,connector_footprints:FTSH-105-01-L-DV,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*sm7rbj*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjcwNzA1MC4xOC4xLjE3MzY3MDczODQuMzkuMC4w,"Samtec FTSH-1xx-01-L-DV series,  5 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-105-01-L-DV,FTSH-1xx-01-L-DV,https://www.trustedparts.com/en/search/FTSH-105-01-L-DV,Black,1.27,5,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-106-01-L-DV,J,FTSH-106-01-L-DV,connector_footprints:FTSH-106-01-L-DV,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*sm7rbj*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjcwNzA1MC4xOC4xLjE3MzY3MDczODQuMzkuMC4w,"Samtec FTSH-1xx-01-L-DV series,  6 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-106-01-L-DV,FTSH-1xx-01-L-DV,https://www.trustedparts.com/en/search/FTSH-106-01-L-DV,Black,1.27,6,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-107-01-L-DV,J,FTSH-107-01-L-DV,connector_footprints:FTSH-107-01-L-DV,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*sm7rbj*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjcwNzA1MC4xOC4xLjE3MzY3MDczODQuMzkuMC4w,"Samtec FTSH-1xx-01-L-DV series,  7 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-107-01-L-DV,FTSH-1xx-01-L-DV,https://www.trustedparts.com/en/search/FTSH-107-01-L-DV,Black,1.27,7,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-108-01-L-DV,J,FTSH-108-01-L-DV,connector_footprints:FTSH-108-01-L-DV,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*sm7rbj*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjcwNzA1MC4xOC4xLjE3MzY3MDczODQuMzkuMC4w,"Samtec FTSH-1xx-01-L-DV series,  8 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-108-01-L-DV,FTSH-1xx-01-L-DV,https://www.trustedparts.com/en/search/FTSH-108-01-L-DV,Black,1.27,8,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-109-01-L-DV,J,FTSH-109-01-L-DV,connector_footprints:FTSH-109-01-L-DV,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*sm7rbj*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjcwNzA1MC4xOC4xLjE3MzY3MDczODQuMzkuMC4w,"Samtec FTSH-1xx-01-L-DV series,  9 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-109-01-L-DV,FTSH-1xx-01-L-DV,https://www.trustedparts.com/en/search/FTSH-109-01-L-DV,Black,1.27,9,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-110-01-L-DV,J,FTSH-110-01-L-DV,connector_footprints:FTSH-110-01-L-DV,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*sm7rbj*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjcwNzA1MC4xOC4xLjE3MzY3MDczODQuMzkuMC4w,"Samtec FTSH-1xx-01-L-DV series,  10 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-110-01-L-DV,FTSH-1xx-01-L-DV,https://www.trustedparts.com/en/search/FTSH-110-01-L-DV,Black,1.27,10,Vertical,5.2,300,Surface Mount,Tin,2
J_FTSH-111-01-L-DV,J,FTSH-111-01-L-DV,connector_footprints:FTSH-111-01-L-DV,https://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf?_gl=1*sm7rbj*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjcwNzA1MC4xOC4xLjE3MzY3MDczODQuMzkuMC4w,"Samtec FTSH-1xx-01-L-DV series,  11 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,FTSH-111-01-L-DV,FTSH-1xx-01-L-DV,https://www.trustedparts.com/en/search/FTSH-111-01-L-DV,Black,1.27,11,Vertical,5.2,300,Surface Mount,Tin,2
