Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_FTSH-102-04-L-D,J,FTSH-102-04-L-D,connector_footprints:FTSH-102-04-L-D,https://suddendocs.samtec.com/catalog_english/ftsh_th.pdf?_gl=1*bi311t*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjk0NTEyMi4yNi4xLjE3MzY5NDU1NjAuNjAuMC4w,"Samtec FTSH-1xx-04-L-D series,  2 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,FTSH-102-04-L-D,FTSH-1xx-04-L-D,https://www.trustedparts.com/en/search/FTSH-102-04-L-D,Black,1.27,2,Vertical,5.2,300,Through Hole,Tin,2
J_FTSH-103-04-L-D,J,FTSH-103-04-L-D,connector_footprints:FTSH-103-04-L-D,https://suddendocs.samtec.com/catalog_english/ftsh_th.pdf?_gl=1*bi311t*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjk0NTEyMi4yNi4xLjE3MzY5NDU1NjAuNjAuMC4w,"Samtec FTSH-1xx-04-L-D series,  3 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,FTSH-103-04-L-D,FTSH-1xx-04-L-D,https://www.trustedparts.com/en/search/FTSH-103-04-L-D,Black,1.27,3,Vertical,5.2,300,Through Hole,Tin,2
J_FTSH-104-04-L-D,J,FTSH-104-04-L-D,connector_footprints:FTSH-104-04-L-D,https://suddendocs.samtec.com/catalog_english/ftsh_th.pdf?_gl=1*bi311t*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjk0NTEyMi4yNi4xLjE3MzY5NDU1NjAuNjAuMC4w,"Samtec FTSH-1xx-04-L-D series,  4 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,FTSH-104-04-L-D,FTSH-1xx-04-L-D,https://www.trustedparts.com/en/search/FTSH-104-04-L-D,Black,1.27,4,Vertical,5.2,300,Through Hole,Tin,2
J_FTSH-105-04-L-D,J,FTSH-105-04-L-D,connector_footprints:FTSH-105-04-L-D,https://suddendocs.samtec.com/catalog_english/ftsh_th.pdf?_gl=1*bi311t*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjk0NTEyMi4yNi4xLjE3MzY5NDU1NjAuNjAuMC4w,"Samtec FTSH-1xx-04-L-D series,  5 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,FTSH-105-04-L-D,FTSH-1xx-04-L-D,https://www.trustedparts.com/en/search/FTSH-105-04-L-D,Black,1.27,5,Vertical,5.2,300,Through Hole,Tin,2
J_FTSH-106-04-L-D,J,FTSH-106-04-L-D,connector_footprints:FTSH-106-04-L-D,https://suddendocs.samtec.com/catalog_english/ftsh_th.pdf?_gl=1*bi311t*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjk0NTEyMi4yNi4xLjE3MzY5NDU1NjAuNjAuMC4w,"Samtec FTSH-1xx-04-L-D series,  6 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,FTSH-106-04-L-D,FTSH-1xx-04-L-D,https://www.trustedparts.com/en/search/FTSH-106-04-L-D,Black,1.27,6,Vertical,5.2,300,Through Hole,Tin,2
J_FTSH-107-04-L-D,J,FTSH-107-04-L-D,connector_footprints:FTSH-107-04-L-D,https://suddendocs.samtec.com/catalog_english/ftsh_th.pdf?_gl=1*bi311t*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjk0NTEyMi4yNi4xLjE3MzY5NDU1NjAuNjAuMC4w,"Samtec FTSH-1xx-04-L-D series,  7 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,FTSH-107-04-L-D,FTSH-1xx-04-L-D,https://www.trustedparts.com/en/search/FTSH-107-04-L-D,Black,1.27,7,Vertical,5.2,300,Through Hole,Tin,2
J_FTSH-108-04-L-D,J,FTSH-108-04-L-D,connector_footprints:FTSH-108-04-L-D,https://suddendocs.samtec.com/catalog_english/ftsh_th.pdf?_gl=1*bi311t*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjk0NTEyMi4yNi4xLjE3MzY5NDU1NjAuNjAuMC4w,"Samtec FTSH-1xx-04-L-D series,  8 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,FTSH-108-04-L-D,FTSH-1xx-04-L-D,https://www.trustedparts.com/en/search/FTSH-108-04-L-D,Black,1.27,8,Vertical,5.2,300,Through Hole,Tin,2
J_FTSH-109-04-L-D,J,FTSH-109-04-L-D,connector_footprints:FTSH-109-04-L-D,https://suddendocs.samtec.com/catalog_english/ftsh_th.pdf?_gl=1*bi311t*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjk0NTEyMi4yNi4xLjE3MzY5NDU1NjAuNjAuMC4w,"Samtec FTSH-1xx-04-L-D series,  9 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,FTSH-109-04-L-D,FTSH-1xx-04-L-D,https://www.trustedparts.com/en/search/FTSH-109-04-L-D,Black,1.27,9,Vertical,5.2,300,Through Hole,Tin,2
J_FTSH-110-04-L-D,J,FTSH-110-04-L-D,connector_footprints:FTSH-110-04-L-D,https://suddendocs.samtec.com/catalog_english/ftsh_th.pdf?_gl=1*bi311t*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjk0NTEyMi4yNi4xLjE3MzY5NDU1NjAuNjAuMC4w,"Samtec FTSH-1xx-04-L-D series,  10 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,FTSH-110-04-L-D,FTSH-1xx-04-L-D,https://www.trustedparts.com/en/search/FTSH-110-04-L-D,Black,1.27,10,Vertical,5.2,300,Through Hole,Tin,2
J_FTSH-111-04-L-D,J,FTSH-111-04-L-D,connector_footprints:FTSH-111-04-L-D,https://suddendocs.samtec.com/catalog_english/ftsh_th.pdf?_gl=1*bi311t*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjk0NTEyMi4yNi4xLjE3MzY5NDU1NjAuNjAuMC4w,"Samtec FTSH-1xx-04-L-D series,  11 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,FTSH-111-04-L-D,FTSH-1xx-04-L-D,https://www.trustedparts.com/en/search/FTSH-111-04-L-D,Black,1.27,11,Vertical,5.2,300,Through Hole,Tin,2
