Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_HMTSW-101-10-G-S-530-RA,J,HMTSW-101-10-G-S-530-RA,connector_footprints:HMTSW-101-10-G-S-530-RA,https://suddendocs.samtec.com/catalog_english/hmtsw.pdf?_gl=1*ilxh7h*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTYxNDU2My4zNy4xLjE3Mzk2MTUzNTkuNjAuMC4w,"Samtec HMTSW-1xx-10-G-S-530-RA series,  1 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,HMTSW-101-10-G-S-530-RA,HMTSW-1xx-10-G-S-530-RA,https://www.trustedparts.com/en/search/HMTSW-101-10-G-S-530-RA,Black,2.54,1,Vertical,5.2,300,Through Hole,Tin,1
J_HMTSW-102-10-G-S-530-RA,J,HMTSW-102-10-G-S-530-RA,connector_footprints:HMTSW-102-10-G-S-530-RA,https://suddendocs.samtec.com/catalog_english/hmtsw.pdf?_gl=1*ilxh7h*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTYxNDU2My4zNy4xLjE3Mzk2MTUzNTkuNjAuMC4w,"Samtec HMTSW-1xx-10-G-S-530-RA series,  2 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,HMTSW-102-10-G-S-530-RA,HMTSW-1xx-10-G-S-530-RA,https://www.trustedparts.com/en/search/HMTSW-102-10-G-S-530-RA,Black,2.54,2,Vertical,5.2,300,Through Hole,Tin,1
J_HMTSW-103-10-G-S-530-RA,J,HMTSW-103-10-G-S-530-RA,connector_footprints:HMTSW-103-10-G-S-530-RA,https://suddendocs.samtec.com/catalog_english/hmtsw.pdf?_gl=1*ilxh7h*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTYxNDU2My4zNy4xLjE3Mzk2MTUzNTkuNjAuMC4w,"Samtec HMTSW-1xx-10-G-S-530-RA series,  3 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,HMTSW-103-10-G-S-530-RA,HMTSW-1xx-10-G-S-530-RA,https://www.trustedparts.com/en/search/HMTSW-103-10-G-S-530-RA,Black,2.54,3,Vertical,5.2,300,Through Hole,Tin,1
J_HMTSW-104-10-G-S-530-RA,J,HMTSW-104-10-G-S-530-RA,connector_footprints:HMTSW-104-10-G-S-530-RA,https://suddendocs.samtec.com/catalog_english/hmtsw.pdf?_gl=1*ilxh7h*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTYxNDU2My4zNy4xLjE3Mzk2MTUzNTkuNjAuMC4w,"Samtec HMTSW-1xx-10-G-S-530-RA series,  4 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,HMTSW-104-10-G-S-530-RA,HMTSW-1xx-10-G-S-530-RA,https://www.trustedparts.com/en/search/HMTSW-104-10-G-S-530-RA,Black,2.54,4,Vertical,5.2,300,Through Hole,Tin,1
J_HMTSW-105-10-G-S-530-RA,J,HMTSW-105-10-G-S-530-RA,connector_footprints:HMTSW-105-10-G-S-530-RA,https://suddendocs.samtec.com/catalog_english/hmtsw.pdf?_gl=1*ilxh7h*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTYxNDU2My4zNy4xLjE3Mzk2MTUzNTkuNjAuMC4w,"Samtec HMTSW-1xx-10-G-S-530-RA series,  5 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,HMTSW-105-10-G-S-530-RA,HMTSW-1xx-10-G-S-530-RA,https://www.trustedparts.com/en/search/HMTSW-105-10-G-S-530-RA,Black,2.54,5,Vertical,5.2,300,Through Hole,Tin,1
J_HMTSW-106-10-G-S-530-RA,J,HMTSW-106-10-G-S-530-RA,connector_footprints:HMTSW-106-10-G-S-530-RA,https://suddendocs.samtec.com/catalog_english/hmtsw.pdf?_gl=1*ilxh7h*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTYxNDU2My4zNy4xLjE3Mzk2MTUzNTkuNjAuMC4w,"Samtec HMTSW-1xx-10-G-S-530-RA series,  6 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,HMTSW-106-10-G-S-530-RA,HMTSW-1xx-10-G-S-530-RA,https://www.trustedparts.com/en/search/HMTSW-106-10-G-S-530-RA,Black,2.54,6,Vertical,5.2,300,Through Hole,Tin,1
J_HMTSW-107-10-G-S-530-RA,J,HMTSW-107-10-G-S-530-RA,connector_footprints:HMTSW-107-10-G-S-530-RA,https://suddendocs.samtec.com/catalog_english/hmtsw.pdf?_gl=1*ilxh7h*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTYxNDU2My4zNy4xLjE3Mzk2MTUzNTkuNjAuMC4w,"Samtec HMTSW-1xx-10-G-S-530-RA series,  7 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,HMTSW-107-10-G-S-530-RA,HMTSW-1xx-10-G-S-530-RA,https://www.trustedparts.com/en/search/HMTSW-107-10-G-S-530-RA,Black,2.54,7,Vertical,5.2,300,Through Hole,Tin,1
J_HMTSW-108-10-G-S-530-RA,J,HMTSW-108-10-G-S-530-RA,connector_footprints:HMTSW-108-10-G-S-530-RA,https://suddendocs.samtec.com/catalog_english/hmtsw.pdf?_gl=1*ilxh7h*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTYxNDU2My4zNy4xLjE3Mzk2MTUzNTkuNjAuMC4w,"Samtec HMTSW-1xx-10-G-S-530-RA series,  8 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,HMTSW-108-10-G-S-530-RA,HMTSW-1xx-10-G-S-530-RA,https://www.trustedparts.com/en/search/HMTSW-108-10-G-S-530-RA,Black,2.54,8,Vertical,5.2,300,Through Hole,Tin,1
J_HMTSW-109-10-G-S-530-RA,J,HMTSW-109-10-G-S-530-RA,connector_footprints:HMTSW-109-10-G-S-530-RA,https://suddendocs.samtec.com/catalog_english/hmtsw.pdf?_gl=1*ilxh7h*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTYxNDU2My4zNy4xLjE3Mzk2MTUzNTkuNjAuMC4w,"Samtec HMTSW-1xx-10-G-S-530-RA series,  9 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,HMTSW-109-10-G-S-530-RA,HMTSW-1xx-10-G-S-530-RA,https://www.trustedparts.com/en/search/HMTSW-109-10-G-S-530-RA,Black,2.54,9,Vertical,5.2,300,Through Hole,Tin,1
J_HMTSW-110-10-G-S-530-RA,J,HMTSW-110-10-G-S-530-RA,connector_footprints:HMTSW-110-10-G-S-530-RA,https://suddendocs.samtec.com/catalog_english/hmtsw.pdf?_gl=1*ilxh7h*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTYxNDU2My4zNy4xLjE3Mzk2MTUzNTkuNjAuMC4w,"Samtec HMTSW-1xx-10-G-S-530-RA series,  10 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,HMTSW-110-10-G-S-530-RA,HMTSW-1xx-10-G-S-530-RA,https://www.trustedparts.com/en/search/HMTSW-110-10-G-S-530-RA,Black,2.54,10,Vertical,5.2,300,Through Hole,Tin,1
