Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_MTSW-101-10-L-D-530-RA,J,MTSW-101-10-L-D-530-RA,connector_footprints:MTSW-101-10-L-D-530-RA,https://suddendocs.samtec.com/catalog_english/mtsw.pdf?_gl=1*143vrvp*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTY4OTg1My4zOS4xLjE3Mzk2OTU3NzcuMzcuMC4w,"Samtec MTSW-1xx-10-L-D-530-RA series,  1 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTSW-101-10-L-D-530-RA,MTSW-1xx-10-L-D-530-RA,https://www.trustedparts.com/en/search/MTSW-101-10-L-D-530-RA,Black,2.54,1,Vertical,5.2,300,Through Hole,Tin,2
J_MTSW-102-10-L-D-530-RA,J,MTSW-102-10-L-D-530-RA,connector_footprints:MTSW-102-10-L-D-530-RA,https://suddendocs.samtec.com/catalog_english/mtsw.pdf?_gl=1*143vrvp*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTY4OTg1My4zOS4xLjE3Mzk2OTU3NzcuMzcuMC4w,"Samtec MTSW-1xx-10-L-D-530-RA series,  2 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTSW-102-10-L-D-530-RA,MTSW-1xx-10-L-D-530-RA,https://www.trustedparts.com/en/search/MTSW-102-10-L-D-530-RA,Black,2.54,2,Vertical,5.2,300,Through Hole,Tin,2
J_MTSW-103-10-L-D-530-RA,J,MTSW-103-10-L-D-530-RA,connector_footprints:MTSW-103-10-L-D-530-RA,https://suddendocs.samtec.com/catalog_english/mtsw.pdf?_gl=1*143vrvp*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTY4OTg1My4zOS4xLjE3Mzk2OTU3NzcuMzcuMC4w,"Samtec MTSW-1xx-10-L-D-530-RA series,  3 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTSW-103-10-L-D-530-RA,MTSW-1xx-10-L-D-530-RA,https://www.trustedparts.com/en/search/MTSW-103-10-L-D-530-RA,Black,2.54,3,Vertical,5.2,300,Through Hole,Tin,2
J_MTSW-104-10-L-D-530-RA,J,MTSW-104-10-L-D-530-RA,connector_footprints:MTSW-104-10-L-D-530-RA,https://suddendocs.samtec.com/catalog_english/mtsw.pdf?_gl=1*143vrvp*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTY4OTg1My4zOS4xLjE3Mzk2OTU3NzcuMzcuMC4w,"Samtec MTSW-1xx-10-L-D-530-RA series,  4 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTSW-104-10-L-D-530-RA,MTSW-1xx-10-L-D-530-RA,https://www.trustedparts.com/en/search/MTSW-104-10-L-D-530-RA,Black,2.54,4,Vertical,5.2,300,Through Hole,Tin,2
J_MTSW-105-10-L-D-530-RA,J,MTSW-105-10-L-D-530-RA,connector_footprints:MTSW-105-10-L-D-530-RA,https://suddendocs.samtec.com/catalog_english/mtsw.pdf?_gl=1*143vrvp*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTY4OTg1My4zOS4xLjE3Mzk2OTU3NzcuMzcuMC4w,"Samtec MTSW-1xx-10-L-D-530-RA series,  5 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTSW-105-10-L-D-530-RA,MTSW-1xx-10-L-D-530-RA,https://www.trustedparts.com/en/search/MTSW-105-10-L-D-530-RA,Black,2.54,5,Vertical,5.2,300,Through Hole,Tin,2
J_MTSW-106-10-L-D-530-RA,J,MTSW-106-10-L-D-530-RA,connector_footprints:MTSW-106-10-L-D-530-RA,https://suddendocs.samtec.com/catalog_english/mtsw.pdf?_gl=1*143vrvp*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTY4OTg1My4zOS4xLjE3Mzk2OTU3NzcuMzcuMC4w,"Samtec MTSW-1xx-10-L-D-530-RA series,  6 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTSW-106-10-L-D-530-RA,MTSW-1xx-10-L-D-530-RA,https://www.trustedparts.com/en/search/MTSW-106-10-L-D-530-RA,Black,2.54,6,Vertical,5.2,300,Through Hole,Tin,2
J_MTSW-107-10-L-D-530-RA,J,MTSW-107-10-L-D-530-RA,connector_footprints:MTSW-107-10-L-D-530-RA,https://suddendocs.samtec.com/catalog_english/mtsw.pdf?_gl=1*143vrvp*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTY4OTg1My4zOS4xLjE3Mzk2OTU3NzcuMzcuMC4w,"Samtec MTSW-1xx-10-L-D-530-RA series,  7 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTSW-107-10-L-D-530-RA,MTSW-1xx-10-L-D-530-RA,https://www.trustedparts.com/en/search/MTSW-107-10-L-D-530-RA,Black,2.54,7,Vertical,5.2,300,Through Hole,Tin,2
J_MTSW-108-10-L-D-530-RA,J,MTSW-108-10-L-D-530-RA,connector_footprints:MTSW-108-10-L-D-530-RA,https://suddendocs.samtec.com/catalog_english/mtsw.pdf?_gl=1*143vrvp*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTY4OTg1My4zOS4xLjE3Mzk2OTU3NzcuMzcuMC4w,"Samtec MTSW-1xx-10-L-D-530-RA series,  8 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTSW-108-10-L-D-530-RA,MTSW-1xx-10-L-D-530-RA,https://www.trustedparts.com/en/search/MTSW-108-10-L-D-530-RA,Black,2.54,8,Vertical,5.2,300,Through Hole,Tin,2
J_MTSW-109-10-L-D-530-RA,J,MTSW-109-10-L-D-530-RA,connector_footprints:MTSW-109-10-L-D-530-RA,https://suddendocs.samtec.com/catalog_english/mtsw.pdf?_gl=1*143vrvp*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTY4OTg1My4zOS4xLjE3Mzk2OTU3NzcuMzcuMC4w,"Samtec MTSW-1xx-10-L-D-530-RA series,  9 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTSW-109-10-L-D-530-RA,MTSW-1xx-10-L-D-530-RA,https://www.trustedparts.com/en/search/MTSW-109-10-L-D-530-RA,Black,2.54,9,Vertical,5.2,300,Through Hole,Tin,2
J_MTSW-110-10-L-D-530-RA,J,MTSW-110-10-L-D-530-RA,connector_footprints:MTSW-110-10-L-D-530-RA,https://suddendocs.samtec.com/catalog_english/mtsw.pdf?_gl=1*143vrvp*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczOTY4OTg1My4zOS4xLjE3Mzk2OTU3NzcuMzcuMC4w,"Samtec MTSW-1xx-10-L-D-530-RA series,  10 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,MTSW-110-10-L-D-530-RA,MTSW-1xx-10-L-D-530-RA,https://www.trustedparts.com/en/search/MTSW-110-10-L-D-530-RA,Black,2.54,10,Vertical,5.2,300,Through Hole,Tin,2
