Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Maximum DC Current (A),Diode Type
"D_PTVS3V3P1UTP,115",D,3.3 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 3.3 V,Nexperia,"PTVS3V3P1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS3V3P1UTP,115",0.0,Unidirectional TVS
"D_PTVS5V0P1UTP,115",D,5 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 5 V,Nexperia,"PTVS5V0P1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS5V0P1UTP,115",0.0,Unidirectional TVS
"D_PTVS6V0P1UTP,115",D,6 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 6 V,Nexperia,"PTVS6V0P1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS6V0P1UTP,115",0.0,Unidirectional TVS
"D_PTVS6V5P1UTP,115",D,6.5 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 6.5 V,Nexperia,"PTVS6V5P1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS6V5P1UTP,115",0.0,Unidirectional TVS
"D_PTVS7V0P1UTP,115",D,7 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 7 V,Nexperia,"PTVS7V0P1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS7V0P1UTP,115",0.0,Unidirectional TVS
"D_PTVS7V5P1UTP,115",D,7.5 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 7.5 V,Nexperia,"PTVS7V5P1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS7V5P1UTP,115",0.0,Unidirectional TVS
"D_PTVS8V0P1UTP,115",D,8 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 8 V,Nexperia,"PTVS8V0P1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS8V0P1UTP,115",0.0,Unidirectional TVS
"D_PTVS8V5P1UTP,115",D,8.5 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 8.5 V,Nexperia,"PTVS8V5P1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS8V5P1UTP,115",0.0,Unidirectional TVS
"D_PTVS9V0P1UTP,115",D,9 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 9 V,Nexperia,"PTVS9V0P1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS9V0P1UTP,115",0.0,Unidirectional TVS
"D_PTVS10VP1UTP,115",D,10 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 10 V,Nexperia,"PTVS10VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS10VP1UTP,115",0.0,Unidirectional TVS
