Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_RC0805BR-0710RL,R,10 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0710RL,RES SMD 10 Ω 1% 0603 75V,Yageo,RC0805BR-0710RL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0710RL
R_RC0805BR-0747RL,R,47 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0747RL,RES SMD 47 Ω 1% 0603 75V,Yageo,RC0805BR-0747RL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0747RL
R_RC0805BR-07100RL,R,100 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07100RL,RES SMD 100 Ω 1% 0603 75V,Yageo,RC0805BR-07100RL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07100RL
R_RC0805BR-07499RL,R,499 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07499RL,RES SMD 499 Ω 1% 0603 75V,Yageo,RC0805BR-07499RL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07499RL
R_RC0805BR-07698RL,R,698 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07698RL,RES SMD 698 Ω 1% 0603 75V,Yageo,RC0805BR-07698RL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07698RL
R_RC0805BR-07820RL,R,820 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07820RL,RES SMD 820 Ω 1% 0603 75V,Yageo,RC0805BR-07820RL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07820RL
R_RC0805BR-071KL,R,1 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-071KL,RES SMD 1 kΩ 1% 0603 75V,Yageo,RC0805BR-071KL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-071KL
R_RC0805BR-071K2L,R,1.2 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-071K2L,RES SMD 1.2 kΩ 1% 0603 75V,Yageo,RC0805BR-071K2L,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-071K2L
R_RC0805BR-071K5L,R,1.5 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-071K5L,RES SMD 1.5 kΩ 1% 0603 75V,Yageo,RC0805BR-071K5L,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-071K5L
R_RC0805BR-072K1L,R,2.1 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-072K1L,RES SMD 2.1 kΩ 1% 0603 75V,Yageo,RC0805BR-072K1L,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-072K1L
R_RC0805BR-076K98L,R,6.98 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-076K98L,RES SMD 6.98 kΩ 1% 0603 75V,Yageo,RC0805BR-076K98L,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-076K98L
R_RC0805BR-0710KL,R,10 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0710KL,RES SMD 10 kΩ 1% 0603 75V,Yageo,RC0805BR-0710KL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0710KL
R_RC0805BR-0710K5L,R,10.5 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0710K5L,RES SMD 10.5 kΩ 1% 0603 75V,Yageo,RC0805BR-0710K5L,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0710K5L
R_RC0805BR-0715KL,R,15 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0715KL,RES SMD 15 kΩ 1% 0603 75V,Yageo,RC0805BR-0715KL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0715KL
R_RC0805BR-0716K9L,R,16.9 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0716K9L,RES SMD 16.9 kΩ 1% 0603 75V,Yageo,RC0805BR-0716K9L,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0716K9L
R_RC0805BR-0720KL,R,20 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0720KL,RES SMD 20 kΩ 1% 0603 75V,Yageo,RC0805BR-0720KL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0720KL
R_RC0805BR-0733KL,R,33 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0733KL,RES SMD 33 kΩ 1% 0603 75V,Yageo,RC0805BR-0733KL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0733KL
R_RC0805BR-0752K3L,R,52.3 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0752K3L,RES SMD 52.3 kΩ 1% 0603 75V,Yageo,RC0805BR-0752K3L,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0752K3L
R_RC0805BR-0775KL,R,75 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0775KL,RES SMD 75 kΩ 1% 0603 75V,Yageo,RC0805BR-0775KL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0775KL
R_RC0805BR-0784K5L,R,84.5 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-0784K5L,RES SMD 84.5 kΩ 1% 0603 75V,Yageo,RC0805BR-0784K5L,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-0784K5L
R_RC0805BR-07100KL,R,100 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07100KL,RES SMD 100 kΩ 1% 0603 75V,Yageo,RC0805BR-07100KL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07100KL
R_RC0805BR-07140KL,R,140 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07140KL,RES SMD 140 kΩ 1% 0603 75V,Yageo,RC0805BR-07140KL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07140KL
R_RC0805BR-07240KL,R,240 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07240KL,RES SMD 240 kΩ 1% 0603 75V,Yageo,RC0805BR-07240KL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07240KL
R_RC0805BR-07390KL,R,390 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07390KL,RES SMD 390 kΩ 1% 0603 75V,Yageo,RC0805BR-07390KL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07390KL
R_RC0805BR-07750KL,R,750 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07750KL,RES SMD 750 kΩ 1% 0603 75V,Yageo,RC0805BR-07750KL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07750KL
R_RC0805BR-07806KL,R,806 kΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-07806KL,RES SMD 806 kΩ 1% 0603 75V,Yageo,RC0805BR-07806KL,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-07806KL
R_RC0805BR-071ML,R,1 MΩ,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0805BR-071ML,RES SMD 1 MΩ 1% 0603 75V,Yageo,RC0805BR-071ML,1%,200 ppm/°C,75V,0603,1608,RC0805BR-07,https://www.trustedparts.com/en/search/RC0805BR-071ML
