Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_RSM-102-02-STL-S,J,RSM-102-02-STL-S,connector_footprints:RSM-102-02-STL-S,https://suddendocs.samtec.com/catalog_english/rsm_sm.pdf?_gl=1*1uxcywd*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg1MTE0OS4yMi4xLjE3MzY4NTE1MTQuMTcuMC4w,"Samtec RSM-1xx-02-STL-S series,  2 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,RSM-102-02-STL-S,RSM-1xx-02-STL-S,https://www.trustedparts.com/en/search/RSM-102-02-STL-S,Black,1.27,2,Vertical,5.2,300,Surface Mount,Tin,1
J_RSM-103-02-STL-S,J,RSM-103-02-STL-S,connector_footprints:RSM-103-02-STL-S,https://suddendocs.samtec.com/catalog_english/rsm_sm.pdf?_gl=1*1uxcywd*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg1MTE0OS4yMi4xLjE3MzY4NTE1MTQuMTcuMC4w,"Samtec RSM-1xx-02-STL-S series,  3 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,RSM-103-02-STL-S,RSM-1xx-02-STL-S,https://www.trustedparts.com/en/search/RSM-103-02-STL-S,Black,1.27,3,Vertical,5.2,300,Surface Mount,Tin,1
J_RSM-104-02-STL-S,J,RSM-104-02-STL-S,connector_footprints:RSM-104-02-STL-S,https://suddendocs.samtec.com/catalog_english/rsm_sm.pdf?_gl=1*1uxcywd*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg1MTE0OS4yMi4xLjE3MzY4NTE1MTQuMTcuMC4w,"Samtec RSM-1xx-02-STL-S series,  4 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,RSM-104-02-STL-S,RSM-1xx-02-STL-S,https://www.trustedparts.com/en/search/RSM-104-02-STL-S,Black,1.27,4,Vertical,5.2,300,Surface Mount,Tin,1
J_RSM-105-02-STL-S,J,RSM-105-02-STL-S,connector_footprints:RSM-105-02-STL-S,https://suddendocs.samtec.com/catalog_english/rsm_sm.pdf?_gl=1*1uxcywd*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg1MTE0OS4yMi4xLjE3MzY4NTE1MTQuMTcuMC4w,"Samtec RSM-1xx-02-STL-S series,  5 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,RSM-105-02-STL-S,RSM-1xx-02-STL-S,https://www.trustedparts.com/en/search/RSM-105-02-STL-S,Black,1.27,5,Vertical,5.2,300,Surface Mount,Tin,1
J_RSM-106-02-STL-S,J,RSM-106-02-STL-S,connector_footprints:RSM-106-02-STL-S,https://suddendocs.samtec.com/catalog_english/rsm_sm.pdf?_gl=1*1uxcywd*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg1MTE0OS4yMi4xLjE3MzY4NTE1MTQuMTcuMC4w,"Samtec RSM-1xx-02-STL-S series,  6 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,RSM-106-02-STL-S,RSM-1xx-02-STL-S,https://www.trustedparts.com/en/search/RSM-106-02-STL-S,Black,1.27,6,Vertical,5.2,300,Surface Mount,Tin,1
J_RSM-107-02-STL-S,J,RSM-107-02-STL-S,connector_footprints:RSM-107-02-STL-S,https://suddendocs.samtec.com/catalog_english/rsm_sm.pdf?_gl=1*1uxcywd*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg1MTE0OS4yMi4xLjE3MzY4NTE1MTQuMTcuMC4w,"Samtec RSM-1xx-02-STL-S series,  7 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,RSM-107-02-STL-S,RSM-1xx-02-STL-S,https://www.trustedparts.com/en/search/RSM-107-02-STL-S,Black,1.27,7,Vertical,5.2,300,Surface Mount,Tin,1
J_RSM-108-02-STL-S,J,RSM-108-02-STL-S,connector_footprints:RSM-108-02-STL-S,https://suddendocs.samtec.com/catalog_english/rsm_sm.pdf?_gl=1*1uxcywd*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg1MTE0OS4yMi4xLjE3MzY4NTE1MTQuMTcuMC4w,"Samtec RSM-1xx-02-STL-S series,  8 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,RSM-108-02-STL-S,RSM-1xx-02-STL-S,https://www.trustedparts.com/en/search/RSM-108-02-STL-S,Black,1.27,8,Vertical,5.2,300,Surface Mount,Tin,1
J_RSM-109-02-STL-S,J,RSM-109-02-STL-S,connector_footprints:RSM-109-02-STL-S,https://suddendocs.samtec.com/catalog_english/rsm_sm.pdf?_gl=1*1uxcywd*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg1MTE0OS4yMi4xLjE3MzY4NTE1MTQuMTcuMC4w,"Samtec RSM-1xx-02-STL-S series,  9 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,RSM-109-02-STL-S,RSM-1xx-02-STL-S,https://www.trustedparts.com/en/search/RSM-109-02-STL-S,Black,1.27,9,Vertical,5.2,300,Surface Mount,Tin,1
J_RSM-110-02-STL-S,J,RSM-110-02-STL-S,connector_footprints:RSM-110-02-STL-S,https://suddendocs.samtec.com/catalog_english/rsm_sm.pdf?_gl=1*1uxcywd*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg1MTE0OS4yMi4xLjE3MzY4NTE1MTQuMTcuMC4w,"Samtec RSM-1xx-02-STL-S series,  10 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,RSM-110-02-STL-S,RSM-1xx-02-STL-S,https://www.trustedparts.com/en/search/RSM-110-02-STL-S,Black,1.27,10,Vertical,5.2,300,Surface Mount,Tin,1
J_RSM-111-02-STL-S,J,RSM-111-02-STL-S,connector_footprints:RSM-111-02-STL-S,https://suddendocs.samtec.com/catalog_english/rsm_sm.pdf?_gl=1*1uxcywd*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjg1MTE0OS4yMi4xLjE3MzY4NTE1MTQuMTcuMC4w,"Samtec RSM-1xx-02-STL-S series,  11 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,RSM-111-02-STL-S,RSM-1xx-02-STL-S,https://www.trustedparts.com/en/search/RSM-111-02-STL-S,Black,1.27,11,Vertical,5.2,300,Surface Mount,Tin,1
