Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,3dviewer Link,Component Type
R_RT0603FRE071RL,R,1 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0603FRE071RL,RES SMD 1 Ω 1% 0603 75V,Yageo,RT0603FRE071RL,1%,50 ppm/°C,75V,0603,1608,RT0603FRE07,https://www.trustedparts.com/en/search/RT0603FRE071RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0603.step,Resistor
R_RT0603FRE071R1L,R,1.1 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0603FRE071R1L,RES SMD 1.1 Ω 1% 0603 75V,Yageo,RT0603FRE071R1L,1%,50 ppm/°C,75V,0603,1608,RT0603FRE07,https://www.trustedparts.com/en/search/RT0603FRE071R1L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0603.step,Resistor
R_RT0603FRE071R47L,R,1.47 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0603FRE071R47L,RES SMD 1.47 Ω 1% 0603 75V,Yageo,RT0603FRE071R47L,1%,50 ppm/°C,75V,0603,1608,RT0603FRE07,https://www.trustedparts.com/en/search/RT0603FRE071R47L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0603.step,Resistor
R_RT0603FRE071R5L,R,1.5 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0603FRE071R5L,RES SMD 1.5 Ω 1% 0603 75V,Yageo,RT0603FRE071R5L,1%,50 ppm/°C,75V,0603,1608,RT0603FRE07,https://www.trustedparts.com/en/search/RT0603FRE071R5L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0603.step,Resistor
R_RT0603FRE071R8L,R,1.8 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0603FRE071R8L,RES SMD 1.8 Ω 1% 0603 75V,Yageo,RT0603FRE071R8L,1%,50 ppm/°C,75V,0603,1608,RT0603FRE07,https://www.trustedparts.com/en/search/RT0603FRE071R8L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0603.step,Resistor
R_RT0603FRE071R82L,R,1.82 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0603FRE071R82L,RES SMD 1.82 Ω 1% 0603 75V,Yageo,RT0603FRE071R82L,1%,50 ppm/°C,75V,0603,1608,RT0603FRE07,https://www.trustedparts.com/en/search/RT0603FRE071R82L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0603.step,Resistor
R_RT0603FRE072RL,R,2 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0603FRE072RL,RES SMD 2 Ω 1% 0603 75V,Yageo,RT0603FRE072RL,1%,50 ppm/°C,75V,0603,1608,RT0603FRE07,https://www.trustedparts.com/en/search/RT0603FRE072RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0603.step,Resistor
R_RT0603FRE072R2L,R,2.2 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0603FRE072R2L,RES SMD 2.2 Ω 1% 0603 75V,Yageo,RT0603FRE072R2L,1%,50 ppm/°C,75V,0603,1608,RT0603FRE07,https://www.trustedparts.com/en/search/RT0603FRE072R2L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0603.step,Resistor
R_RT0603FRE072R21L,R,2.21 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0603FRE072R21L,RES SMD 2.21 Ω 1% 0603 75V,Yageo,RT0603FRE072R21L,1%,50 ppm/°C,75V,0603,1608,RT0603FRE07,https://www.trustedparts.com/en/search/RT0603FRE072R21L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0603.step,Resistor
R_RT0603FRE072R49L,R,2.49 Ω,resistor_footprints:R_0603_1608Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0603FRE072R49L,RES SMD 2.49 Ω 1% 0603 75V,Yageo,RT0603FRE072R49L,1%,50 ppm/°C,75V,0603,1608,RT0603FRE07,https://www.trustedparts.com/en/search/RT0603FRE072R49L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0603.step,Resistor
