Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,3dviewer Link,Component Type
R_RT0805BRA0741R2L,R,41.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA0741R2L,RES SMD 41.2 Ω 0.1% 0805 150V,Yageo,RT0805BRA0741R2L,0.1%,5 ppm/°C,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA0741R2L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_RT0805BRA07205RL,R,205 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA07205RL,RES SMD 205 Ω 0.1% 0805 150V,Yageo,RT0805BRA07205RL,0.1%,5 ppm/°C,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA07205RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_RT0805BRA07806RL,R,806 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA07806RL,RES SMD 806 Ω 0.1% 0805 150V,Yageo,RT0805BRA07806RL,0.1%,5 ppm/°C,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA07806RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_RT0805BRA071KL,R,1 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA071KL,RES SMD 1 kΩ 0.1% 0805 150V,Yageo,RT0805BRA071KL,0.1%,5 ppm/°C,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA071KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_RT0805BRA071K05L,R,1.05 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA071K05L,RES SMD 1.05 kΩ 0.1% 0805 150V,Yageo,RT0805BRA071K05L,0.1%,5 ppm/°C,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA071K05L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_RT0805BRA071K8L,R,1.8 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA071K8L,RES SMD 1.8 kΩ 0.1% 0805 150V,Yageo,RT0805BRA071K8L,0.1%,5 ppm/°C,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA071K8L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_RT0805BRA072KL,R,2 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA072KL,RES SMD 2 kΩ 0.1% 0805 150V,Yageo,RT0805BRA072KL,0.1%,5 ppm/°C,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA072KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_RT0805BRA073KL,R,3 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA073KL,RES SMD 3 kΩ 0.1% 0805 150V,Yageo,RT0805BRA073KL,0.1%,5 ppm/°C,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA073KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_RT0805BRA074K02L,R,4.02 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA074K02L,RES SMD 4.02 kΩ 0.1% 0805 150V,Yageo,RT0805BRA074K02L,0.1%,5 ppm/°C,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA074K02L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
R_RT0805BRA076K8L,R,6.8 kΩ,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRA076K8L,RES SMD 6.8 kΩ 0.1% 0805 150V,Yageo,RT0805BRA076K8L,0.1%,5 ppm/°C,150V,0805,2012,RT0805BRA07,https://www.trustedparts.com/en/search/RT0805BRA076K8L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0805.step,Resistor
