Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_RT0805BRD071RL,R,1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071RL,RES SMD 1 Ω 0.1% 0805 150V,Yageo,RT0805BRD071RL,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071RL
R_RT0805BRD071R1L,R,1.1 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R1L,RES SMD 1.1 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R1L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R1L
R_RT0805BRD071R13L,R,1.13 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R13L,RES SMD 1.13 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R13L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R13L
R_RT0805BRD071R15L,R,1.15 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R15L,RES SMD 1.15 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R15L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R15L
R_RT0805BRD071R18L,R,1.18 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R18L,RES SMD 1.18 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R18L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R18L
R_RT0805BRD071R2L,R,1.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R2L,RES SMD 1.2 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R2L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R2L
R_RT0805BRD071R21L,R,1.21 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R21L,RES SMD 1.21 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R21L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R21L
R_RT0805BRD071R24L,R,1.24 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R24L,RES SMD 1.24 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R24L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R24L
R_RT0805BRD071R27L,R,1.27 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R27L,RES SMD 1.27 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R27L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R27L
R_RT0805BRD071R3L,R,1.3 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD071R3L,RES SMD 1.3 Ω 0.1% 0805 150V,Yageo,RT0805BRD071R3L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD071R3L
