Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_RT1206FRE071RL,R,1 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE071RL,RES SMD 1 Ω 1% 1206 200V,Yageo,RT1206FRE071RL,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE071RL
R_RT1206FRE071R1L,R,1.1 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE071R1L,RES SMD 1.1 Ω 1% 1206 200V,Yageo,RT1206FRE071R1L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE071R1L
R_RT1206FRE071R2L,R,1.2 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE071R2L,RES SMD 1.2 Ω 1% 1206 200V,Yageo,RT1206FRE071R2L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE071R2L
R_RT1206FRE071R3L,R,1.3 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE071R3L,RES SMD 1.3 Ω 1% 1206 200V,Yageo,RT1206FRE071R3L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE071R3L
R_RT1206FRE071R5L,R,1.5 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE071R5L,RES SMD 1.5 Ω 1% 1206 200V,Yageo,RT1206FRE071R5L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE071R5L
R_RT1206FRE071R6L,R,1.6 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE071R6L,RES SMD 1.6 Ω 1% 1206 200V,Yageo,RT1206FRE071R6L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE071R6L
R_RT1206FRE071R8L,R,1.8 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE071R8L,RES SMD 1.8 Ω 1% 1206 200V,Yageo,RT1206FRE071R8L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE071R8L
R_RT1206FRE071R96L,R,1.96 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE071R96L,RES SMD 1.96 Ω 1% 1206 200V,Yageo,RT1206FRE071R96L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE071R96L
R_RT1206FRE072RL,R,2 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE072RL,RES SMD 2 Ω 1% 1206 200V,Yageo,RT1206FRE072RL,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE072RL
R_RT1206FRE072R15L,R,2.15 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE072R15L,RES SMD 2.15 Ω 1% 1206 200V,Yageo,RT1206FRE072R15L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE072R15L
R_RT1206FRE072R2L,R,2.2 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE072R2L,RES SMD 2.2 Ω 1% 1206 200V,Yageo,RT1206FRE072R2L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE072R2L
R_RT1206FRE072R4L,R,2.4 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE072R4L,RES SMD 2.4 Ω 1% 1206 200V,Yageo,RT1206FRE072R4L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE072R4L
R_RT1206FRE072R49L,R,2.49 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE072R49L,RES SMD 2.49 Ω 1% 1206 200V,Yageo,RT1206FRE072R49L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE072R49L
R_RT1206FRE072R7L,R,2.7 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE072R7L,RES SMD 2.7 Ω 1% 1206 200V,Yageo,RT1206FRE072R7L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE072R7L
R_RT1206FRE072R94L,R,2.94 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE072R94L,RES SMD 2.94 Ω 1% 1206 200V,Yageo,RT1206FRE072R94L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE072R94L
R_RT1206FRE073RL,R,3 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE073RL,RES SMD 3 Ω 1% 1206 200V,Yageo,RT1206FRE073RL,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE073RL
R_RT1206FRE073R3L,R,3.3 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE073R3L,RES SMD 3.3 Ω 1% 1206 200V,Yageo,RT1206FRE073R3L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE073R3L
R_RT1206FRE073R6L,R,3.6 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE073R6L,RES SMD 3.6 Ω 1% 1206 200V,Yageo,RT1206FRE073R6L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE073R6L
R_RT1206FRE073R9L,R,3.9 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE073R9L,RES SMD 3.9 Ω 1% 1206 200V,Yageo,RT1206FRE073R9L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE073R9L
R_RT1206FRE074R12L,R,4.12 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE074R12L,RES SMD 4.12 Ω 1% 1206 200V,Yageo,RT1206FRE074R12L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE074R12L
R_RT1206FRE074R3L,R,4.3 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE074R3L,RES SMD 4.3 Ω 1% 1206 200V,Yageo,RT1206FRE074R3L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE074R3L
R_RT1206FRE074R7L,R,4.7 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE074R7L,RES SMD 4.7 Ω 1% 1206 200V,Yageo,RT1206FRE074R7L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE074R7L
R_RT1206FRE075R1L,R,5.1 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE075R1L,RES SMD 5.1 Ω 1% 1206 200V,Yageo,RT1206FRE075R1L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE075R1L
R_RT1206FRE075R6L,R,5.6 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE075R6L,RES SMD 5.6 Ω 1% 1206 200V,Yageo,RT1206FRE075R6L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE075R6L
R_RT1206FRE076R2L,R,6.2 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE076R2L,RES SMD 6.2 Ω 1% 1206 200V,Yageo,RT1206FRE076R2L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE076R2L
R_RT1206FRE076R8L,R,6.8 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE076R8L,RES SMD 6.8 Ω 1% 1206 200V,Yageo,RT1206FRE076R8L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE076R8L
R_RT1206FRE076R81L,R,6.81 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE076R81L,RES SMD 6.81 Ω 1% 1206 200V,Yageo,RT1206FRE076R81L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE076R81L
R_RT1206FRE077R32L,R,7.32 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE077R32L,RES SMD 7.32 Ω 1% 1206 200V,Yageo,RT1206FRE077R32L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE077R32L
R_RT1206FRE077R5L,R,7.5 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE077R5L,RES SMD 7.5 Ω 1% 1206 200V,Yageo,RT1206FRE077R5L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE077R5L
R_RT1206FRE078R2L,R,8.2 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE078R2L,RES SMD 8.2 Ω 1% 1206 200V,Yageo,RT1206FRE078R2L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE078R2L
R_RT1206FRE078R25L,R,8.25 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE078R25L,RES SMD 8.25 Ω 1% 1206 200V,Yageo,RT1206FRE078R25L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE078R25L
R_RT1206FRE078R45L,R,8.45 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE078R45L,RES SMD 8.45 Ω 1% 1206 200V,Yageo,RT1206FRE078R45L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE078R45L
R_RT1206FRE079R1L,R,9.1 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE079R1L,RES SMD 9.1 Ω 1% 1206 200V,Yageo,RT1206FRE079R1L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE079R1L
R_RT1206FRE0710RL,R,10 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0710RL,RES SMD 10 Ω 1% 1206 200V,Yageo,RT1206FRE0710RL,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0710RL
R_RT1206FRE0711RL,R,11 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0711RL,RES SMD 11 Ω 1% 1206 200V,Yageo,RT1206FRE0711RL,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0711RL
R_RT1206FRE0712RL,R,12 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0712RL,RES SMD 12 Ω 1% 1206 200V,Yageo,RT1206FRE0712RL,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0712RL
R_RT1206FRE0712R1L,R,12.1 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0712R1L,RES SMD 12.1 Ω 1% 1206 200V,Yageo,RT1206FRE0712R1L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0712R1L
R_RT1206FRE0713RL,R,13 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0713RL,RES SMD 13 Ω 1% 1206 200V,Yageo,RT1206FRE0713RL,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0713RL
R_RT1206FRE0714RL,R,14 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0714RL,RES SMD 14 Ω 1% 1206 200V,Yageo,RT1206FRE0714RL,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0714RL
R_RT1206FRE0714R7L,R,14.7 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0714R7L,RES SMD 14.7 Ω 1% 1206 200V,Yageo,RT1206FRE0714R7L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0714R7L
R_RT1206FRE0715RL,R,15 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0715RL,RES SMD 15 Ω 1% 1206 200V,Yageo,RT1206FRE0715RL,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0715RL
R_RT1206FRE0715R4L,R,15.4 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0715R4L,RES SMD 15.4 Ω 1% 1206 200V,Yageo,RT1206FRE0715R4L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0715R4L
R_RT1206FRE0716RL,R,16 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0716RL,RES SMD 16 Ω 1% 1206 200V,Yageo,RT1206FRE0716RL,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0716RL
R_RT1206FRE0716R2L,R,16.2 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0716R2L,RES SMD 16.2 Ω 1% 1206 200V,Yageo,RT1206FRE0716R2L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0716R2L
R_RT1206FRE0716R9L,R,16.9 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0716R9L,RES SMD 16.9 Ω 1% 1206 200V,Yageo,RT1206FRE0716R9L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0716R9L
R_RT1206FRE0718RL,R,18 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0718RL,RES SMD 18 Ω 1% 1206 200V,Yageo,RT1206FRE0718RL,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0718RL
