Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,3dviewer Link
R_RT1210FRE077R5L,R,7500 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE077R5L,RES SMD 7500 mΩ 1% 1210 200V,Yageo,RT1210FRE077R5L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE077R5L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0710RL,R,10000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0710RL,RES SMD 10000 mΩ 1% 1210 200V,Yageo,RT1210FRE0710RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0710RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0715RL,R,15000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0715RL,RES SMD 15000 mΩ 1% 1210 200V,Yageo,RT1210FRE0715RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0715RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0720RL,R,20000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0720RL,RES SMD 20000 mΩ 1% 1210 200V,Yageo,RT1210FRE0720RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0720RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0724R9L,R,24900 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0724R9L,RES SMD 24900 mΩ 1% 1210 200V,Yageo,RT1210FRE0724R9L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0724R9L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0727RL,R,27000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0727RL,RES SMD 27000 mΩ 1% 1210 200V,Yageo,RT1210FRE0727RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0727RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0733R2L,R,33200 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0733R2L,RES SMD 33200 mΩ 1% 1210 200V,Yageo,RT1210FRE0733R2L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0733R2L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0742RL,R,42000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0742RL,RES SMD 42000 mΩ 1% 1210 200V,Yageo,RT1210FRE0742RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0742RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0754RL,R,54000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0754RL,RES SMD 54000 mΩ 1% 1210 200V,Yageo,RT1210FRE0754RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0754RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0773R2L,R,73200 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0773R2L,RES SMD 73200 mΩ 1% 1210 200V,Yageo,RT1210FRE0773R2L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0773R2L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
