Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_RT2010FKE071RL,R,1 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071RL,RES SMD 1 Ω 1% 2010 200V,Yageo,RT2010FKE071RL,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071RL
R_RT2010FKE071R7L,R,1.07 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R7L,RES SMD 1.07 Ω 1% 2010 200V,Yageo,RT2010FKE071R7L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R7L
R_RT2010FKE071R1L,R,1.1 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R1L,RES SMD 1.1 Ω 1% 2010 200V,Yageo,RT2010FKE071R1L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R1L
R_RT2010FKE071R13L,R,1.13 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R13L,RES SMD 1.13 Ω 1% 2010 200V,Yageo,RT2010FKE071R13L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R13L
R_RT2010FKE071R15L,R,1.15 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R15L,RES SMD 1.15 Ω 1% 2010 200V,Yageo,RT2010FKE071R15L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R15L
R_RT2010FKE071R18L,R,1.18 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R18L,RES SMD 1.18 Ω 1% 2010 200V,Yageo,RT2010FKE071R18L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R18L
R_RT2010FKE071R2L,R,1.2 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R2L,RES SMD 1.2 Ω 1% 2010 200V,Yageo,RT2010FKE071R2L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R2L
R_RT2010FKE071R21L,R,1.21 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R21L,RES SMD 1.21 Ω 1% 2010 200V,Yageo,RT2010FKE071R21L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R21L
R_RT2010FKE071R24L,R,1.24 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R24L,RES SMD 1.24 Ω 1% 2010 200V,Yageo,RT2010FKE071R24L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R24L
R_RT2010FKE071R27L,R,1.27 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R27L,RES SMD 1.27 Ω 1% 2010 200V,Yageo,RT2010FKE071R27L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R27L
R_RT2010FKE071R3L,R,1.3 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R3L,RES SMD 1.3 Ω 1% 2010 200V,Yageo,RT2010FKE071R3L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R3L
R_RT2010FKE071R33L,R,1.33 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R33L,RES SMD 1.33 Ω 1% 2010 200V,Yageo,RT2010FKE071R33L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R33L
R_RT2010FKE071R37L,R,1.37 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R37L,RES SMD 1.37 Ω 1% 2010 200V,Yageo,RT2010FKE071R37L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R37L
R_RT2010FKE071R4L,R,1.4 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R4L,RES SMD 1.4 Ω 1% 2010 200V,Yageo,RT2010FKE071R4L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R4L
R_RT2010FKE071R43L,R,1.43 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R43L,RES SMD 1.43 Ω 1% 2010 200V,Yageo,RT2010FKE071R43L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R43L
